Number of particles: 100
Nmax: 4
Gamma: -0.00530189
Interaction type: contact
Step size: 0.001
Batch size: 200000
Batch count: 500
             Batch number               Average n0          Fluctuations n0                   Energy           Particle count                 Momentum
                        1        48.61503395261073        1.234389535563183       -38.23479744472749        100.0000169650992    -0.004671924866803678
                        2        48.65002683283503        1.734881334946007       -38.23479744362099        100.0000169651324    -0.004671924852841736
                        3        48.65620420660108        1.906577045470601       -38.23479744254112        100.0000169651588    -0.004671924949838313
                        4        48.75918683516673        2.888908014669771       -38.23479744141457        100.0000169651891    -0.004671924984595455
                        5        48.71815253577076        2.562887576437578       -38.23479744009587        100.0000169652354    -0.004671924990354737
                        6        48.79565308022489        3.341324000908765       -38.23479743859298        100.0000169652821    -0.004671925039376745
                        7         48.8475950624887        3.666968846741193       -38.23479743711945         100.000016965329    -0.004671925086497719
                        8        49.26016723120663         5.95561842774739       -38.23479743560644         100.000016965389     -0.00467192501324043
                        9         49.3703382343372        6.532641043977566       -38.23479743383866        100.0000169654713    -0.004671924926654691
                       10        49.44119702217859        6.775410549186311       -38.23479743238551        100.0000169655262    -0.004671924740084155
                       11        49.43221607343014        6.698130641177892       -38.23479743098197        100.0000169655761    -0.004671924631997726
                       12        49.46271571713591        6.785678011074892       -38.23479742893312        100.0000169656701    -0.004671924667810634
                       13        49.38594582714546        6.519638999703542       -38.23479742686112        100.0000169657652    -0.004671924606643785
                       14        49.35274043470736        6.549283642940225       -38.23479742486813        100.0000169658566      -0.0046719245864556
                       15        49.41855745950912        6.351648966421672       -38.23479742297003        100.0000169659348    -0.004671924675631656
                       16        49.47231166032474        6.903447746445222       -38.23479742124192        100.0000169660006    -0.004671924918992154
                       17        49.05040647358976        4.836908354878431       -38.23479741949615         100.000016966067    -0.004671925115320108
                       18        49.14650043016037        5.463996058981238        -38.2347974178781        100.0000169661273    -0.004671925252345499
                       19        49.27853817750928        5.857746853942251       -38.23479741568627        100.0000169662251    -0.004671925337746963
                       20        49.26147144341863        6.063145216776744       -38.23479741322075        100.0000169663372    -0.004671925395547616
                       21        49.31967197174051         6.10601057943468       -38.23479741045645        100.0000169664753        -0.00467192552258
                       22        49.09375408201073        5.230389565835264       -38.23479740742384        100.0000169666192    -0.004671925700498902
                       23        49.47559006590546        7.038950195642689       -38.23479740440489        100.0000169667641    -0.004671925981643232
                       24        49.77595722237136        7.967630212400468        -38.2347974012348        100.0000169669227    -0.004671926660948067
                       25        49.77248635477391        7.733772420516094       -38.23479739791189        100.0000169670822    -0.004671927409089172
                       26         49.5200095209368        7.024299864636482       -38.23479739401046        100.0000169672872    -0.004671928295579164
                       27        49.81340448872738        8.179346205016586       -38.23479738959283        100.0000169675219    -0.004671929180161682
                       28        50.02479363321341        8.761421865353055       -38.23479738511742        100.0000169677611    -0.004671929737351421
                       29        50.06614712069576        8.792733932702857       -38.23479738031955        100.0000169680184    -0.004671930429358984
                       30        49.71024456604651        7.671413775558132       -38.23479737598322        100.0000169682505    -0.004671930909273314
                       31         50.1639645911517        9.069750144644233       -38.23479737102969        100.0000169685194    -0.004671931147950836
                       32        50.31039797970608        9.507969436090288       -38.23479736664331        100.0000169687509     -0.00467193117508824
                       33        50.11186807857948        9.057286433269359       -38.23479736146655        100.0000169690327    -0.004671931502055138
                       34         49.7291974188605        7.979906233858421       -38.23479735617161        100.0000169693177    -0.004671932125041689
                       35         49.7328984631485        7.659704302932264       -38.23479735122713        100.0000169695814    -0.004671933005315321
                       36        49.86887541865504        8.332900252553937       -38.23479734614193        100.0000169698573    -0.004671933792976368
                       37        49.60567916446377        7.231526279223615       -38.23479734078123        100.0000169701464    -0.004671934434910874
                       38         49.4964303406002        6.982815074510389       -38.23479733516078        100.0000169704596    -0.004671935194324739
                       39         49.2102483872902        5.886765290914107       -38.23479732985896        100.0000169707444     -0.00467193587585224
                       40        48.98139218098291        4.844558096936201       -38.23479732455371        100.0000169710305    -0.004671935993696197
                       41        49.27294738173691         6.25820928007991       -38.23479731922032        100.0000169713205    -0.004671936306619884
                       42        48.98769372780753        4.966877264531319       -38.23479731389985        100.0000169716153    -0.004671936230937312
                       43        49.11223581108182        5.390373776943138       -38.23479730824695        100.0000169719283    -0.004671936618733774
                       44        49.15037755864886        5.633922741605653       -38.23479730246794        100.0000169722417    -0.004671936033385116
                       45        49.06653231250463        5.438236120587711       -38.23479729662162        100.0000169725593    -0.004671936651226005
                       46        49.51122364149705        7.150785145820624        -38.2347972908006        100.0000169728821    -0.004671936235469687
                       47        49.17771222423201        6.009484961879073       -38.23479728509528        100.0000169731948    -0.004671936577947733
                       48        48.84158843117944        3.991338426895204       -38.23479727927139         100.000016973518    -0.004671937844319185
                       49        48.89515389700595        4.385124903395023       -38.23479727326098        100.0000169738423    -0.004671938627951455
                       50        49.18390623554632        5.717408375659304       -38.23479726726711        100.0000169741684    -0.004671939955242177
                       51        49.41628146547686        6.750383027560762       -38.23479726176852        100.0000169744655    -0.004671940414055831
                       52        49.20671731813463         5.70328655002889        -38.2347972563212        100.0000169747597    -0.004671941488611386
                       53        49.25785832255207        6.202804495985607        -38.2347972507477         100.000016975071    -0.004671942660804618
                       54        50.88693440660417        10.79562731443709       -38.23479724508192        100.0000169753869    -0.004671942983834221
                       55        50.19330488394511        9.339205872197899        -38.2347972391396        100.0000169757181    -0.004671942071142965
                       56        50.09924450706266        8.725735895560314       -38.23479723300851        100.0000169760536    -0.004671941250939504
                       57        49.39088104438687        6.570239213144264       -38.23479722757466         100.000016976355     -0.00467194079747868
                       58        49.82727865450995        8.214029436353529       -38.23479722137702         100.000016976704    -0.004671940546920106
                       59        49.78874491688731        7.932347173066058       -38.23479721497972        100.0000169770543    -0.004671940337839686
                       60        49.85695405270096        8.408637725661979       -38.23479720863875        100.0000169774116    -0.004671940031846677
                       61        49.70505541317448        7.700440573083528       -38.23479720235626        100.0000169777672    -0.004671939696459404
                       62        49.54908909707823        7.440615436266413       -38.23479719601478        100.0000169781162    -0.004671939355300303
                       63        49.57121620353723        7.332278531401283       -38.23479718978376        100.0000169784652    -0.004671938916499752
                       64        49.20588581987462         6.20472307885562       -38.23479718270687         100.000016978856    -0.004671938684911559
                       65         49.1766867271573        5.922564920586043       -38.23479717503609        100.0000169792923    -0.004671938689305266
                       66        49.34392374567247        6.428064594590306       -38.23479716630717        100.0000169797978    -0.004671939071406506
                       67        50.07187685865519        9.006160960159113       -38.23479715775622         100.000016980294    -0.004671938623754368
                       68        49.45272070337748        7.077444703216825       -38.23479714904865        100.0000169807791    -0.004671937170122487
                       69        49.37214266694571        6.827983375596204        -38.2347971402427        100.0000169812872    -0.004671936566809531
                       70        49.56310333406576        7.532009191732993        -38.2347971309331        100.0000169818222    -0.004671935289358942
                       71        50.13559066442404        9.148346293645901       -38.23479712142507        100.0000169823753    -0.004671934171800451
                       72         49.5456923372572        7.429816107059128       -38.23479711097744        100.0000169829832    -0.004671933852548493
                       73        49.43075450849701        6.870099939419348       -38.23479710005111        100.0000169836238      -0.0046719353672251
                       74        49.27947288879326        6.598099834870324       -38.23479708919422        100.0000169842536     -0.00467193726512849
                       75        49.26452119867767        6.271175896128599       -38.23479707833374        100.0000169848811    -0.004671938935119968
                       76        49.11995741247009        5.967832197106717       -38.23479706760303        100.0000169854948    -0.004671940580984302
                       77        49.21721548732935        6.014823731488915       -38.23479705696012        100.0000169861143    -0.004671942269337315
                       78        49.28358287095941        6.570094355763223        -38.2347970464638        100.0000169867181    -0.004671944350010282
                       79        49.43097736511093         7.04760055734351       -38.23479703590813        100.0000169873235    -0.004671946448152831
                       80        49.52564461674113        7.371720667235962       -38.23479702542369        100.0000169879353     -0.00467194856733677
                       81        49.47149377025181        7.183860645087144       -38.23479701501279        100.0000169885296    -0.004671950739473907
                       82        49.34577791626619        6.864057322430091       -38.23479700460589        100.0000169891301    -0.004671952958236858
                       83        49.26742576155828        6.407419088663894        -38.2347969943434        100.0000169897213    -0.004671955167879105
                       84        49.32697019585087        6.541517692410704         -38.234796983827        100.0000169903322    -0.004671957499149393
                       85        49.49127569971282        7.222110345483338       -38.23479697358943        100.0000169909156    -0.004671959870125697
                       86        49.40933320866251        6.934787798995827       -38.23479696320121        100.0000169915117    -0.004671962388782092
                       87        49.60867493730921        7.621519304348041        -38.2347969529022        100.0000169920971    -0.004671964920645699
                       88        49.60449266726231        7.642587838926198        -38.2347969425831         100.000016992686    -0.004671967428945933
                       89        50.25251701866132         9.59797178915006       -38.23479693246446        100.0000169932731    -0.004671969579076674
                       90        50.00397619029566        8.864271803580216       -38.23479692198495        100.0000169938815    -0.004671971443483081
                       91        50.03714877861728         8.94270964046968       -38.23479691098707        100.0000169945225    -0.004671973397384122
                       92        50.00511326899467         8.86189222628753       -38.23479690027219         100.000016995141     -0.00467197554206944
                       93        50.36089066313831        9.844055114917303       -38.23479688954774        100.0000169957624    -0.004671977815172923
                       94        50.23527460489596        9.456803869509605       -38.23479687856931        100.0000169963985     -0.00467198016133441
                       95         50.2747966250237        9.581104864760235       -38.23479686793297        100.0000169970189    -0.004671981925512991
                       96        49.75414552769428        8.132337490714578       -38.23479685726925        100.0000169976324    -0.004671983717301487
                       97        50.07181390834096        9.006326800945017       -38.23479684691446        100.0000169982275    -0.004671985891003594
                       98        49.57385282251396        7.462744668795676       -38.23479683697028        100.0000169987951    -0.004671987784019116
                       99        50.16555449200504        9.415715524692564       -38.23479682720392        100.0000169993573      -0.0046719896011016
                      100        49.94363773293815        8.694010230212021       -38.23479681692544        100.0000169999565    -0.004671991376717699
                      101        50.10991799957686        9.312021954941509       -38.23479680630601        100.0000170005711    -0.004671993084837567
                      102        49.78871093952449         8.26309456511777       -38.23479679495617        100.0000170012306    -0.004671994593921092
                      103        49.58621488768888        7.607260396671766       -38.23479678384058        100.0000170018728    -0.004671995944531382
                      104        49.59674225233039        7.593748584513455       -38.23479677289959        100.0000170025112    -0.004671997004838335
                      105        49.62477949280596        7.714684520165626       -38.23479676203652        100.0000170031452    -0.004671998013821899
                      106        49.46952209459023        7.178728252696206        -38.2347967512664        100.0000170037744    -0.004671999065124499
                      107        49.14920970057209        5.884308777647224       -38.23479674026927        100.0000170044134    -0.004672000019852351
                      108        49.18771866254917        6.248995428271559       -38.23479672975401        100.0000170050346    -0.004672001055144648
                      109        49.57896164486117        7.505949111008701       -38.23479671935442        100.0000170056448    -0.004672002124731289
                      110        48.96139325971966        4.985873315591198        -38.2347967090062         100.000017006239    -0.004672003271620984
                      111        49.75014192718228        8.192224945539193       -38.23479669853262        100.0000170068455     -0.00467200442295912
                      112        49.14013901410893        5.810094859367928       -38.23479668762658        100.0000170074676    -0.004672005440312432
                      113        49.04638879569887        5.656422242110398       -38.23479667660413        100.0000170081121    -0.004672006371290394
                      114        49.41171054571871        7.109787398397244       -38.23479666596063         100.000017008726    -0.004672007368863973
                      115        49.73732774969692        8.104832033935665       -38.23479665559375        100.0000170093254    -0.004672008381692017
                      116        49.89156713777256         8.65503902060347       -38.23479664532539        100.0000170099248    -0.004672009443640768
                      117        50.05514855139623          9.1285885889168        -38.2347966353944        100.0000170105036    -0.004672010503079527
                      118        49.37534866092649        7.065196619506585       -38.23479662498245        100.0000170110954    -0.004672011467144799
                      119        49.99210945304032        8.895190607748702       -38.23479661508975        100.0000170116708     -0.00467201250769822
                      120        50.09373534477134        9.289749149194327       -38.23479660508214        100.0000170122545    -0.004672013686673804
                      121        50.05166619244409        9.166458074542959       -38.23479659477076        100.0000170128533    -0.004672015039015154
                      122        50.14105818884779        9.357719376266949       -38.23479658452976        100.0000170134419    -0.004672016360737885
                      123        50.15142733163638        9.311659230885002       -38.23479657407927        100.0000170140413     -0.00467201772407666
                      124        50.14674485912895        9.375704199148027       -38.23479656388645        100.0000170146296    -0.004672019004534178
                      125        50.07705893492837        9.269929072311477       -38.23479655400382        100.0000170151946    -0.004672020153475565
                      126        50.02652796655642        9.078387175531493        -38.2347965442241        100.0000170157617    -0.004672021154182637
                      127        50.15716226264782        9.418311567124475       -38.23479653443026        100.0000170163301    -0.004672022245732599
                      128        50.20225495734688        9.402711560579736       -38.23479652470928         100.000017016889    -0.004672023312573437
                      129        50.21385466249567         9.55448679547939       -38.23479651534953        100.0000170174298    -0.004672024288751242
