   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.495788         9.03144     0.00786028        7.86028          2419.9        0.48547         485.47         1.53644      0.0804456        80.4455
    init        0.496153         9.11355     0.00787401          7.874         2423.92       0.487169        487.168       -0.382192      0.0808516        80.8516
    init        0.495957         9.08965      0.0079521         7.9521          2418.4       0.486184        486.183       -0.347252      0.0801434        80.1434
    init        0.495902         9.15662     0.00788955        7.88954          2427.1        0.49056        490.559        -1.22911      0.0804763        80.4762
    init        0.495733         9.04655     0.00787802        7.87802         2417.94       0.487336        487.336       -0.431539      0.0810301        81.0301
    init        0.495888         9.03617     0.00782144        7.82144         2419.12        0.48738        487.379        0.733671       0.080298        80.2979
    init        0.495989         9.02997     0.00789894        7.89894         2425.29       0.489195        489.195       -0.851122      0.0804612        80.4612
    init        0.495808         9.10556     0.00790232        7.90231          2416.8       0.487621        487.621        0.158902      0.0803341        80.3341
  accept        0.500119         9.24572     0.00797798        7.97798         2413.03       0.485198        485.198        0.878289      0.0796334        79.6333
  accept        0.499891         9.12882     0.00792322        7.92322         2410.73       0.485384        485.384       -0.519181      0.0798741         79.874
  accept        0.500033         9.06351     0.00780058        7.80058         2424.48       0.489634        489.634        0.520376      0.0806917        80.6917
  accept         0.50007         8.96401     0.00782632        7.82632         2423.85       0.491924        491.924       -0.484748      0.0803406        80.3406
  accept        0.499944         9.06962     0.00786338        7.86337         2421.07       0.487733        487.733        0.413975      0.0809773        80.9773
  accept        0.500108         9.08695     0.00787004        7.87004         2426.82       0.487387        487.387        0.590139      0.0805833        80.5832
  accept        0.499921         9.02682     0.00784878        7.84878         2427.45       0.486037        486.037       -0.342725       0.080339         80.339
  accept        0.500157         9.01353     0.00785672        7.85671          2425.7       0.486442        486.442       0.0874288       0.080683        80.6829
       1        0.499661         9.00255     0.00782958        7.82958         2422.73       0.486818        486.818      -0.0578526      0.0803152        80.3151
       2        0.500227         9.05692     0.00787467        7.87466         2421.62        0.48939         489.39        0.515157      0.0800585        80.0585
       3        0.499621         9.03262     0.00788096        7.88096         2421.57        0.49125         491.25       -0.766592      0.0806528        80.6528
       4        0.500366         8.96544      0.0078184         7.8184         2424.71       0.490618        490.618        0.338848      0.0800839        80.0839
       5         0.50029          9.2104     0.00801745        8.01744         2427.09       0.490959        490.959        -1.14925       0.080781         80.781
       6        0.499545         9.10197     0.00783575        7.83575         2414.91       0.484803        484.803       -0.931612      0.0798788        79.8788
       7        0.499851         9.10096     0.00788339        7.88339         2416.55         0.4847          484.7        0.414709      0.0801731         80.173
       8        0.500304         9.08017     0.00787511        7.87511         2418.79       0.485325        485.325         0.33026      0.0801589        80.1589
   total        0.499996         9.06964     0.00556998        7.87714            2421       0.345041        487.961       -0.162308      0.0567426        80.2462
