   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.522833         22.2646      0.0135665        13.5665          695.84       0.196888        196.888       -0.874957      0.0459628        45.9628
    init        0.523037         23.0476      0.0143658        14.3658         695.267       0.197913        197.913         1.78134      0.0447077        44.7077
    init        0.522897         22.3494      0.0140678        14.0678         685.358       0.202273        202.273       -0.110534      0.0443885        44.3885
  accept        0.500132         22.8238      0.0141412        14.1412         688.716       0.193744        193.744        -1.55724       0.044001         44.001
  accept        0.499956         21.6395      0.0135019        13.5019         692.042       0.197158        197.158       -0.991674      0.0446204        44.6204
  accept        0.500102         22.1265      0.0134698        13.4698          694.36       0.194135        194.135        0.179358      0.0450559        45.0559
  accept        0.499741         22.4017      0.0140821         14.082         693.925       0.193979        193.979         1.02059      0.0450257        45.0257
  accept        0.500216         22.3041      0.0136373        13.6373         690.636       0.195152        195.152        0.283323      0.0444748        44.4748
  accept        0.499861          22.782      0.0140415        14.0415         690.087       0.196857        196.857        0.995526      0.0452801        45.2801
  accept        0.500085         21.6482      0.0138552        13.8552         699.714       0.195657        195.657        0.223484      0.0452417        45.2417
  accept        0.499699          21.571      0.0137797        13.7796         694.629       0.197042        197.042         2.04543      0.0446722        44.6722
  accept        0.500249         21.3354      0.0137384        13.7384         698.151       0.193337        193.337        0.116395      0.0454656        45.4656
       1        0.500127         22.9868      0.0134612        13.4612         692.122       0.195193        195.193         1.22501       0.044814         44.814
       2        0.499912         22.7525      0.0141054        14.1054          691.29       0.192937        192.937         2.61022      0.0448044        44.8043
       3        0.500001         22.6189      0.0138089        13.8089         688.637       0.193238        193.238      -0.0505598      0.0442958        44.2957
       4        0.500152          22.236      0.0144721        14.4721         693.907       0.193263        193.263         1.86154      0.0451397        45.1396
       5        0.499668         22.1755      0.0139503        13.9503         697.503        0.19432         194.32        -1.12711      0.0454984        45.4984
       6        0.500188         22.8235      0.0141082        14.1082         689.506       0.193889        193.889        0.567673      0.0443574        44.3574
       7        0.499931         21.8929      0.0136966        13.6966         695.333       0.195617        195.617       -0.188704      0.0454237        45.4237
       8        0.499829         22.8953      0.0141956        14.1956         693.323       0.198945        198.945         1.68916      0.0459085        45.9084
   total        0.500159         22.5477     0.00988743        13.9829         692.716       0.137684        194.715        0.825906      0.0318539        45.0482
