   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.522372          17.733      0.0128782        12.8782         1066.33       0.255264        255.264        0.867602      0.0526813        52.6813
    init        0.522405         16.7747      0.0123781        12.3781         1075.79       0.251573        251.573        0.631188      0.0535447        53.5447
    init        0.522258         18.0219      0.0129661        12.9661         1064.86       0.252908        252.907       -0.182032       0.053284        53.2839
    init         0.52244         18.3044      0.0129912        12.9912         1068.01       0.252224        252.224       0.0549618      0.0529244        52.9244
  accept        0.499891         17.7083       0.012777         12.777         1068.44       0.254397        254.397       -0.508231      0.0528739        52.8739
  accept        0.500229         17.4803      0.0128836        12.8836         1072.35        0.25245         252.45       -0.652829      0.0527397        52.7397
  accept        0.499643         17.9316      0.0127779        12.7779         1060.45       0.252154        252.153         1.28894      0.0518042        51.8042
  accept        0.500199         17.9499      0.0128255        12.8254         1065.29       0.250845        250.845        0.376289      0.0530582        53.0581
  accept        0.499711         17.3299      0.0126301        12.6301         1068.29       0.254053        254.053        0.239292      0.0529823        52.9822
  accept        0.500182         18.2691      0.0130905        13.0905         1063.78       0.249263        249.263         1.34116      0.0523002        52.3002
  accept        0.500221         17.5375      0.0126098        12.6098         1071.94       0.252203        252.203        -1.04934      0.0530358        53.0358
  accept         0.49974         17.6201      0.0127294        12.7294         1065.82       0.246278        246.278         1.20971      0.0530247        53.0247
  accept        0.500156         17.0165      0.0125778        12.5778         1066.12        0.25099         250.99         0.94877      0.0530067        53.0067
  accept        0.499782         17.9414      0.0128844        12.8844         1065.22       0.251261        251.261        0.881603      0.0525822        52.5822
  accept        0.500188         17.8352      0.0126299        12.6299         1064.88       0.249212        249.212         1.05473      0.0529302        52.9302
  accept         0.50019         18.6318      0.0131226        13.1226         1071.56       0.251933        251.933       -0.303375      0.0531947        53.1947
  accept        0.499694         17.9366      0.0126827        12.6827         1064.06       0.251407        251.407        -1.21524      0.0532196        53.2196
  accept        0.499963         16.3123      0.0122408        12.2408         1071.59       0.251461        251.461        0.652397       0.053348         53.348
  accept        0.500264         17.9294      0.0130865        13.0865         1066.97         0.2514          251.4        0.440294      0.0532826        53.2826
  accept        0.500005         18.3115      0.0128431        12.8431         1068.04       0.253159        253.159        -1.56433      0.0522319        52.2319
  accept        0.499767         17.2346      0.0125797        12.5797         1069.61       0.253006        253.006      -0.0802162      0.0533656        53.3655
       1        0.500073         17.7076      0.0126374        12.6374         1069.43       0.253556        253.556         -1.1469      0.0535654        53.5654
       2        0.500098         17.4121      0.0126222        12.6222         1066.31       0.250354        250.354        -1.78031      0.0537563        53.7563
       3        0.500155         18.0537      0.0129544        12.9544         1063.97         0.2511          251.1         1.35203      0.0531542        53.1542
       4        0.499789         17.3048      0.0126631        12.6631         1073.42       0.252668        252.668        0.259207       0.053293         53.293
       5        0.499952         17.7559       0.012904         12.904         1078.46       0.251496        251.496        0.725576      0.0530344        53.0343
       6         0.50009         17.8626      0.0128543        12.8543         1070.15       0.250238        250.237       -0.301477      0.0527136        52.7135
       7         0.50003         17.0603      0.0127674        12.7674         1067.45       0.254099        254.099        -1.08868      0.0529823        52.9822
       8        0.499974         17.6481      0.0127484        12.7484         1059.31       0.246282        246.282         1.62303      0.0530935        53.0935
   total         0.49997          17.601     0.00903184         12.773         1068.56       0.177677        251.273      -0.0416104       0.037626        53.2112
