   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.517313         3.11987     0.00298428        2.98427         14908.4        1.98477        1984.77         2.20373       0.143525        143.524
    init        0.517247         3.17269     0.00302337        3.02337           14891         1.9892         1989.2       -0.261987       0.143721        143.721
  accept        0.500409         3.18758     0.00305998        3.05998         14905.7        1.97472        1974.72       -0.106715        0.14319         143.19
       1        0.499924         3.18221     0.00304685        3.04685         14900.2        1.96582        1965.82           1.336       0.144275        144.275
       2        0.500025         3.17082     0.00302846        3.02846         14928.4        1.98939        1989.39        -1.31909       0.143331        143.331
       3        0.499776          3.1579     0.00298814        2.98814         14907.4        1.98087        1980.87        -1.09141         0.1429          142.9
       4        0.500218          3.1519     0.00299914        2.99914         14919.9        1.97425        1974.25         -1.3929       0.143897        143.897
       5        0.499821          3.1495     0.00301792        3.01792         14898.3        1.98211        1982.11       -0.132634       0.144294        144.294
       6         0.50013         3.14983     0.00301094        3.01094         14905.5        1.97194        1971.94       -0.580309       0.143954        143.954
       7         0.49971         3.14087     0.00299662        2.99662         14918.7        1.98977        1989.77        -1.41766       0.143808        143.808
       8        0.500466         3.12679     0.00299074        2.99074         14912.8        1.98384        1983.84        -2.73758       0.143816        143.816
   total        0.500049          3.1539     0.00212879        3.01056         14911.2        1.39988        1979.73       -0.916426       0.101672        143.786
