   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.487595         20.1078     0.00970541        2.48457        -478.396       0.840248        215.102       -0.579901      0.0410846        10.5176
    init        0.486786         19.7951     0.00858492        2.19772        -473.973        1.03278         264.39       -0.564207      0.0400203        10.2451
    init        0.487808         19.9261      0.0093285        2.38808        -481.231       0.793041        203.017       -0.515328      0.0366651        9.38621
    init        0.487793         21.4715      0.0309771        7.93007        -462.852        1.35328        346.436       -0.449483      0.0373359        9.55792
    init          0.4879         20.2143     0.00809295        2.07178        -475.913       0.844943        216.304        -1.54369      0.0383178        9.80929
    init        0.488007         19.7834      0.0103802        2.65732        -482.757        0.80525        206.142         1.55048       0.037836        9.68595
    init         0.48703         19.8147     0.00920946         2.3576        -487.926       0.499223          127.8        -1.87252      0.0377224        9.65685
    init        0.488129         19.6083     0.00874672        2.23914        -482.566       0.790575        202.386        0.919143      0.0392442        10.0464
    init        0.486954         19.5973      0.0129904        3.32551        -474.676       0.812179        207.916        0.754808      0.0435169        11.1402
    init        0.486633         20.3239     0.00785785        2.01159        -489.514       0.549213        140.597      -0.0331654      0.0422167        10.8074
  accept        0.501648         20.0526     0.00743326         1.9029        -501.919      0.0305448        7.81941         -0.9016      0.0373069        9.55049
  accept        0.499039         19.8571     0.00787927        2.01708        -501.983      0.0297737          7.622       -0.517274      0.0381872        9.77585
  accept        0.500549         20.1014     0.00727284        1.86183        -502.551      0.0298105        7.63143       0.0987487      0.0372764         9.5427
       1        0.499786         19.7838     0.00729199        1.86674        -501.477       0.030441        7.79284       -0.909087      0.0356366        9.12291
       2        0.499603         19.7727     0.00745496        1.90846        -502.185      0.0303319         7.7649        0.230691      0.0373291        9.55617
       3        0.500168         20.0631     0.00746702        1.91154        -502.492      0.0296773        7.59732        0.436963      0.0348515        8.92192
       4        0.500183         20.0271     0.00778793        1.99369        -501.995      0.0302988        7.75644        0.645443      0.0369246        9.45263
       5        0.499313         19.8489     0.00708101        1.81273        -502.076      0.0296732        7.59629       -0.722401      0.0386553        9.89569
       6        0.499329         20.0742     0.00773221        1.97943        -502.345      0.0300936        7.70391        0.602483      0.0352889        9.03389
       7        0.501465         20.0094     0.00761926        1.95052        -501.994      0.0287563        7.36155        -1.26439      0.0340552        8.71806
       8        0.500351         20.0732     0.00737441        1.88784        -502.638      0.0286394        7.33162       -0.630521      0.0354031        9.06312
   total        0.500687         19.9564     0.00529967        1.91868         -502.15      0.0210537        7.62221       -0.201906      0.0255614        9.25417
