   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501735         14.4332     0.00107914        1.07914        -2447.54       0.179719        179.718         0.44573     0.00927303        9.27303
    init        0.501915         14.5164     0.00134063        1.34063        -2445.19       0.212509        212.509       -0.399808     0.00922725        9.22725
    init        0.501656         14.4414     0.00107151        1.07151        -2448.41       0.161294        161.294       -0.193314     0.00952896        9.52896
    init        0.501824           14.53     0.00151283        1.51283        -2446.24       0.204111        204.111     -0.00807934     0.00915894        9.15893
       1        0.499786         14.4793    0.000912085       0.912084        -2454.79      0.0084641        8.46409       0.0240953     0.00926224        9.26223
       2        0.499906         14.4608    0.000901129       0.901129        -2454.85     0.00842435        8.42434        0.483606     0.00933052        9.33052
       3        0.500195         14.4402    0.000890493       0.890493        -2454.58     0.00842236        8.42236       -0.149169     0.00942527        9.42526
       4        0.499763         14.4867    0.000910497       0.910497        -2454.78     0.00834822        8.34821       -0.159938     0.00900387        9.00386
       5        0.500249         14.4719    0.000900498       0.900497        -2454.69     0.00835653        8.35652       -0.199814       0.009125        9.12499
       6         0.50011         14.4445    0.000902186       0.902186        -2454.76     0.00835193        8.35192        0.176569     0.00923048        9.23047
       7         0.49994         14.5033    0.000911484       0.911483        -2454.63     0.00834255        8.34254      0.00814231     0.00916746        9.16746
       8        0.499978         14.5067    0.000897143       0.897142        -2454.66     0.00831616        8.31616        0.108597     0.00934383        9.34383
   total        0.500031         14.4741    0.000638911       0.903556        -2454.72      0.0059247        8.37879       0.0369214     0.00653313        9.23924

    mode      occupation             +/-         std dev
     -12       0.0217617     1.25833e-05       0.0177954
     -11       0.0418439     1.97289e-05       0.0279008
     -10       0.0860498     3.14085e-05       0.0444183
      -9         0.18143     4.99474e-05       0.0706363
      -8        0.380872     7.88166e-05        0.111463
      -7        0.778215     0.000122777        0.173633
      -6         1.52789     0.000183787        0.259914
      -5         2.83486     0.000264645        0.374264
      -4         4.89162      0.00036315        0.513571
      -3         7.70389     0.000465251        0.657964
      -2         10.8583     0.000554208        0.783768
      -1          13.446     0.000610502        0.863379
       0         14.4741     0.000638911        0.903556
       1         13.4603      0.00060986        0.862472
       2         10.8567     0.000554075        0.783579
       3         7.70712     0.000461549        0.652729
       4          4.8972     0.000362909        0.513231
       5         2.83499     0.000265819        0.375925
       6         1.52735      0.00018365         0.25972
       7        0.777499     0.000122429        0.173141
       8        0.380079      7.9061e-05        0.111809
       9        0.181467      5.0092e-05       0.0708408
      10       0.0861544     3.14206e-05       0.0444354
      11       0.0422017     1.98326e-05       0.0280475
      12       0.0219718     1.26378e-05       0.0178726
