   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50264         13.4037    0.000980629       0.980628        -2973.51       0.246711        246.711       -0.505834      0.0120674        12.0674
    init        0.502306         13.4334    0.000869102       0.869102        -2979.77       0.142197        142.197        0.089045     0.00911122        9.11122
    init        0.502358         13.4335    0.000925949       0.925949        -2977.19       0.187566        187.566      -0.0545864     0.00960693        9.60693
    init        0.502641         13.4799    0.000799781       0.799781        -2976.75       0.205861        205.861       -0.430313     0.00918224        9.18224
    init        0.502652          13.405    0.000908035       0.908035        -2980.37       0.152862        152.862       -0.165809     0.00928213        9.28213
    init        0.502563         13.4436    0.000895402       0.895402        -2974.71       0.250066        250.066        0.236398     0.00948602        9.48601
    init        0.502322         13.4356    0.000879684       0.879684        -2978.22       0.185962        185.962        0.390711      0.0104806        10.4806
    init        0.502491         13.4347    0.000917625       0.917624        -2978.42       0.162154        162.154       -0.210103     0.00969198        9.69197
    init        0.502565         13.4845     0.00109005        1.09005        -2980.46       0.138204        138.204      -0.0222173     0.00917267        9.17267
  accept        0.500006         13.4375    0.000780165       0.780164           -2986     0.00879161        8.79161       0.0251895     0.00908881         9.0888
       1        0.500115         13.4253    0.000796931        0.79693        -2986.16      0.0087893        8.78929       0.0965292     0.00925759        9.25758
       2        0.499938         13.4716    0.000798124       0.798124        -2986.21     0.00875688        8.75687      -0.0915519     0.00920636        9.20636
       3        0.499959         13.4757    0.000793652       0.793652        -2986.18      0.0087024         8.7024      -0.0203868     0.00914218        9.14218
       4        0.499841         13.4362    0.000786747       0.786747        -2986.04     0.00876562        8.76561       -0.505188     0.00917533        9.17532
       5        0.500142         13.4723    0.000797528       0.797527        -2985.95      0.0088077         8.8077         0.39563     0.00918062        9.18062
       6         0.50015         13.4501    0.000790562       0.790561        -2986.18     0.00883041         8.8304     -0.00344324     0.00938266        9.38265
       7        0.499781         13.4395    0.000787668       0.787668        -2986.04     0.00873715        8.73715       0.0536984     0.00928485        9.28484
       8        0.499867         13.4451    0.000786229       0.786229        -2986.09     0.00879604        8.79603       -0.138535     0.00928042        9.28041
   total          0.4997          13.452    0.000560297        0.79238        -2986.11     0.00620377        8.77345      -0.0267151     0.00653482        9.24163

    mode      occupation             +/-         std dev
     -13       0.0183549     1.06166e-05       0.0150141
     -12       0.0334235     1.60573e-05       0.0227084
     -11       0.0656346     2.48734e-05       0.0351763
     -10        0.131856     3.82471e-05       0.0540896
      -9        0.265469       5.878e-05       0.0831274
      -8        0.526102     8.95124e-05         0.12659
      -7          1.0083     0.000132495        0.187376
      -6         1.85508     0.000190942        0.270033
      -5         3.22334     0.000263383         0.37248
      -4         5.22927     0.000345287         0.48831
      -3         7.78941     0.000425962        0.602401
      -2         10.4961     0.000495198        0.700315
      -1         12.6374     0.000545557        0.771534
       0          13.452     0.000560297         0.79238
       1         12.6353     0.000543642        0.768826
       2         10.4944     0.000498164        0.704511
       3         7.78142     0.000427821         0.60503
       4         5.22802     0.000346202        0.489604
       5         3.22521     0.000262725        0.371549
       6         1.85433     0.000190415        0.269288
       7          1.0093     0.000132664        0.187615
       8        0.525355     8.91952e-05        0.126141
       9        0.265451     5.90955e-05       0.0835736
      10        0.131843     3.85284e-05       0.0544873
      11       0.0656815      2.4801e-05       0.0350739
      12       0.0335663     1.60979e-05       0.0227658
      13       0.0183626     1.06144e-05        0.015011
