   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500805         31.4295      0.0030662         3.0662        -340.579      0.0116027        11.6027     -0.00896661     0.00915779        9.15779
       1        0.500012         31.3284     0.00306935        3.06935          -340.8     0.00537693        5.37692       -0.121681     0.00910818        9.10817
       2        0.500124         31.3434     0.00306041         3.0604        -340.775     0.00537575        5.37575         -0.1748     0.00908135        9.08135
       3         0.50003         31.3435     0.00303933        3.03933        -340.803     0.00534462        5.34462      -0.0972104     0.00912739        9.12738
       4        0.500168         31.3347       0.003019          3.019        -340.884     0.00532825        5.32825      -0.0228188     0.00905461        9.05461
       5        0.499803         31.4015     0.00303381        3.03381        -340.797     0.00538019        5.38019       0.0858826     0.00919188        9.19187
       6        0.500049         31.3672     0.00304811        3.04811        -340.855     0.00535679        5.35679        0.121167     0.00915348        9.15348
       7        0.500001         31.3676     0.00305272        3.05272        -340.804     0.00530554        5.30553       0.0169141     0.00922264        9.22263
       8        0.500052         31.3281     0.00300643        3.00643        -340.813     0.00532174        5.32174      -0.0390148     0.00916525        9.16525
   total        0.500219          31.352     0.00215046        3.04122        -340.817     0.00378201        5.34856      -0.0284962     0.00646197         9.1386

    mode      occupation             +/-         std dev
      -5        0.165397     9.00764e-05        0.127387
      -4         0.63056     0.000226386        0.320158
      -3         2.53765     0.000558639        0.790035
      -2          8.8468      0.00118077         1.66987
      -1         22.1468      0.00185019         2.61657
       0          31.352      0.00215046         3.04122
       1         22.1547       0.0018584         2.62817
       2         8.83919      0.00117746         1.66518
       3          2.5315     0.000555003        0.784893
       4         0.63062     0.000226109        0.319766
       5        0.164803     8.96062e-05        0.126722
