   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499828          18.808     0.00153514        1.53514        -1233.26      0.0634912        63.4912       0.0037084     0.00929775        9.29774
       1        0.499942         18.8006     0.00138017        1.38017        -1235.55     0.00716977        7.16976        0.322318     0.00927031         9.2703
       2        0.500053         18.7869     0.00138557        1.38557        -1235.42     0.00721149        7.21148      -0.0586977     0.00914472        9.14471
       3         0.50026         18.8806      0.0014012         1.4012        -1235.41     0.00723505        7.23505       -0.140451     0.00908313        9.08313
       4        0.499845         18.8627     0.00138981        1.38981        -1235.55     0.00721675        7.21675      -0.0666986     0.00911664        9.11663
       5        0.499915         18.8204     0.00136883        1.36883         -1235.4     0.00729582        7.29582       -0.237106     0.00918479        9.18478
       6         0.50003         18.8476     0.00137373        1.37372        -1235.61     0.00717305        7.17305       -0.316524     0.00907771         9.0777
       7         0.49998         18.8125     0.00136418        1.36418        -1235.59     0.00723011        7.23011        0.144651     0.00918541         9.1854
       8        0.500263         18.8507     0.00138227        1.38227        -1235.47     0.00727319        7.27319       -0.144054     0.00924119        9.24119
   total        0.500197         18.8328    0.000976561        1.38107         -1235.5     0.00510976         7.2263      -0.0626325     0.00648062        9.16498

    mode      occupation             +/-         std dev
      -9       0.0421077     2.39798e-05       0.0339125
      -8       0.0965726      4.2461e-05       0.0600488
      -7        0.239456     7.63263e-05        0.107942
      -6        0.602239     0.000136383        0.192875
      -5         1.45645     0.000235581        0.333162
      -4         3.29454      0.00038477        0.544147
      -3         6.65773     0.000578195        0.817691
      -2         11.5991     0.000768115         1.08628
      -1         16.6068     0.000912111         1.28992
       0         18.8328     0.000976561         1.38107
       1         16.6004     0.000920837         1.30226
       2         11.5954     0.000771423         1.09096
       3          6.6533     0.000574704        0.812754
       4         3.28746     0.000383311        0.542083
       5         1.45671      0.00023589        0.333598
       6        0.601123     0.000136334        0.192805
       7        0.239192     7.62851e-05        0.107883
       8       0.0965496     4.25504e-05       0.0601753
       9       0.0421318     2.39837e-05        0.033918
