   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50051         17.0402      0.0012977         1.2977        -1588.36      0.0883756        88.3756        0.286603     0.00931626        9.31626
    init         0.50038         17.0079     0.00130217        1.30217        -1588.78      0.0877235        87.7235       -0.293862     0.00908193        9.08193
    init        0.500408         17.1337     0.00140105        1.40104        -1588.25      0.0919099        91.9098       -0.141272     0.00909079        9.09078
    init        0.500578         17.0372     0.00129156        1.29156        -1589.08      0.0741847        74.1847        0.124463     0.00921265        9.21265
    init        0.500372         17.0532     0.00122142        1.22142         -1589.2      0.0807944        80.7944      -0.0310943      0.0093621        9.36209
    init        0.500538         17.0919     0.00119242        1.19242        -1589.25      0.0657392        65.7392        0.204827     0.00919915        9.19914
    init        0.500505         17.0764     0.00120146        1.20146        -1588.55      0.0873768        87.3768        0.163208      0.0089307        8.93069
    init        0.500243         17.0868     0.00126322        1.26322        -1587.13       0.121989        121.989        0.197905     0.00928271         9.2827
    init        0.500505         17.1077      0.0012003         1.2003        -1589.02      0.0685322        68.5321      -0.0195981     0.00914258        9.14258
       1        0.499859         17.0425     0.00118074        1.18074         -1591.4     0.00768098        7.68098       -0.406744      0.0091488         9.1488
       2        0.500131         17.0378     0.00115934        1.15933        -1591.75     0.00766801          7.668        0.111241     0.00901818        9.01817
       3        0.499878         17.0682     0.00118243        1.18243        -1591.73     0.00758179        7.58178       -0.192144     0.00917378        9.17378
       4        0.499943         17.0639      0.0011776         1.1776         -1591.6     0.00763776        7.63776      -0.0923784     0.00909108        9.09108
       5        0.499821          17.077     0.00118455        1.18455        -1591.63     0.00765895        7.65895       -0.174185     0.00911696        9.11695
       6        0.500303         17.0778     0.00116077        1.16077         -1591.6     0.00764526        7.64526       -0.435384     0.00918945        9.18944
       7        0.499772         17.0724     0.00117922        1.17922        -1591.37     0.00764213        7.64212     -0.00653992     0.00923903        9.23902
       8        0.500191         17.0637     0.00119968        1.19968        -1591.53     0.00759847        7.59846       0.0196398     0.00926802        9.26802
   total         0.49962         17.0629    0.000833105        1.17819        -1591.58     0.00540259        7.64042       -0.146779      0.0064754        9.15759

    mode      occupation             +/-         std dev
     -10       0.0334695     1.91128e-05       0.0270296
      -9       0.0717139     3.21248e-05       0.0454313
      -8        0.164902     5.51575e-05       0.0780045
      -7        0.386551     9.36218e-05        0.132401
      -6        0.888545     0.000157948        0.223373
      -5         1.94407     0.000253608        0.358656
      -4         3.93321     0.000385961        0.545832
      -3         7.19124     0.000536667        0.758962
      -2          11.464     0.000687871        0.972796
      -1         15.4199     0.000791579         1.11946
       0         17.0629     0.000833105         1.17819
       1         15.4105       0.0007897          1.1168
       2         11.4386     0.000685579        0.969555
       3          7.1748     0.000536049        0.758087
       4         3.93219     0.000385418        0.545064
       5         1.94046     0.000254382         0.35975
       6        0.887465     0.000157116        0.222195
       7        0.386155     9.39291e-05        0.132836
       8        0.164425     5.46537e-05        0.077292
       9        0.071478     3.21224e-05       0.0454279
      10       0.0334613     1.90561e-05       0.0269494
