   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.508133          46.425      0.0207255        5.30569        -143.082       0.030548        7.82024        0.169332      0.0348542         8.9226
    init        0.506409         46.9081      0.0203374        5.20633        -143.208      0.0165436        4.23513       -0.476708      0.0350095        8.96236
    init        0.506271         46.8909      0.0234151        5.99422        -142.399      0.0544857        13.9482       0.0772811      0.0364594        9.33352
       1        0.501465         46.6489      0.0198151        5.07263        -143.287      0.0159998        4.09592        0.489472      0.0350991        8.98529
       2        0.499146         46.8008      0.0205057        5.24942        -143.305       0.015754        4.03298       -0.151945      0.0342567        8.76965
       3        0.499924         46.2895      0.0195729        5.01063        -143.262      0.0160778        4.11587        0.657888       0.035539        9.09792
       4        0.500046         46.8985       0.019891        5.09205        -143.415       0.015316        3.92088        0.157608      0.0344098        8.80883
       5        0.500076         46.4826      0.0195623        5.00791        -143.402      0.0158891        4.06758        0.156918      0.0360372        9.22545
       6        0.499863         46.7562       0.019557        5.00656          -143.3      0.0159073        4.07223        0.399859      0.0355288        9.09531
       7        0.500351         46.6492      0.0201781        5.16556        -143.227      0.0157658        4.03601        0.549367      0.0355112         9.0908
       8        0.499512         46.5649      0.0193582        4.95567        -143.345      0.0161773        4.14136        0.275807      0.0345993        8.85735
   total        0.498276         46.6347      0.0140113        5.07263        -143.317      0.0112267         4.0645        0.315768      0.0248516        8.99722
