   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501938         26.4907      0.0107021        2.73971        -568.208       0.338684        86.7025       -0.342193      0.0377363        9.66041
    init        0.501709         26.9749      0.0204825        5.24348        -563.362       0.486854        124.634        0.122333      0.0368757        9.44009
    init         0.50209         26.2793      0.0110655        2.83276        -573.761       0.151968        38.9034        -1.03527        0.03721        9.52569
    init        0.501877         26.5953      0.0112492        2.87977        -566.957       0.437691        112.048        0.155238      0.0406514        10.4067
    init        0.501572         26.8837      0.0202336        5.17976        -571.966       0.231458        59.2528       -0.782987      0.0332824        8.52022
    init        0.501801         26.4967     0.00988222        2.52983        -571.457       0.310683        79.5342        0.658056      0.0361177        9.24606
    init        0.501404         26.4767     0.00935912        2.39592        -571.293       0.288656        73.8954       0.0868519      0.0361396        9.25165
       1        0.499832         26.5139     0.00902735        2.31098        -576.875      0.0225147        5.76371        0.997135      0.0340707        8.72203
       2         0.50145          26.558     0.00888993         2.2758        -577.101      0.0234513        6.00349        -0.34658      0.0370605        9.48741
       3        0.499847           26.45     0.00922242        2.36092        -577.016      0.0235418        6.02665        0.716507      0.0363145        9.29644
       4        0.498764         26.4179     0.00907033        2.32199        -577.273      0.0227396        5.82129       -0.786994      0.0357922        9.16274
       5        0.500351         26.4548     0.00873087        2.23509        -577.478      0.0223162         5.7129        0.334342      0.0361982        9.26668
       6        0.500214         26.5372     0.00898233        2.29946        -576.746      0.0237174         6.0716         1.16671      0.0361795        9.26188
       7        0.500458         26.5463     0.00898166        2.29929        -577.355      0.0229999        5.88792        0.423246      0.0365909        9.36721
       8          0.4991         26.4456     0.00917734        2.34938        -577.435      0.0225675        5.77725        0.385825      0.0350992        8.98532
   total        0.499413         26.4899     0.00637271        2.30716        -577.159      0.0162735        5.89161         0.36307      0.0254566        9.21626
