12 -0.015703024735334744
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.475342         16.9084      0.0307112        3.93091        -679.213        4.33407        554.744      -0.0770988      0.0717697        9.18624
  accept        0.505371         16.3646       0.010586        1.35496        -760.814      0.0663767        8.49596      -0.0332579      0.0706931        9.04844
  accept        0.503967         16.3826      0.0109043        1.39571        -760.809      0.0682223        8.73219      -0.0492808      0.0665354        8.51627
  accept        0.496155         16.4995      0.0105479        1.35009        -760.101      0.0689025        8.81926       0.0672424      0.0738073        9.44705
  accept        0.499512         16.6661      0.0120215        1.53871        -760.399      0.0717414        9.18262       0.0498322      0.0734878        9.40615
  accept        0.497864         16.1802      0.0109362        1.39979        -759.946      0.0735046         9.4083       0.0445843      0.0707549        9.05635
  accept        0.498108         16.3112      0.0128168         1.6405        -760.206      0.0673058        8.61487       0.0175234      0.0747783        9.57133
  accept        0.499084         16.5452      0.0110628          1.416         -760.05        0.07057        9.03268       0.0291899      0.0779641         9.9791
  accept        0.499939         16.4992      0.0113604        1.45409        -759.081      0.0726198        9.29506      -0.0128243      0.0681106        8.71789
       1        0.499023         16.3965      0.0106132        1.35845        -760.331      0.0655081        8.38478      -0.0278336       0.067365        8.62246
       2        0.501221         16.2563       0.011547        1.47796        -760.444      0.0705116        9.02521       0.0451029      0.0666632        8.53263
       3        0.496216         16.2522      0.0109225        1.39803        -760.333      0.0698683        8.94287       0.0610864      0.0702007        8.98541
       4        0.502075          16.374      0.0116494        1.49108        -760.624      0.0674906        8.63854      -0.0585165      0.0684864        8.76599
       5        0.497437         16.4505      0.0110474        1.41402        -759.324       0.071189        9.11192      -0.0323975        0.07831        10.0234
       6        0.494141         16.4411      0.0114144        1.46099        -761.325      0.0638473         8.1722        0.160106      0.0659627        8.44297
       7        0.492615         16.2415      0.0115217        1.47474         -760.64      0.0676649        8.66084       0.0265563      0.0790133        10.1134
       8        0.495422         16.0574      0.0105378        1.34879        -759.777      0.0720629        9.22377       0.0839302      0.0731799        9.36674
   total        0.497269         16.3087     0.00396177        1.43431         -760.35      0.0242913        8.79435       0.0322543      0.0252117        9.12758

    mode      occupation             +/-         std dev
     -13         0.01972     4.65928e-05       0.0168683
     -12        0.032166     6.73589e-05       0.0243864
     -11       0.0555493     9.86103e-05       0.0357006
     -10        0.100365     0.000146783       0.0531409
      -9        0.184888     0.000223625       0.0809605
      -8        0.352359     0.000338644        0.122602
      -7        0.665201      0.00052495        0.190052
      -6          1.2534     0.000786555        0.284762
      -5         2.31797      0.00118448        0.428825
      -4         4.17183      0.00168666        0.610632
      -3          7.0574      0.00240187        0.869567
      -2         10.9308      0.00300045         1.08628
      -1         14.7047      0.00378049         1.36868
       0         16.3087      0.00396177         1.43431
       1         14.6907      0.00376801         1.36416
       2         10.9313      0.00299745         1.08519
       3         7.06475      0.00240976        0.872422
       4         4.17525      0.00168696        0.610743
       5         2.31778      0.00118275        0.428199
       6         1.25427     0.000789515        0.285834
       7        0.665597     0.000523836        0.189648
       8        0.352164     0.000337828        0.122306
       9        0.185252     0.000223974       0.0810868
      10        0.100407     0.000146897       0.0531823
      11       0.0554949     9.85126e-05       0.0356652
      12        0.032209     6.74537e-05       0.0244208
      13       0.0197575     4.65654e-05       0.0168584
