13 -0.015703024735334744
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.48645         16.1942      0.0140274        1.79545        -683.539        4.95669        634.437       0.0155935      0.0862263        11.0366
  accept        0.495056          16.077      0.0130201        1.66652        -759.273      0.0721087        9.22964      -0.0449899      0.0633654        8.11052
  accept        0.500427         16.0406      0.0110087        1.40907        -758.518      0.0707164        9.05142      -0.0342971      0.0706346        9.04095
       1        0.500061          16.098      0.0102506        1.31203        -759.001      0.0718198        9.19266      0.00513619       0.065441         8.3762
       2         0.49646         16.4758      0.0114436        1.46474        -759.152      0.0684796        8.76512       0.0211005      0.0725154        9.28169
       3         0.50061          16.302      0.0116971        1.49719        -760.975      0.0692709        8.86641       0.0369898      0.0688443         8.8118
       4        0.497009         16.4474      0.0109068        1.39603        -760.363      0.0676523        8.65923       0.0966993      0.0663193        8.48862
       5        0.494446         16.4446       0.012023         1.5389        -759.336      0.0688513         8.8127      0.00297162      0.0699183        8.94927
       6        0.500305         16.1551      0.0107142        1.37138        -759.262      0.0719945        9.21502       0.0274764      0.0764378        9.78373
       7        0.502319         16.1161      0.0120819        1.54643        -758.882      0.0729894        9.34236      0.00214195      0.0808795        10.3523
       8        0.501709         16.1381      0.0102481        1.31172        -759.381      0.0684812        8.76533       0.0648262      0.0741453        9.49031
   total        0.499115         16.2721     0.00397963        1.44077        -759.544      0.0248082         8.9815       0.0321677      0.0254476        9.21298

    mode      occupation             +/-         std dev
     -14       0.0139626     3.48435e-05       0.0126147
     -13       0.0209547     4.88181e-05        0.017674
     -12       0.0338548     6.87112e-05        0.024876
     -11       0.0596824     0.000103055       0.0373096
     -10         0.10559     0.000151582       0.0548783
      -9         0.19396     0.000227693       0.0824334
      -8        0.364144     0.000341387        0.123595
      -7        0.680051     0.000523629        0.189573
      -6         1.26821     0.000790063        0.286032
      -5         2.33208      0.00118833        0.430219
      -4         4.16993      0.00170112        0.615868
      -3         7.06002      0.00233281        0.844564
      -2         10.9218      0.00304508         1.10243
      -1         14.6356      0.00362551         1.31257
       0         16.2721      0.00397963         1.44077
       1         14.6351      0.00363926         1.31755
       2         10.9208      0.00305194         1.10492
       3         7.06651      0.00232729        0.842564
       4         4.17307        0.001703         0.61655
       5         2.33184      0.00118939        0.430604
       6         1.26789     0.000788676         0.28553
       7        0.680754     0.000523374        0.189481
       8        0.363972      0.00034043        0.123248
       9        0.194072     0.000227675       0.0824268
      10        0.105525     0.000151327       0.0547859
      11       0.0595491     0.000102434       0.0370848
      12       0.0339811     6.91445e-05       0.0250329
      13       0.0210431     4.89959e-05       0.0177383
      14        0.014001     3.49216e-05       0.0126429
