14 -0.015703024735334744
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.485413         15.7323       0.012744        1.63119        -677.854        4.74919        607.877       -0.103968      0.0755123        9.66527
  accept        0.502136         16.2929      0.0105754        1.35361        -757.539      0.0732742        9.37881       0.0603519      0.0704253        9.01417
  accept        0.500671         15.9846       0.010482        1.34166        -756.726      0.0742941        9.50935       0.0568812      0.0730442        9.34937
       1        0.501953          16.205      0.0119793        1.53331        -758.001      0.0734391        9.39992      -0.0875295       0.068805        8.80677
       2        0.499207         16.1884      0.0122101        1.56285        -757.212      0.0751263        9.61587      -0.0757116      0.0739797        9.46912
       3        0.499329         16.1335      0.0103725        1.32765        -755.762      0.0732015        9.36951       0.0635079      0.0767241        9.82038
       4        0.498901         16.0059      0.0107622        1.37752        -757.792      0.0724197        9.26945       -0.101211      0.0684722        8.76417
       5         0.50061         16.0903      0.0100468        1.28595        -757.316      0.0741807        9.49484      -0.0425998      0.0675466         8.6457
       6        0.497559         15.9974      0.0109883        1.40646         -756.88      0.0740806        9.48203        0.166929      0.0700435         8.9653
       7        0.499023         16.2685      0.0107895        1.38101        -758.316      0.0689871        8.83008      -0.0241605      0.0666812        8.53493
       8        0.502441         16.3503      0.0111868        1.43186        -757.461      0.0744668        9.53146       -0.107223      0.0758847        9.71294
   total        0.499878         16.1549     0.00392434        1.42076        -757.342      0.0259793        9.40547      -0.0259998      0.0251419        9.10229

    mode      occupation             +/-         std dev
     -15       0.0102774     2.71494e-05      0.00982909
     -14       0.0145708     3.59047e-05       0.0129988
     -13       0.0221472     5.05549e-05       0.0183028
     -12       0.0364692     7.20679e-05       0.0260913
     -11       0.0621547     0.000106164       0.0384352
     -10        0.109576     0.000154485       0.0559293
      -9        0.200557     0.000234867       0.0850307
      -8        0.370196     0.000347399        0.125771
      -7        0.692056     0.000532933        0.192942
      -6         1.29189     0.000797446        0.288705
      -5         2.35539      0.00117035        0.423711
      -4         4.17266      0.00170636        0.617767
      -3         7.06471      0.00237175        0.858663
      -2         10.9039       0.0030224         1.09422
      -1         14.6202      0.00363796         1.31708
       0         16.1549      0.00392434         1.42076
       1         14.6236      0.00364889         1.32103
       2          10.897      0.00301917         1.09305
       3         7.06068      0.00236813        0.857352
       4         4.17139      0.00170953        0.618914
       5         2.35583      0.00117214        0.424358
       6         1.29148     0.000797853        0.288853
       7        0.692365      0.00053249        0.192781
       8        0.370804     0.000348978        0.126343
       9        0.200549     0.000233734       0.0846206
      10        0.109281     0.000153924       0.0557262
      11       0.0618665     0.000106026       0.0383853
      12       0.0364925     7.20045e-05       0.0260683
      13       0.0222267     5.07525e-05       0.0183743
      14       0.0145683     3.60839e-05       0.0130637
      15       0.0102644     2.71263e-05      0.00982072
