12 -0.015877502787949575
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.488098         16.3942      0.0213687        2.73511        -742.868        1.93632        247.841       0.0978911      0.0713702        9.13511
  accept         0.50354         16.4582      0.0117168         1.4997        -777.613       0.068774         8.8028      -0.0195946      0.0693841        8.88089
  accept        0.503845         15.9383      0.0115095        1.47317        -777.938      0.0661457         8.4664      -0.0752619       0.077005        9.85634
  accept        0.500427          16.036        0.01155        1.47835         -777.91      0.0667186        8.53972      0.00389746      0.0686554        8.78763
       1        0.498291           16.28      0.0102879        1.31682        -778.342      0.0655244        8.38687       -0.110907      0.0737001        9.43332
       2        0.495789         16.4054      0.0105491        1.35025        -778.408      0.0671764        8.59832       -0.183531      0.0703782        9.00813
       3          0.5047         16.0763      0.0111692        1.42961        -778.485      0.0691836        8.85523      -0.0324107      0.0700835        8.97042
       4        0.500671          16.375      0.0116757        1.49445        -777.662      0.0676844        8.66333      -0.0772118       0.076675        9.81411
       5        0.496277         16.0344      0.0107266        1.37297        -777.781      0.0688366        8.81081      0.00905209      0.0736701        9.42949
       6        0.501343         15.7431     0.00953816        1.22085         -778.42       0.067206         8.6021      -0.0626174      0.0692172        8.85954
       7        0.496277         15.9886      0.0108991        1.39505        -779.173      0.0663483        8.49232       0.0285085      0.0642676          8.226
       8        0.503845          16.284      0.0111031        1.42115        -777.859      0.0664075         8.4999      -0.0334143      0.0730926        9.35557
   total        0.499649         16.1484     0.00384921        1.39356        -778.266      0.0238288         8.6269      -0.0578164      0.0252687         9.1482

    mode      occupation             +/-         std dev
     -13       0.0208031     4.80269e-05       0.0173875
     -12       0.0335421     6.77547e-05       0.0245297
     -11       0.0581266     9.95218e-05       0.0360306
     -10        0.106927     0.000153035       0.0554043
      -9         0.19545     0.000227196       0.0822536
      -8        0.367118     0.000344351        0.124668
      -7        0.688677     0.000529439        0.191677
      -6         1.28985     0.000797565        0.288748
      -5         2.36373      0.00119271        0.431806
      -4         4.24496      0.00170601        0.617639
      -3         7.13294      0.00233692        0.846054
      -2         10.9076       0.0030532         1.10537
      -1         14.5299      0.00356685         1.29133
       0         16.1484      0.00384921         1.39356
       1         14.5165      0.00356264         1.28981
       2          10.903      0.00305304         1.10531
       3         7.12464      0.00232929         0.84329
       4         4.24487      0.00170456        0.617114
       5         2.36389      0.00119132        0.431304
       6         1.28972     0.000799057        0.289288
       7        0.687572     0.000529562        0.191721
       8        0.367175     0.000344398        0.124685
       9         0.19539     0.000226417       0.0819714
      10        0.106649      0.00015278        0.055312
      11       0.0582426     0.000100141       0.0362547
      12       0.0335769     6.79569e-05       0.0246029
      13       0.0207224     4.77608e-05       0.0172912
