13 -0.015877502787949575
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.482971         16.3035      0.0152551         1.9526        -714.682        3.47768        445.129       0.0437928      0.0765237        9.79474
  accept        0.496704         15.8887     0.00980357        1.25482        -777.525      0.0698812        8.94452       0.0534873      0.0704671        9.01951
       1        0.496704         16.3045       0.011481        1.46953        -775.381      0.0724612        9.27476      -0.0320515      0.0805514        10.3103
       2        0.501526         16.1096      0.0100041        1.28048        -778.516      0.0652798        8.35556      -0.0428881      0.0695313        8.89974
       3        0.494934         16.1691      0.0108178        1.38464        -777.541      0.0725356        9.28427      -0.0323503      0.0725929         9.2916
       4        0.503113         16.1103     0.00989402         1.2664        -777.592      0.0721233        9.23151       -0.064602      0.0713993        9.13884
       5        0.507385         16.1236      0.0107709        1.37863        -776.259      0.0732945        9.38141      0.00737207      0.0706447        9.04225
       6        0.499329         16.1068      0.0114145        1.46101        -777.441      0.0740113        9.47316      -0.0591373      0.0711414        9.10583
       7        0.492798         15.9511      0.0114572        1.46648        -777.209      0.0704482        9.01709       -0.141313       0.075801        9.70224
       8        0.496948         15.8496      0.0105945        1.35605        -777.164      0.0725543        9.28666      0.00455941      0.0665992        8.52444
   total        0.499092         16.0906     0.00384171        1.39084        -777.138      0.0254422        9.21103      -0.0450513       0.025593        9.26563

    mode      occupation             +/-         std dev
     -14       0.0144345      3.5867e-05       0.0129852
     -13       0.0220922      5.0625e-05       0.0183281
     -12       0.0365216     7.15301e-05       0.0258966
     -11       0.0626328     0.000106655       0.0386129
     -10        0.111489     0.000157138       0.0568899
      -9        0.202992     0.000233739       0.0846224
      -8        0.377894     0.000358714        0.129868
      -7        0.705507     0.000536882        0.194371
      -6         1.30081      0.00079326         0.28719
      -5         2.39468      0.00118337        0.428424
      -4         4.23774      0.00167386        0.605998
      -3         7.09532      0.00236697        0.856931
      -2         10.9279      0.00298054         1.07907
      -1         14.4729      0.00359885         1.30292
       0         16.0906      0.00384171         1.39084
       1         14.4697      0.00361146         1.30748
       2         10.9228      0.00297368         1.07658
       3         7.09142      0.00237464        0.859708
       4         4.23538      0.00167089        0.604923
       5         2.39265       0.0011857        0.429269
       6         1.30106     0.000791658         0.28661
       7        0.705852     0.000533606        0.193185
       8        0.377911     0.000357447        0.129409
       9        0.202909      0.00023489       0.0850388
      10        0.111246     0.000158088       0.0572336
      11       0.0626032     0.000106204       0.0384499
      12       0.0363618     7.16823e-05       0.0259517
      13       0.0221495     5.05302e-05       0.0182938
      14       0.0144513     3.58696e-05       0.0129861
