14 -0.015877502787949575
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.486145         15.9923      0.0151426        1.93819        -708.998        3.72953        477.366       -0.139576      0.0816874        10.4557
  accept        0.496582         15.8143      0.0109498        1.40154        -776.812      0.0730114        9.34518      -0.0367842      0.0727717        9.31449
  accept        0.503479         16.3636       0.011987        1.53428        -774.662      0.0739409        9.46415      -0.0295374      0.0698789        8.94423
  accept        0.503418          15.952      0.0118152        1.51229        -775.492      0.0754971        9.66333        0.108303      0.0690209        8.83441
  accept        0.502136         15.9009      0.0109238         1.3982        -775.439      0.0749163          9.589       0.0200959      0.0768565        9.83733
       1         0.50177         15.9022      0.0108639        1.39053        -776.542      0.0718424        9.19555       0.0190494      0.0610337        7.81208
       2        0.500488         15.8413      0.0106574         1.3641        -777.226      0.0708838        9.07285        0.150357      0.0722709        9.25039
       3        0.498047         15.8708      0.0117211        1.50025        -774.937      0.0736038          9.421        0.156612      0.0695263         8.8991
       4        0.497925         16.1132       0.010353        1.32514         -775.15      0.0752049        9.62594       0.0290194      0.0772939        9.89332
       5        0.499756         16.2158      0.0117406        1.50275        -774.952      0.0727415        9.31063      -0.0206203      0.0700425        8.96516
       6        0.506348         16.3289      0.0119764        1.53293        -774.828      0.0712919        9.12508      0.00141237      0.0740096        9.47294
       7        0.499695          15.919      0.0107516        1.37617        -776.134      0.0711623         9.1085      -0.0105936      0.0667739         8.5468
       8        0.500916         15.8696      0.0119248        1.52633        -775.281      0.0733154        9.38409       0.0206406      0.0703742        9.00762
   total        0.500618         16.0076     0.00401154        1.45233        -775.631      0.0257414        9.31935       0.0432345      0.0248587        8.99976

    mode      occupation             +/-         std dev
     -15        0.010501     2.73611e-05      0.00990575
     -14       0.0151319     3.73164e-05       0.0135099
     -13       0.0230141     5.12955e-05       0.0185709
     -12       0.0380953     7.40425e-05       0.0268061
     -11       0.0641336     0.000106441       0.0385355
     -10          0.1158     0.000159561        0.057767
      -9        0.210339      0.00023518       0.0851439
      -8        0.388403     0.000349436        0.126509
      -7        0.712659     0.000529894        0.191841
      -6         1.32086     0.000792307        0.286845
      -5         2.40522      0.00117329        0.424775
      -4         4.27378      0.00169181        0.612497
      -3         7.11166      0.00230629        0.834964
      -2         10.9182      0.00299926         1.08585
      -1         14.3834      0.00367658         1.33106
       0         16.0076      0.00401154         1.45233
       1         14.3863      0.00369004         1.33593
       2         10.9179      0.00299685         1.08497
       3         7.11035      0.00230386        0.834082
       4         4.27697      0.00170093        0.615798
       5           2.409      0.00117692        0.426089
       6          1.3217     0.000793934        0.287434
       7        0.712271      0.00052864        0.191387
       8        0.388644     0.000350497        0.126893
       9        0.211223     0.000235593       0.0852934
      10        0.115601     0.000158729       0.0574657
      11       0.0642266     0.000107101       0.0387744
      12        0.038349     7.43904e-05       0.0269321
      13       0.0229605     5.09332e-05       0.0184397
      14       0.0150955     3.73912e-05        0.013537
      15        0.010512      2.7433e-05      0.00993177
