12 -0.016051980840564403
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.488281          15.506      0.0189602        2.42683        -744.217        2.54207        325.375        0.127346      0.0774929        9.91879
  accept        0.503357         15.9081      0.0102543        1.31251        -795.621      0.0669397        8.56801       -0.011525      0.0730664        9.35221
  accept        0.496399         16.2331      0.0123048        1.57496        -795.659      0.0640369        8.19647       -0.091393      0.0692448        8.86306
       1        0.495972         15.9944      0.0107682        1.37829        -795.388      0.0719669        9.21148       -0.182784      0.0774674        9.91553
       2        0.500549         16.0548     0.00950122        1.21612        -795.927      0.0687146         8.7952       -0.138891      0.0717656        9.18572
       3        0.495972          15.913      0.0105167        1.34609         -795.65      0.0695262        8.89908      0.00177915      0.0708616        9.07001
       4        0.498535         16.0126      0.0111577        1.42814          -795.1      0.0707056        9.05004      -0.0299362      0.0807296        10.3331
       5        0.501892         15.9615      0.0104247        1.33432        -794.839      0.0699139        8.94871     -0.00917055      0.0655156        8.38574
       6        0.497498         15.9838      0.0103702        1.32735        -795.606      0.0661804        8.47084      -0.0429348      0.0700218        8.96252
       7        0.496216         15.8499      0.0113264        1.44973        -795.307      0.0665213        8.51447      -0.0971528      0.0798408        10.2193
       8        0.496277         16.1105       0.010499        1.34382        -795.489      0.0678675        8.68678      -0.0247742      0.0680065        8.70456
   total        0.497864         15.9851     0.00374735        1.35668        -795.413       0.024392         8.8308      -0.0654831       0.025885        9.37135

    mode      occupation             +/-         std dev
     -13        0.021384     4.91851e-05       0.0178068
     -12       0.0349887     7.03134e-05       0.0254561
     -11       0.0601178      0.00010233       0.0370473
     -10        0.110116     0.000154425       0.0559074
      -9        0.202792      0.00023113       0.0836777
      -8        0.382869     0.000356494        0.129064
      -7        0.709299     0.000532513         0.19279
      -6         1.32345     0.000796377        0.288318
      -5         2.40394      0.00116302        0.421056
      -4         4.28009      0.00170867        0.618601
      -3         7.15485      0.00235939        0.854188
      -2         10.9368      0.00303721         1.09958
      -1         14.3972      0.00362102         1.31094
       0         15.9851      0.00374735         1.35668
       1         14.3942      0.00362403         1.31203
       2         10.9326      0.00304383         1.10198
       3         7.14625      0.00235741        0.853472
       4         4.27838      0.00170275         0.61646
       5         2.40135      0.00115911        0.419641
       6         1.32324     0.000794923        0.287792
       7        0.709603     0.000533701         0.19322
       8        0.382584     0.000355536        0.128717
       9        0.202484     0.000231311       0.0837432
      10        0.109902     0.000153822       0.0556893
      11       0.0599404     0.000101534        0.036759
      12       0.0349439     7.04174e-05       0.0254937
      13       0.0214146     4.90846e-05       0.0177705
