13 -0.016051980840564403
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.48407         15.7735      0.0168652        2.15868        -695.282         5.3925        690.219       0.0157533       0.102906        13.1716
  accept        0.497925         15.9289      0.0117342        1.50193        -794.193      0.0737274        9.43682       0.0575623      0.0693094        8.87134
  accept        0.499207          16.194      0.0118546        1.51734        -794.371      0.0717665        9.18584       0.0439263      0.0755082        9.66475
  accept        0.500061         15.6562      0.0109054        1.39584        -795.534      0.0705993        9.03644       0.0889552       0.065365        8.36646
  accept        0.500916         16.0288      0.0105989        1.35662        -795.381      0.0694169        8.88509      -0.0446557      0.0750126        9.60132
  accept        0.499512         15.8701      0.0112435        1.43913        -794.833      0.0689327        8.82312       0.0692582      0.0720021        9.21599
  accept        0.503174         15.8724       0.010997        1.40757        -795.248      0.0707791        9.05945      0.00518536      0.0656263        8.39992
  accept        0.497131         15.9249      0.0106817        1.36721        -794.842      0.0703443         9.0038       0.0217893      0.0748891        9.58552
  accept        0.502991         15.8285      0.0107871        1.38071        -794.568      0.0717706        9.18635       0.0145932      0.0695092        8.89691
  accept        0.501038         15.4673     0.00976636        1.25006        -794.731      0.0689978        8.83145       -0.159135      0.0748026        9.57444
  accept         0.49939         15.9164      0.0109513        1.40173        -794.035      0.0735724        9.41698      -0.0387506      0.0745802        9.54597
  accept        0.503174          15.714      0.0105471        1.34998        -796.509      0.0658798        8.43236      -0.0631895      0.0715897         9.1632
       1        0.496521         15.7736      0.0106299        1.36058        -794.327      0.0751998        9.62528       0.0412121      0.0669407        8.56815
       2        0.500122         15.7638     0.00871693        1.11573        -795.861      0.0738079        9.44712        0.129515      0.0750471        9.60573
       3        0.490845         15.9064      0.0107659        1.37799        -795.221      0.0687392        8.79835      -0.0510819      0.0688185         8.8085
       4        0.495361         15.7496      0.0107843        1.38035        -794.723      0.0703023        8.99842       0.0749348      0.0741343         9.4889
       5        0.501831          15.905       0.010657        1.36405         -795.36      0.0687168        8.79549       0.0344376      0.0767373        9.82207
       6        0.498718          16.103      0.0108163        1.38445        -795.372      0.0710877        9.09894       -0.104477      0.0790844        10.1225
       7        0.495605         15.9729      0.0112279        1.43713        -794.694      0.0683444        8.74782     -0.00615564       0.073788        9.44457
       8        0.500061         15.9805      0.0107861        1.38058        -794.665      0.0692926        8.86918       0.0168282       0.071834        9.19447
   total        0.497383         15.8944      0.0037516        1.35822        -795.028      0.0250384        9.06482       0.0169017      0.0259478        9.39406

    mode      occupation             +/-         std dev
     -14       0.0150184     3.71305e-05       0.0134426
     -13       0.0227901     5.09475e-05       0.0184449
     -12       0.0379392     7.38234e-05       0.0267268
     -11       0.0656086     0.000107033       0.0387499
     -10        0.118901     0.000158856        0.057512
      -9        0.214185     0.000239133       0.0865749
      -8        0.395619     0.000359834        0.130273
      -7         0.73209     0.000534219        0.193407
      -6         1.35353     0.000806772        0.292081
      -5         2.44072      0.00117848        0.426652
      -4         4.30532      0.00172782        0.625536
      -3         7.16178      0.00232401        0.841377
      -2         10.7999      0.00302338         1.09458
      -1         14.3832      0.00368918         1.33562
       0         15.8944       0.0037516         1.35822
       1         14.3916      0.00369571         1.33798
       2         10.8048      0.00303074         1.09724
       3         7.15861      0.00232798        0.842816
       4         4.30745      0.00172632        0.624993
       5         2.44297      0.00117884        0.426785
       6         1.35177     0.000803662        0.290956
       7        0.731912     0.000533882        0.193285
       8        0.395473     0.000360724        0.130595
       9        0.214034     0.000238126       0.0862103
      10        0.118761     0.000158736       0.0574682
      11       0.0659735     0.000107938       0.0390777
      12        0.037977     7.38607e-05       0.0267403
      13       0.0228429     5.09951e-05       0.0184621
      14       0.0149505     3.68623e-05       0.0133455
