14 -0.016051980840564403
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.48468         16.9191      0.0454364        5.81568        -701.446        4.47374        572.621       0.0633221      0.0776973        9.94495
  accept        0.501709         16.1163      0.0112172        1.43576        -793.272      0.0705728        9.03304       0.0255997       0.071998        9.21546
  accept        0.498901         15.7576     0.00996682        1.27571        -792.773      0.0760488        9.73395        0.192593      0.0745494        9.54203
  accept        0.499634         16.0107      0.0101469        1.29876        -793.286      0.0726178        9.29479      -0.0847082      0.0753843         9.6489
  accept        0.496826          15.927      0.0123874        1.58554        -793.952      0.0714186         9.1413        0.188576      0.0756733        9.68589
  accept        0.501953         15.8566      0.0112577        1.44094        -794.788      0.0702287          8.989       0.0625553      0.0679945        8.70303
       1        0.500916         15.9256      0.0106963        1.36909        -792.637      0.0727445        9.31102      -0.0180146      0.0816452        10.4503
       2        0.497742         15.9143      0.0114107        1.46053        -793.026      0.0753079        9.63911       -0.041559      0.0755743        9.67322
       3        0.497986         15.9533      0.0105442        1.34961        -794.224      0.0696054        8.90922       0.0622796      0.0677568        8.67261
       4        0.496399         15.8704      0.0112914        1.44526        -793.586      0.0735039        9.40821      -0.0498603      0.0792139        10.1391
       5        0.501099         15.7257      0.0101559        1.29991        -793.982      0.0690286         8.8354       -0.040575      0.0667534        8.54418
       6        0.499817         15.7401       0.010511        1.34536        -792.153      0.0761737        9.74994       0.0963144       0.072234        9.24567
       7         0.50177         15.4324      0.0124767        1.59697        -793.813       0.073516        9.40976       0.0833393      0.0823101        10.5354
       8        0.501587         15.8828      0.0107448        1.37529        -793.337      0.0741047        9.48511       0.0279637      0.0779572        9.97821
   total        0.499664         15.8056     0.00391438        1.41715        -793.345       0.025885        9.37134        0.014986      0.0267412        9.68132

    mode      occupation             +/-         std dev
     -15       0.0109822     2.84573e-05       0.0103026
     -14       0.0157816     3.84668e-05       0.0139264
     -13       0.0242013     5.34244e-05       0.0193416
     -12       0.0400071     7.60617e-05       0.0275372
     -11       0.0681223     0.000109683       0.0397092
     -10        0.120523     0.000164859        0.059685
      -9        0.219522     0.000243347       0.0881007
      -8        0.398819     0.000358663         0.12985
      -7        0.745553     0.000543879        0.196905
      -6         1.35483     0.000800357        0.289759
      -5         2.46182       0.0012039        0.435856
      -4         4.29767      0.00172494        0.624494
      -3         7.11306      0.00235308        0.851903
      -2         10.8533      0.00304791         1.10346
      -1         14.3696      0.00354608         1.28381
       0         15.8056      0.00391438         1.41715
       1         14.3716      0.00354461         1.28328
       2         10.8586      0.00306241         1.10871
       3         7.11075      0.00234901        0.850428
       4         4.29769      0.00173215        0.627102
       5         2.46255      0.00120295        0.435512
       6         1.35591     0.000800858         0.28994
       7        0.745467     0.000542538        0.196419
       8        0.399184     0.000357702        0.129502
       9        0.219518     0.000244052       0.0883559
      10          0.1206     0.000165156       0.0597928
      11       0.0678378     0.000109552        0.039662
      12       0.0399684     7.61255e-05       0.0275603
      13       0.0241261     5.33153e-05       0.0193021
      14       0.0158018      3.8396e-05       0.0139008
      15       0.0109964     2.83833e-05       0.0102758
