12 -0.016226458893179235
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484009         15.7648      0.0179991        2.30382        -748.449        3.45087        441.698      0.00340174       0.074482         9.5334
  accept        0.497925         16.0575       0.010813        1.38403        -812.742      0.0679411         8.6962       0.0451642      0.0723028        9.25448
  accept        0.498291         15.8624       0.010634        1.36111        -813.416      0.0669099         8.5642      -0.0166003      0.0713214        9.12886
       1        0.502991         16.3445      0.0113525        1.45307        -812.872      0.0685697        8.77665       0.0248142       0.069207        8.85822
       2        0.502625         15.9843      0.0108508        1.38887        -813.819       0.066817        8.55232       0.0808822      0.0687406        8.79853
       3        0.493652         15.7471      0.0113818        1.45682        -813.755       0.066833        8.55436       0.0412738      0.0670291        8.57947
       4        0.496826         15.8174      0.0105444        1.34964        -812.867      0.0759641        9.72311       -0.132558      0.0736892        9.43192
       5        0.498352         15.7632      0.0100234        1.28295        -813.548      0.0673292        8.61787      -0.0667039      0.0691841        8.85529
       6        0.499146         15.8513      0.0116462        1.49067        -813.811      0.0654807        8.38128      0.00611303         0.0667        8.53734
       7        0.497253          15.886      0.0101922        1.30456         -813.36      0.0702808        8.99566      -0.0490938      0.0714873         9.1501
       8        0.507202         15.8166       0.011688        1.49602        -813.035      0.0648132        8.29584       0.0988958        0.06534        8.36327
   total        0.499756         15.9013     0.00391291        1.41662        -813.383      0.0241845         8.7557      0.00045286      0.0243835        8.82774

    mode      occupation             +/-         std dev
     -13       0.0222616     5.05181e-05       0.0182894
     -12       0.0363742     7.23926e-05       0.0262088
     -11       0.0634724     0.000105085       0.0380446
     -10        0.113627     0.000157871       0.0571553
      -9        0.212137     0.000236149       0.0854949
      -8        0.390484     0.000359147        0.130025
      -7        0.727936     0.000533811        0.193259
      -6         1.33866     0.000794048        0.287475
      -5         2.45795      0.00119974        0.434351
      -4         4.31326      0.00169061        0.612063
      -3         7.13874      0.00230733         0.83534
      -2         10.9006      0.00298501         1.08069
      -1         14.3359      0.00357652         1.29483
       0         15.9013      0.00391291         1.41662
       1         14.3311      0.00356616         1.29108
       2         10.8974      0.00298183         1.07954
       3         7.14245      0.00229655        0.831436
       4         4.31334       0.0016903        0.611952
       5         2.45816      0.00119741        0.433506
       6         1.33859     0.000796436        0.288339
       7        0.728026      0.00053477        0.193607
       8         0.38986     0.000357944        0.129589
       9         0.21234     0.000236937       0.0857799
      10        0.113761     0.000158009       0.0572053
      11         0.06346     0.000104968       0.0380024
      12       0.0363981     7.22262e-05       0.0261486
      13       0.0223021     5.04073e-05       0.0182493
