13 -0.016226458893179235
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.483826         17.2038      0.0628726        8.04745        -751.782        3.21953        412.087       0.0843561       0.079857        10.2214
  accept        0.504517         15.5564      0.0113936        1.45833        -812.507      0.0695858        8.90671       -0.197589      0.0770143        9.85752
       1        0.498413         15.9372      0.0107162        1.37164        -813.197       0.068842        8.81151       0.0271052      0.0681081        8.71757
       2         0.50354         15.9978      0.0116384        1.48967        -813.996      0.0669395        8.56799       -0.180039      0.0689378        8.82377
       3        0.498413         15.9956       0.011563        1.48002        -813.514       0.067912        8.69247       -0.202008       0.070459        9.01848
       4        0.496826         15.6687      0.0106692        1.36562        -812.857      0.0706592         9.0441      -0.0618914      0.0716484        9.17071
       5        0.501892         15.7232     0.00934564        1.19621        -813.557      0.0698173        8.93634       0.0228141      0.0700959        8.97201
       6        0.505127          15.745      0.0113003         1.4464        -812.899      0.0723591        9.26169       0.0709036      0.0756697        9.68543
       7        0.503052         15.7582      0.0117252        1.50078        -812.723      0.0719297        9.20673        0.126625       0.072314        9.25591
       8        0.496582         15.4457     0.00978204        1.25206        -812.528      0.0758515        9.70869         -0.1153       0.069841        8.93938
   total        0.500481         15.7839     0.00387508        1.40292        -813.159      0.0249888        9.04687      -0.0389737      0.0250741        9.07775

    mode      occupation             +/-         std dev
     -14       0.0154386     3.80629e-05       0.0137802
     -13       0.0238672     5.27686e-05       0.0191042
     -12       0.0392771     7.51008e-05       0.0271893
     -11       0.0675341     0.000108631       0.0393283
     -10        0.122025     0.000162659       0.0588885
      -9        0.219938     0.000242048       0.0876302
      -8        0.410338     0.000363643        0.131652
      -7        0.750526     0.000542799        0.196514
      -6          1.3752     0.000810599        0.293467
      -5          2.4998      0.00116742        0.422649
      -4         4.33398      0.00166839        0.604018
      -3          7.1795      0.00228302        0.826539
      -2         10.8313      0.00299255         1.08342
      -1         14.2453      0.00349669         1.26593
       0         15.7839      0.00387508         1.40292
       1         14.2484      0.00350445         1.26874
       2          10.824      0.00298551         1.08087
       3         7.17395      0.00228573        0.827521
       4         4.33405      0.00166592        0.603124
       5          2.4966      0.00116752        0.422684
       6         1.37664     0.000811011        0.293616
       7        0.750658     0.000543391        0.196728
       8        0.409912     0.000362665        0.131298
       9         0.21983     0.000241404       0.0873971
      10        0.121868     0.000163219       0.0590913
      11       0.0675477     0.000108677        0.039345
      12       0.0394063     7.53988e-05       0.0272972
      13       0.0238453     5.26084e-05       0.0190462
      14       0.0154333     3.80029e-05       0.0137584
