14 -0.016226458893179235
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.483704         15.9548      0.0303633        3.88638        -715.712        4.83184        618.457     -0.00703201      0.0798878        10.2253
  accept        0.512695          15.811      0.0109807        1.40548        -811.313      0.0706862        9.04756       0.0638595       0.072079        9.22583
  accept        0.503113         16.0099        0.01093        1.39899        -811.813       0.075068        9.60841       0.0531581      0.0728505        9.32458
  accept        0.497986         15.5853     0.00938884        1.20174        -812.169      0.0771073        9.86943       -0.139812      0.0666925        8.53637
  accept        0.499451          15.588      0.0100662        1.28843        -811.631       0.071566        9.16017        -0.13727      0.0785821        10.0582
       1        0.502502         15.1523      0.0101879        1.30401         -810.88      0.0751919        9.62427      -0.0304114      0.0705691        9.03257
       2        0.494324         15.5285      0.0105135        1.34568        -810.927      0.0753198        9.64064      -0.0103483      0.0806274          10.32
       3        0.500183         15.8225      0.0108697        1.39128        -811.861      0.0734792        9.40505        0.159061      0.0772737        9.89073
       4         0.49707          15.673     0.00978768        1.25279         -812.75      0.0717358        9.18191       0.0862531      0.0652101        8.34664
       5        0.498108         15.7558       0.011277        1.44342        -810.451      0.0742315        9.50134      0.00435243      0.0756589        9.68404
       6        0.502808         15.6902      0.0100163        1.28205        -811.583      0.0752845        9.63612      -0.0476117      0.0751818        9.62297
       7        0.496521         15.5834      0.0103086        1.31947        -812.683      0.0702373        8.99011       0.0344631      0.0742907        9.50892
       8        0.496033         15.2277     0.00881308        1.12804        -811.678      0.0736305        9.42441        -0.13609      0.0720101        9.21701
   total        0.498444         15.5542     0.00367624        1.33094        -811.602      0.0261298        9.45997      0.00745847      0.0261558        9.46939

    mode      occupation             +/-         std dev
     -15       0.0113042     2.90611e-05       0.0105212
     -14       0.0162573     3.95144e-05       0.0143057
     -13       0.0254554      5.5238e-05       0.0199982
     -12       0.0418322     7.80749e-05        0.028266
     -11       0.0720669     0.000115256        0.041727
     -10        0.128931     0.000169791       0.0614705
      -9        0.232023      0.00025068       0.0907557
      -8        0.427302     0.000376733        0.136391
      -7         0.76791     0.000545649        0.197545
      -6         1.41088     0.000836773        0.302943
      -5         2.52035      0.00119586        0.432947
      -4         4.38722      0.00170713        0.618044
      -3         7.20017      0.00226542        0.820168
      -2         10.7961      0.00296327         1.07281
      -1         14.1858      0.00357296         1.29354
       0         15.5542      0.00367624         1.33094
       1         14.1795       0.0035552         1.28712
       2            10.8      0.00296815         1.07458
       3         7.20127      0.00226186        0.818877
       4         4.38693      0.00170617        0.617697
       5         2.51959      0.00118878        0.430382
       6         1.41061       0.0008393        0.303858
       7        0.768257     0.000545474        0.197482
       8         0.42811     0.000376441        0.136286
       9        0.232306     0.000251214       0.0909489
      10        0.128863     0.000168898       0.0611475
      11       0.0720381     0.000115273        0.041733
      12       0.0419054     7.80328e-05       0.0282508
      13        0.025314     5.48197e-05       0.0198468
      14       0.0162615     3.94412e-05       0.0142792
      15       0.0112822     2.89402e-05       0.0104774
