12 -0.016400936945794066
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.486755         15.3457      0.0238387        3.05126        -761.393        3.32458        425.534     -0.00466631      0.0815295        10.4355
  accept        0.494629         15.8197      0.0101995        1.30549        -831.594      0.0671478        8.59466      -0.0195386       0.066321        8.48883
  accept        0.498413         15.7351     0.00899104        1.15082          -832.4      0.0684394        8.75998      -0.0111138      0.0725912        9.29139
  accept         0.50177         15.6236     0.00964291        1.23426        -831.855      0.0625925         8.0116      -0.0310901      0.0683581        8.74957
       1        0.503967         15.9109      0.0101713        1.30189        -831.575      0.0660376        8.45255      -0.0657987       0.074375        9.51971
       2        0.504944         15.5382       0.011395        1.45851        -831.197       0.069638        8.91339      0.00759417      0.0696456        8.91436
       3        0.493469         15.7749      0.0108208        1.38501        -832.077      0.0707967         9.0617      -0.0928274      0.0680067        8.70459
       4        0.503601         15.4467      0.0100956        1.29219        -830.943      0.0701164        8.97463       0.0739656      0.0705088        9.02485
       5        0.497864         15.7017      0.0116447        1.49048         -831.16      0.0713545         9.1331       0.0518944      0.0681944        8.72862
       6        0.498535         15.6609      0.0103091        1.31952        -832.349      0.0666052        8.52521       0.0987143      0.0717427        9.18279
       7        0.507935         15.7681      0.0106888        1.36812        -829.751      0.0719031        9.20331    -0.000423638      0.0773172         9.8963
       8        0.496826         15.6053      0.0101642        1.30097         -831.55      0.0648327        8.29834       -0.166134      0.0762948        9.76544
   total        0.500893         15.6758      0.0037932        1.37328        -831.325      0.0244643        8.85697      -0.0116268      0.0254871        9.22729

    mode      occupation             +/-         std dev
     -13       0.0230657     5.09776e-05       0.0184558
     -12       0.0378286     7.36343e-05       0.0266584
     -11        0.066354      0.00010811       0.0391399
     -10        0.119756     0.000158097        0.057237
      -9        0.218436     0.000239557       0.0867285
      -8         0.40757     0.000364363        0.131913
      -7        0.755326     0.000546989         0.19803
      -6         1.38313     0.000805621        0.291665
      -5         2.50007      0.00120791        0.437307
      -4         4.36479      0.00166023        0.601064
      -3         7.20325      0.00230387        0.834086
      -2         10.8719      0.00299422         1.08402
      -1         14.2153      0.00352733         1.27702
       0         15.6758       0.0037932         1.37328
       1         14.2103      0.00353369         1.27933
       2          10.864      0.00299728         1.08513
       3         7.20864      0.00230127        0.833144
       4         4.36241      0.00166154         0.60154
       5         2.49973      0.00120812        0.437384
       6         1.38293     0.000805174        0.291503
       7        0.756711     0.000550859        0.199431
       8        0.407995     0.000364556        0.131983
       9        0.217926     0.000238983       0.0865206
      10         0.11989     0.000158708       0.0574582
      11       0.0661781     0.000108478       0.0392731
      12       0.0377868     7.33894e-05       0.0265697
      13       0.0229322     5.07098e-05       0.0183588
