13 -0.016400936945794066
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.483154          15.205      0.0211445        2.70641        -742.466        4.17058        533.817       0.0657462      0.0956615        12.2443
  accept        0.501587          15.936       0.010667        1.36533        -832.027      0.0737733        9.44269      -0.0252428      0.0712557        9.12046
       1        0.505798         15.5179     0.00975562        1.24868        -831.505      0.0674947        8.63905       0.0495701       0.076596        9.80399
       2         0.50592         15.6148      0.0100192        1.28242        -831.236      0.0745005        9.53577       0.0913252      0.0787706        10.0823
       3        0.498474         15.4687      0.0111418        1.42611        -829.875       0.069603        8.90892       0.0429512      0.0750321        9.60382
       4        0.492737         15.4732      0.0101623        1.30073        -831.128      0.0690548        8.83874         0.11125      0.0708618        9.07003
       5         0.50238         15.5557      0.0106088        1.35789        -831.471       0.069126        8.84786       0.0591911      0.0702577        8.99271
       6        0.504822         15.7307      0.0107636         1.3777        -830.838      0.0683128        8.74377       0.0546901       0.070434        9.01527
       7        0.499268         15.6984      0.0108784        1.39239        -831.493      0.0705217         9.0265      -0.0404213      0.0764744        9.78842
       8        0.497803          15.637      0.0103547        1.32536        -830.387      0.0736904        9.43208        0.227765      0.0753716        9.64726
   total          0.5009          15.587     0.00371031        1.34327        -830.992      0.0249103        9.01845       0.0745402       0.026264        9.50854

    mode      occupation             +/-         std dev
     -14       0.0160182     3.83586e-05       0.0138873
     -13       0.0248152     5.32739e-05       0.0192871
     -12       0.0412947     7.77702e-05       0.0281557
     -11       0.0708783      0.00011346       0.0410768
     -10        0.127136     0.000166433       0.0602551
      -9        0.232224     0.000245594       0.0889143
      -8        0.422077     0.000367589        0.133081
      -7        0.777017     0.000549103        0.198796
      -6          1.4109     0.000819691        0.296759
      -5         2.54444      0.00119107        0.431213
      -4         4.40424      0.00170539        0.617414
      -3         7.16642      0.00227315        0.822966
      -2         10.8253      0.00296293         1.07269
      -1         14.1306      0.00365817         1.32439
       0          15.587      0.00371031         1.34327
       1         14.1403      0.00364276         1.31882
       2         10.8289      0.00297146         1.07578
       3         7.17102      0.00228649        0.827794
       4         4.40916      0.00170301        0.616553
       5         2.54369      0.00119333        0.432029
       6         1.41421     0.000819379        0.296646
       7        0.776917     0.000551118        0.199525
       8        0.422449      0.00036919        0.133661
       9        0.232589     0.000245909       0.0890281
      10        0.127387     0.000166506       0.0602815
      11       0.0707296     0.000112586       0.0407603
      12       0.0413231     7.80303e-05       0.0282499
      13       0.0248405     5.35703e-05       0.0193944
      14        0.016089     3.84971e-05       0.0139374
