14 -0.016400936945794066
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.482727         15.4303      0.0234541        3.00204         -729.31        4.70732        602.519       0.0334052      0.0763299        9.76993
  accept        0.497314         15.7033     0.00984883        1.26061        -828.967       0.074282         9.5078       0.0591236       0.073259        9.37687
  accept        0.498291         15.3883      0.0101815        1.30319        -829.783      0.0742776        9.50725        0.123949      0.0762933        9.76524
  accept        0.497498         15.2243     0.00994724        1.27321        -829.322      0.0709328        9.07912       0.0654666      0.0783575        10.0295
  accept        0.490784         15.5602      0.0102168        1.30772        -829.179      0.0718745        9.19966        0.109072      0.0754963        9.66323
  accept        0.502869         15.5196      0.0111059        1.42151        -828.955      0.0725745        9.28925      -0.0610428      0.0735698        9.41665
  accept        0.499023         15.5636      0.0106669        1.36532        -830.566      0.0730339        9.34806      -0.0189594      0.0693153        8.87209
  accept        0.502991         15.5471      0.0103091        1.31953        -829.286      0.0704026        9.01125        0.031464      0.0688004        8.80618
  accept        0.501709         15.2809      0.0102407        1.31077        -829.768      0.0748107        9.57548       -0.039436      0.0661543         8.4675
  accept        0.500854         15.3235      0.0102682        1.31429         -829.72      0.0740482        9.47788        0.110441       0.076713        9.81896
  accept        0.502869         15.6301      0.0110698        1.41689        -829.899      0.0739169        9.46107      -0.0764547       0.078538        10.0526
       1        0.499329         15.3022      0.0106482        1.36293        -830.663      0.0705994        9.03644      -0.0500783       0.070054        8.96664
       2        0.498596         15.5578     0.00996828         1.2759        -830.422      0.0734156        9.39691       0.0479695      0.0716536        9.17138
       3        0.498596         15.6842      0.0102712        1.31467        -830.273      0.0702744        8.99485        0.120697      0.0685511        8.77427
       4        0.496399         15.4001     0.00991154        1.26864        -829.974      0.0698837        8.94484      -0.0350518      0.0686906        8.79212
       5        0.498657         15.6466      0.0104042         1.3317        -829.727      0.0775827        9.93028        0.142136      0.0708262        9.06548
       6        0.493958         15.6567      0.0106089         1.3579        -830.751      0.0708636        9.07026      -0.0854712       0.075596        9.67599
       7         0.50592         15.5412      0.0103982        1.33093        -830.208       0.074039         9.4767      -0.0644024      0.0724106        9.26827
       8        0.505249         15.6294     0.00943884        1.20813        -830.395      0.0786188        10.0629      -0.0243006      0.0724225         9.2698
   total        0.499588         15.5523     0.00362776        1.31339        -830.302      0.0259037        9.37811      0.00643717      0.0252109        9.12729

    mode      occupation             +/-         std dev
     -15        0.011517     2.94247e-05       0.0106528
     -14       0.0167203     3.97406e-05       0.0143876
     -13        0.026142     5.50118e-05       0.0199163
     -12       0.0435703     7.96543e-05       0.0288378
     -11       0.0741507       0.0001143       0.0413807
     -10        0.131635     0.000169082        0.061214
      -9        0.237169     0.000248324       0.0899024
      -8        0.433264     0.000371819        0.134612
      -7        0.789641     0.000549548        0.198957
      -6         1.42001     0.000812795        0.294262
      -5         2.52921      0.00119285        0.431855
      -4         4.40587      0.00167057         0.60481
      -3         7.23327      0.00229521        0.830951
      -2         10.7874      0.00299813         1.08543
      -1         14.0844      0.00349845         1.26657
       0         15.5523      0.00362776         1.31339
       1         14.0883       0.0035043         1.26869
       2         10.7829      0.00298337         1.08009
       3         7.22815      0.00228159        0.826021
       4         4.40678      0.00167087        0.604919
       5         2.53293      0.00119533        0.432755
       6         1.42112     0.000817707         0.29604
       7        0.788996     0.000548515        0.198583
       8        0.433336     0.000371504        0.134498
       9         0.23731     0.000248871       0.0901005
      10        0.131831     0.000169272       0.0612828
      11       0.0741577     0.000114251       0.0413631
      12       0.0434881     7.95163e-05       0.0287879
      13         0.02617     5.52673e-05       0.0200088
      14       0.0167424     3.97527e-05        0.014392
      15        0.011445     2.92581e-05       0.0105925
