12 -0.016575414998408897
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.481201         15.1645      0.0194942        2.49518        -813.591        2.08855        267.326      -0.0340691      0.0861639        11.0286
  accept        0.500061         15.4695      0.0104898        1.34266        -849.118      0.0702379        8.99017       0.0932113      0.0769259        9.84622
  accept        0.502625         15.2842      0.0103942        1.33042        -850.034      0.0643253        8.23339       0.0549657      0.0693233        8.87312
       1        0.500427         15.4575      0.0110816         1.4184        -849.737      0.0662202        8.47593       -0.118919       0.066519        8.51417
       2        0.500916         15.7744      0.0110043        1.40851        -850.372      0.0670731         8.5851        0.123207       0.069886        8.94513
       3        0.493103         15.8015     0.00929564        1.18981        -849.947      0.0635705        8.13678        0.123777      0.0670391        8.58075
       4        0.506958         15.5621      0.0096122        1.23032        -848.756      0.0673392        8.61916       0.0269095       0.069236        8.86194
       5        0.502747         15.4194      0.0103459        1.32424        -849.188      0.0680021        8.70401       0.0117554      0.0691864        8.85559
       6        0.500183          15.506     0.00954537        1.22177        -849.682      0.0677896         8.6768       -0.149467      0.0705072        9.02464
       7        0.502136         15.3104       0.010903        1.39554        -848.507      0.0681205        8.71916       0.0109817      0.0725825        9.29028
       8        0.496826         15.6257      0.0102669        1.31413        -848.815      0.0687305        8.79723      -0.0199401      0.0767326        9.82148
   total        0.500412         15.5571     0.00366039         1.3252        -849.376      0.0237911        8.61325      0.00103813      0.0248466        8.99541

    mode      occupation             +/-         std dev
     -13       0.0233109     5.13893e-05       0.0186049
     -12       0.0393387     7.47431e-05       0.0270598
     -11       0.0691103      0.00011113       0.0402331
     -10        0.124612     0.000163842       0.0593169
      -9        0.227978      0.00024836       0.0899156
      -8        0.421694     0.000373983        0.135396
      -7        0.777089     0.000561723        0.203365
      -6         1.40843     0.000828901        0.300093
      -5         2.54145      0.00119597        0.432986
      -4         4.41782      0.00166861          0.6041
      -3         7.23836      0.00228401        0.826898
      -2         10.7733      0.00296411         1.07312
      -1         14.1564       0.0035157         1.27282
       0         15.5571      0.00366039          1.3252
       1         14.1571      0.00351062         1.27098
       2         10.7787      0.00295189          1.0687
       3         7.24062      0.00228255        0.826369
       4         4.41812       0.0016764        0.606921
       5         2.53807      0.00119377        0.432191
       6          1.4088     0.000830454        0.300655
       7        0.776469     0.000561148        0.203157
       8        0.421455     0.000374862        0.135714
       9        0.228208     0.000247502        0.089605
      10         0.12477     0.000164517       0.0595614
      11       0.0688978     0.000110337       0.0399459
      12        0.039331     7.46266e-05       0.0270176
      13       0.0234095     5.17958e-05        0.018752
