13 -0.016575414998408897
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.485046         15.6992       0.018449         2.3614        -763.286        5.46783        699.861       -0.067724      0.0772808        9.89163
  accept         0.49823         15.1648     0.00936159        1.19825        -850.195      0.0697214        8.92406      -0.0890001       0.067603        8.65292
  accept        0.501099          15.501       0.011138        1.42562        -848.446      0.0697995        8.93406       0.0873617      0.0703189        9.00054
  accept        0.502869         15.7725      0.0100385        1.28488        -850.406      0.0712994        9.12605       0.0212882      0.0719705        9.21194
  accept        0.502075         15.2851     0.00888465         1.1372        -849.346       0.074437        9.52765       0.0978323      0.0750315        9.60374
  accept        0.505188         15.4452     0.00981869        1.25675        -849.275      0.0681537         8.7234        0.125572      0.0850573         10.887
  accept        0.506165         15.4386     0.00989374        1.26636        -848.894      0.0745078         9.5367      -0.0695253      0.0694668        8.89148
  accept        0.497803         15.5712      0.0103266        1.32177        -849.262        0.07055        9.03012      -0.0372025      0.0666262        8.52789
       1        0.503418         15.4672      0.0102143        1.30739          -850.6      0.0760471        9.73373      -0.0560544       0.068392        8.75391
       2         0.50293         15.4469      0.0107581          1.377        -849.328      0.0714294        9.14268       0.0827313      0.0738745        9.45564
       3        0.503052         15.2416     0.00994942        1.27349        -849.585      0.0723492        9.26041      -0.0604168      0.0683228        8.74505
       4        0.495483          15.476     0.00897272        1.14847        -850.648      0.0696293        8.91227       0.0811472      0.0727921         9.3171
       5         0.49884         15.5265      0.0102587        1.31307        -849.217      0.0713439        9.13174       -0.135018      0.0687993        8.80604
       6        0.494751         15.4874     0.00876033        1.12129         -849.45       0.073172        9.36573      0.00478984      0.0715142        9.15354
       7        0.499756          15.316      0.0104434        1.33671        -849.846      0.0700568        8.96699    -7.29864e-05       0.068744        8.79897
       8        0.505432         15.2711      0.0109776        1.40509        -849.935      0.0704299        9.01475       -0.128021      0.0687765        8.80312
   total        0.500458         15.4041     0.00357118         1.2929        -849.826      0.0254351        9.20846      -0.0263644       0.024813        8.98325

    mode      occupation             +/-         std dev
     -14       0.0162557     3.89407e-05        0.014098
     -13       0.0257088     5.48044e-05       0.0198412
     -12       0.0428705      7.8106e-05       0.0282773
     -11       0.0743711     0.000114745       0.0415418
     -10        0.132704      0.00016998       0.0615391
      -9        0.239888     0.000251894       0.0911949
      -8         0.43956     0.000381855        0.138246
      -7        0.792704     0.000546475        0.197844
      -6         1.45365     0.000828886        0.300088
      -5          2.5721      0.00119292        0.431881
      -4         4.42423       0.0016984        0.614885
      -3         7.22747      0.00221978        0.803642
      -2         10.7788       0.0028556         1.03384
      -1         14.0797      0.00351025         1.27084
       0         15.4041      0.00357118          1.2929
       1         14.0848      0.00351008         1.27078
       2         10.7777       0.0028565         1.03416
       3         7.22314      0.00221913        0.803407
       4          4.4232      0.00169714        0.614429
       5         2.56953      0.00119454        0.432469
       6         1.45313     0.000827182        0.299471
       7        0.792132     0.000545865        0.197623
       8        0.440765     0.000381564         0.13814
       9        0.240169     0.000251208       0.0909468
      10        0.132098     0.000169474       0.0613558
      11       0.0745178      0.00011499       0.0416306
      12       0.0428435       7.804e-05       0.0282534
      13       0.0256948     5.46009e-05       0.0197676
      14       0.0162931     3.88935e-05       0.0140809
