14 -0.016575414998408897
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.481018         15.6915      0.0202825        2.59608        -769.354        4.57143        585.126       0.0703497       0.075998        9.72745
  accept        0.500061         15.3938      0.0104684        1.33992        -849.251       0.069242         8.8627      -0.0361646      0.0693903        8.88168
  accept        0.498962          15.388     0.00944869        1.20939        -849.508      0.0717424        9.18275       0.0705507      0.0741601         9.4922
  accept        0.492615          15.239     0.00949819        1.21573        -848.003       0.071803         9.1905       0.0290844      0.0770403        9.86086
       1        0.504944         15.6167      0.0115754        1.48161        -847.794      0.0750744        9.60923        0.144866      0.0732239        9.37237
       2        0.496521         15.3068      0.0114939        1.47118        -848.858      0.0738376        9.45092      0.00553737      0.0717679        9.18601
       3        0.498779         15.3789      0.0120166        1.53807        -847.914      0.0755275        9.66722      0.00292939      0.0720813        9.22612
       4        0.498901         15.5017     0.00954044        1.22114        -847.711      0.0759643        9.72314       -0.048452      0.0737049        9.43394
       5        0.503296         15.4788      0.0105939        1.35597        -847.903      0.0751609         9.6203      -0.0145133      0.0713436         9.1317
       6        0.497742         15.3935      0.0106076        1.35773        -847.667      0.0786253        10.0637       0.0153959      0.0750896        9.61117
       7        0.494446         15.4326      0.0109742        1.40465        -847.555      0.0780635        9.99182       0.0707883      0.0683736        8.75155
       8        0.499817         15.1713     0.00990151        1.26735        -848.547      0.0749892        9.59833      -0.0719645      0.0749659        9.59534
   total        0.499306         15.4101     0.00385739        1.39652        -847.994       0.026867        9.72684       0.0130734      0.0256665        9.29222

    mode      occupation             +/-         std dev
     -15        0.011921       2.996e-05       0.0108466
     -14       0.0170351     4.01982e-05       0.0145533
     -13       0.0275121     5.69316e-05       0.0206114
     -12       0.0448004     8.08166e-05       0.0292586
     -11       0.0786556     0.000118872       0.0430361
     -10        0.137565     0.000172464       0.0624384
      -9          0.2462     0.000259833       0.0940694
      -8        0.450964     0.000386407        0.139894
      -7        0.815821     0.000574403        0.207955
      -6         1.46235     0.000823755         0.29823
      -5         2.60016      0.00119167        0.431428
      -4          4.4531      0.00168698         0.61075
      -3         7.22072      0.00220566        0.798532
      -2         10.7499      0.00296319         1.07278
      -1         13.9753      0.00342221         1.23897
       0         15.4101      0.00385739         1.39652
       1         13.9748      0.00342538         1.24012
       2         10.7518      0.00296541         1.07359
       3         7.22434      0.00220302        0.797574
       4          4.4573      0.00168683        0.610694
       5         2.59775      0.00119253        0.431741
       6          1.4622     0.000822743        0.297863
       7        0.814661     0.000574829        0.208109
       8        0.451374     0.000387347        0.140234
       9        0.246303     0.000261186        0.094559
      10        0.137633     0.000172552       0.0624704
      11       0.0785728     0.000118882       0.0430397
      12       0.0447415     8.11357e-05       0.0293742
      13       0.0274833     5.70442e-05       0.0206521
      14       0.0170138     3.97259e-05       0.0143823
      15       0.0119603     3.00803e-05       0.0108902
