12 -0.01674989305102373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.486938         15.2823       0.012208        1.56257        -841.772        1.84949        236.727        0.211817      0.0718035        9.19057
  accept        0.496094         15.3022     0.00948737        1.21435        -868.441      0.0680084        8.70481      -0.0408409      0.0730319         9.3478
       1         0.49884          15.263     0.00940113        1.20331        -868.492      0.0671681        8.59725       -0.143159      0.0708595        9.06974
       2        0.500488         15.3576      0.0100604        1.28769         -867.24      0.0645967        8.26813       0.0378351      0.0746306        9.55243
       3        0.498779          15.428     0.00995205        1.27382         -868.18      0.0651936        8.34452       0.0035467      0.0705719        9.03293
       4        0.506836         15.3729       0.010393        1.33026        -867.077      0.0667979        8.54987      -0.0464378      0.0686026        8.78086
       5        0.504028         15.4368      0.0111305        1.42466        -867.311      0.0674378        8.63178      -0.0930975       0.077506        9.92046
       6        0.497131         15.4327     0.00997275        1.27647        -867.895      0.0680214        8.70647        0.016859      0.0711127        9.10215
       7        0.501465         15.6055       0.010758        1.37698        -867.625      0.0676412         8.6578       0.0629537      0.0740327         9.4759
       8        0.499695         15.6219      0.0104382        1.33605        -868.359      0.0693718        8.87932      -0.0397584      0.0697146        8.92319
   total        0.500908         15.4398     0.00364627        1.32009        -867.772      0.0237434          8.596      -0.0251573      0.0255197        9.23908

    mode      occupation             +/-         std dev
     -13       0.0247645     5.37445e-05       0.0194575
     -12       0.0415547     7.77801e-05       0.0281593
     -11       0.0722914     0.000114023       0.0412806
     -10        0.129659     0.000166024       0.0601067
      -9        0.236139     0.000246439       0.0892201
      -8        0.434843     0.000366405        0.132652
      -7        0.794187     0.000548768        0.198675
      -6         1.44597     0.000816026        0.295432
      -5          2.5823      0.00119584         0.43294
      -4          4.4435      0.00168124        0.608672
      -3         7.25631       0.0022516        0.815165
      -2         10.7891      0.00293512         1.06262
      -1         14.0308      0.00340686         1.23341
       0         15.4398      0.00364627         1.32009
       1         14.0346      0.00339981         1.23086
       2         10.7877      0.00292515         1.05901
       3         7.25438      0.00225236        0.815438
       4         4.44279      0.00168155        0.608783
       5         2.58114      0.00119758        0.433568
       6          1.4462     0.000816725        0.295685
       7        0.794895     0.000551271        0.199581
       8        0.433456     0.000365313        0.132257
       9        0.235767     0.000245355       0.0888276
      10        0.129502     0.000165971       0.0600877
      11        0.072279     0.000113812       0.0412043
      12       0.0415357      7.7551e-05       0.0280764
      13       0.0246359     5.34882e-05       0.0193647
