13 -0.01674989305102373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.486572         16.3992      0.0349704        4.47607        -783.825        3.92418         502.28      -0.0745576      0.0762449        9.75905
  accept        0.496216         15.3348     0.00959958        1.22871         -867.67      0.0699742        8.95642       -0.089582      0.0699698        8.95586
       1        0.503357         15.2345     0.00911285        1.16641        -869.129      0.0694476        8.88902       -0.108242        0.07084        9.06724
       2        0.504395         15.2297     0.00976198         1.2495        -868.995      0.0659794         8.4451      0.00188557      0.0739429         9.4644
       3        0.503723         15.3538      0.0111856        1.43171        -867.571      0.0706484        9.04272       0.0316433       0.073857        9.45341
       4        0.497253         15.2332      0.0102545        1.31253        -869.125      0.0687742        8.80282       0.0539468      0.0711411        9.10578
       5        0.496399         15.4079      0.0106027         1.3571        -867.314      0.0780088        9.98482       0.0318536      0.0670145         8.5776
       6        0.495422         15.1878     0.00960272        1.22911        -867.267      0.0718022         9.1904     -0.00968375      0.0753286        9.64176
       7        0.497131          15.208      0.0092668        1.18611        -867.919      0.0685371        8.77248      -0.0693861      0.0770978        9.86822
       8        0.499573           15.31      0.0100692        1.28882        -868.301      0.0763268        9.76953      -0.0175674      0.0744938        9.53492
   total        0.499657         15.2706     0.00354218         1.2824        -868.203      0.0252893        9.15568      -0.0106938       0.025817        9.34673

    mode      occupation             +/-         std dev
     -14       0.0171919     4.05484e-05         0.01468
     -13       0.0268496     5.55169e-05       0.0200992
     -12       0.0448877     8.14547e-05       0.0294896
     -11       0.0777426     0.000117933       0.0426962
     -10        0.138155     0.000172725       0.0625327
      -9        0.250418     0.000256628       0.0929088
      -8        0.454545     0.000380873         0.13789
      -7        0.826405     0.000561817        0.203399
      -6         1.48838      0.00082787         0.29972
      -5         2.61898      0.00120258        0.435378
      -4         4.49707      0.00167084        0.604905
      -3         7.27111      0.00225467        0.816275
      -2         10.7519      0.00290708         1.05247
      -1          13.902      0.00341024         1.23463
       0         15.2706      0.00354218          1.2824
       1         13.9025      0.00341256         1.23548
       2         10.7506      0.00290228         1.05073
       3         7.27262      0.00225454        0.816226
       4         4.49663       0.0016767        0.607027
       5         2.61811      0.00120445        0.436056
       6         1.48716     0.000827456         0.29957
       7        0.826534     0.000561324         0.20322
       8        0.454035     0.000379763        0.137489
       9         0.25057     0.000256691       0.0929316
      10        0.138134     0.000173165       0.0626923
      11       0.0778569     0.000117763       0.0426347
      12       0.0450037     8.14117e-05       0.0294741
      13       0.0268433     5.54195e-05       0.0200639
      14       0.0171674     4.04999e-05       0.0146625
