14 -0.01674989305102373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.489197          15.459      0.0190348        2.43638        -769.902        5.24987        671.963       -0.101837       0.092895        11.8902
  accept        0.502991          15.278      0.0103809        1.32871        -868.355      0.0723103        9.25543      -0.0549308      0.0757844        9.70011
       1        0.504456         15.2418      0.0101846        1.30359        -866.432       0.072388        9.26538      -0.0439906      0.0713271        9.12959
       2        0.503479         14.9463      0.0102006        1.30563        -866.692      0.0718277        9.19366      -0.0187416      0.0647408        8.28657
       3        0.501892          15.062     0.00933195        1.19445        -867.378      0.0754878        9.66214       0.0393864      0.0683389        8.74711
       4        0.503113         15.2082     0.00980371        1.25484        -867.524      0.0763642        9.77431      -0.0398404      0.0760276        9.73124
       5        0.503723         15.0566     0.00928952        1.18902        -867.339      0.0731756         9.3662      0.00148316      0.0732781        9.37931
       6        0.495361         14.7948     0.00978175        1.25203        -866.525      0.0719284        9.20655       0.0854912      0.0733685        9.39088
       7          0.5047          15.189     0.00987533          1.264        -868.627      0.0780108        9.98508      -0.0936679      0.0706401        9.04166
       8        0.498047          14.885     0.00908658        1.16305        -868.198      0.0683079        8.74314      -0.0658779       0.069693        8.92043
   total        0.501846          15.048     0.00345555        1.25104        -867.339      0.0260616        9.43527      -0.0169697      0.0251017        9.08776

    mode      occupation             +/-         std dev
     -15       0.0123393     3.06445e-05       0.0110945
     -14        0.018238     4.20835e-05       0.0152358
     -13        0.028385     5.86061e-05       0.0212176
     -12       0.0482721     8.52093e-05       0.0308489
     -11       0.0811379     0.000118807       0.0430124
     -10        0.142486     0.000174499       0.0631752
      -9        0.258225     0.000260082       0.0941593
      -8        0.464686     0.000390548        0.141393
      -7        0.843818     0.000569305         0.20611
      -6         1.49746     0.000835481        0.302475
      -5         2.63353      0.00118831        0.430212
      -4         4.48207      0.00170719        0.618067
      -3          7.2896      0.00226065         0.81844
      -2          10.738      0.00288093         1.04301
      -1         13.9408      0.00337248         1.22096
       0          15.048      0.00345555         1.25104
       1         13.9394      0.00337641         1.22239
       2         10.7384      0.00287453         1.04069
       3         7.28312      0.00225067        0.814826
       4         4.48545      0.00170604        0.617652
       5         2.63294      0.00118595        0.429357
       6         1.49637     0.000833075        0.301604
       7        0.843758     0.000568724        0.205899
       8        0.464312     0.000390825        0.141493
       9        0.258091     0.000261286       0.0945954
      10        0.142492     0.000174484       0.0631697
      11       0.0811827     0.000119177       0.0431465
      12       0.0483717     8.55632e-05       0.0309771
      13        0.028426     5.84774e-05        0.021171
      14       0.0183014     4.21036e-05       0.0152431
      15       0.0123704     3.07501e-05       0.0111327
