12 -0.016924371103638557
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.483337          14.761      0.0185482         2.3741        -825.958        4.04844        518.184       0.0197145      0.0691976        8.85703
  accept        0.497803         15.2084      0.0103236        1.32138        -885.523      0.0686791        8.79066      -0.0665817      0.0706064        9.03734
  accept        0.506287         15.2862      0.0105743        1.35347         -885.63      0.0695767        8.90555       0.0277114      0.0712241        9.11641
  accept        0.490112         14.9931     0.00989322        1.26629        -886.174      0.0702987        8.99795       0.0647194      0.0708399        9.06723
  accept        0.499512         15.1708     0.00905318        1.15877        -886.148      0.0695963        8.90806      -0.0336645      0.0766175        9.80674
  accept        0.503235         15.2106     0.00972256        1.24445        -886.796      0.0678771        8.68801      -0.0128422      0.0708835        9.07281
  accept        0.501221         15.2536      0.0100058         1.2807        -886.459      0.0678692        8.68699      -0.0566254      0.0756583        9.68396
       1        0.497742         15.3465     0.00986974        1.26329        -886.535      0.0680977        8.71624      -0.0409255      0.0759433        9.72044
       2        0.504517         14.9736     0.00882995         1.1302        -886.336      0.0664997         8.5117      -0.0911715      0.0694122        8.88449
       3        0.497742         15.2282      0.0105276        1.34749        -886.451      0.0655554        8.39084      0.00781842      0.0702797        8.99552
       4        0.505737         15.1356     0.00971898        1.24399        -885.269      0.0705845        9.03454      -0.0675071      0.0765966        9.80407
       5        0.501343         15.4576     0.00978598        1.25257        -886.971      0.0643429        8.23564      -0.0639497       0.072529        9.28343
       6        0.503296         15.4035     0.00990509        1.26781        -886.741      0.0702534        8.99216       0.0055504      0.0739182        9.46124
       7        0.499329         15.1896      0.0104286        1.33482        -885.717      0.0674051        8.62759       -0.146426      0.0699537         8.9538
       8        0.500671         15.1998       0.009922        1.26998        -886.391      0.0691866        8.85561       0.0953247      0.0728608         9.3259
   total        0.501297         15.2418      0.0035181        1.27368        -886.302      0.0240024        8.68976      -0.0376608      0.0257136        9.30928

    mode      occupation             +/-         std dev
     -13       0.0257019     5.46257e-05       0.0197766
     -12       0.0430919     7.93077e-05       0.0287123
     -11       0.0750954     0.000115628       0.0418617
     -10        0.135705     0.000171256        0.062001
      -9        0.247104     0.000254847       0.0922643
      -8         0.45174     0.000375448        0.135926
      -7        0.819887     0.000555388        0.201071
      -6         1.48068     0.000829777         0.30041
      -5         2.63375      0.00119797         0.43371
      -4          4.4935      0.00165883        0.600559
      -3         7.26482      0.00229031        0.829179
      -2         10.7454      0.00293303         1.06187
      -1         13.9685      0.00339073         1.22757
       0         15.2418       0.0035181         1.27368
       1          13.961      0.00339602         1.22949
       2         10.7486      0.00292721         1.05976
       3         7.26769      0.00229909        0.832358
       4         4.48544      0.00165873        0.600524
       5         2.63183      0.00120348        0.435704
       6         1.48034     0.000826107        0.299081
       7        0.820683     0.000557322        0.201772
       8        0.451186     0.000374817        0.135698
       9        0.247124     0.000255537       0.0925141
      10        0.135801     0.000170819        0.061843
      11       0.0749053     0.000115487       0.0418106
      12       0.0429757     7.93668e-05       0.0287337
      13       0.0256959      5.4754e-05        0.019823
