13 -0.016924371103638557
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484741         15.5186      0.0206422        2.64212        -826.227        3.84985        492.766       0.0440289      0.0711406        9.10572
  accept        0.498413         14.9965      0.0100797        1.29017        -886.945      0.0709155        9.07691      -0.0432392      0.0673806        8.62445
  accept        0.503113         14.9777     0.00997866        1.27723        -887.047      0.0726485        9.29873       0.0628607      0.0689817        8.82939
       1        0.502502         15.0818      0.0103343        1.32276        -887.282      0.0663607        8.49391        0.033045      0.0786875        10.0717
       2        0.502686         14.9478     0.00895684        1.14644        -887.637      0.0681742        8.72603        0.086009      0.0741891        9.49592
       3        0.499207         15.1918      0.0106372        1.36152        -886.891      0.0719696        9.21183     -0.00639122      0.0654467        8.37692
       4        0.498657         15.0384     0.00935873        1.19788        -886.562      0.0695116        8.89721      -0.0206143       0.070772        9.05854
       5        0.497925         14.9534     0.00967972        1.23897        -886.774      0.0699016        8.94713      -0.0345927       0.067156         8.5957
       6        0.501648         15.2561     0.00953411        1.22033        -887.233      0.0684369        8.75966      0.00428932      0.0736128        9.42215
       7        0.497253         14.9134     0.00973942        1.24661        -886.903      0.0699302        8.95079       0.0125813       0.072323        9.25706
       8        0.497742         15.2853      0.0100526         1.2867        -887.026      0.0705373         9.0285     -0.00977578      0.0654854        8.38188
   total        0.499702         15.0835     0.00348491        1.26167        -887.038      0.0245404        8.88454      0.00806881      0.0251345        9.09964

    mode      occupation             +/-         std dev
     -14       0.0174791     4.06072e-05       0.0147013
     -13       0.0273242     5.65464e-05       0.0204719
     -12       0.0460747      8.2883e-05       0.0300067
     -11       0.0807951     0.000120074       0.0434713
     -10        0.142065     0.000173312       0.0627454
      -9        0.260189     0.000261329       0.0946107
      -8        0.470634     0.000384437         0.13918
      -7        0.850352     0.000563327        0.203945
      -6         1.52648     0.000845486        0.306097
      -5         2.67206      0.00119869        0.433971
      -4          4.5455      0.00164102        0.594112
      -3         7.28441      0.00215409        0.779861
      -2         10.6869      0.00284396         1.02962
      -1         13.8473       0.0034018         1.23158
       0         15.0835      0.00348491         1.26167
       1         13.8462      0.00339515         1.22917
       2           10.69      0.00284308          1.0293
       3         7.28299      0.00216162        0.782586
       4         4.54486      0.00164335        0.594954
       5           2.674      0.00119211        0.431587
       6         1.52533     0.000839941         0.30409
       7        0.850676     0.000564713        0.204447
       8        0.470256     0.000383957        0.139007
       9         0.26061     0.000261594       0.0947067
      10        0.141923     0.000172666       0.0625115
      11       0.0810512     0.000120222       0.0435247
      12       0.0460177     8.27545e-05       0.0299602
      13       0.0275312     5.71899e-05       0.0207049
      14       0.0175026     4.05494e-05       0.0146804
