14 -0.016924371103638557
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.48053         17.4883      0.0742087        9.49843        -751.449        6.53166        836.027       0.0138245       0.100049        12.8058
  accept        0.498413         14.8686       0.010282        1.31606        -886.674      0.0719913        9.21461      -0.0025631       0.069645        8.91429
       1        0.501099         15.0136     0.00934301        1.19587        -887.358      0.0697851        8.93222        0.081999      0.0717075        9.17828
       2        0.500061         14.9112     0.00959212        1.22775        -887.052      0.0723685        9.26289       -0.160606      0.0727534        9.31216
       3        0.491638         14.8797      0.0105944        1.35604        -886.318      0.0683692        8.75099       0.0290014       0.066504        8.51225
       4        0.502991         15.1417     0.00918972        1.17625        -885.085      0.0792768        10.1471       0.0161769      0.0763088        9.76723
       5        0.501343         14.9752      0.0114156        1.46115        -885.049      0.0779449        9.97665      -0.0309382      0.0727977        9.31782
       6        0.505127         14.8814      0.0105173        1.34617        -887.247      0.0785746        10.0572       0.0144175      0.0677047        8.66594
       7        0.499084         15.1063     0.00889139        1.13806        -886.113      0.0691376        8.84934      -0.0139815      0.0800234        10.2427
       8         0.49585         15.1092      0.0101077        1.29375        -887.296      0.0703449        9.00387      -0.0739445      0.0744591        9.53048
   total        0.499649         15.0023      0.0035421        1.28237         -886.44      0.0260516        9.43166      -0.0172344      0.0257724        9.33058

    mode      occupation             +/-         std dev
     -15       0.0125817     3.13381e-05       0.0113456
     -14       0.0191406     4.31027e-05       0.0156048
     -13       0.0298163     5.96912e-05       0.0216104
     -12       0.0498343     8.50921e-05       0.0308065
     -11        0.085906     0.000125322       0.0453711
     -10         0.15081     0.000179149       0.0648585
      -9        0.273579     0.000268259       0.0971199
      -8        0.486424      0.00039676        0.143642
      -7        0.870917     0.000579034        0.209632
      -6         1.55212     0.000840166        0.304171
      -5         2.69883      0.00121558        0.440085
      -4         4.57605      0.00166931        0.604353
      -3         7.28684      0.00222525        0.805623
      -2         10.6631       0.0028479         1.03105
      -1         13.7457      0.00332203          1.2027
       0         15.0023       0.0035421         1.28237
       1         13.7453      0.00331669         1.20077
       2         10.6596      0.00284655         1.03056
       3         7.28738      0.00222523        0.805615
       4         4.57454      0.00167253        0.605519
       5         2.69852      0.00121556        0.440078
       6         1.55243     0.000837396        0.303169
       7        0.870882     0.000578204        0.209331
       8        0.485958     0.000395662        0.143244
       9        0.273477     0.000267492        0.096842
      10        0.150601     0.000178028       0.0644529
      11       0.0859748     0.000124733       0.0451582
      12       0.0497957     8.53959e-05       0.0309165
      13       0.0300088     5.99429e-05       0.0217016
      14       0.0190765     4.29965e-05       0.0155663
      15       0.0125452     3.12848e-05       0.0113263
