12 -0.017098849156253388
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.487366         14.7199      0.0205274        2.62742        -836.166        4.00546        512.683      -0.0323811      0.0701788        8.98261
  accept        0.500305         15.2078      0.0105445        1.34966        -904.882      0.0661157        8.46255        0.106068      0.0695914        8.90743
  accept        0.494446         15.3125      0.0103057        1.31908         -904.95      0.0699016        8.94713       0.0189578      0.0683305        8.74604
  accept        0.503357         15.1977      0.0100746        1.28951        -904.398      0.0673681        8.62285       0.0482048      0.0698802        8.94439
  accept        0.501953         14.9366      0.0100859        1.29096         -904.34      0.0684361        8.75956      -0.0602525      0.0788447        10.0918
       1        0.503174         15.2357     0.00973754        1.24637        -904.642      0.0670194        8.57822       0.0683417      0.0659368        8.43966
       2         0.49353         14.9894     0.00984764        1.26046         -905.14       0.068071        8.71282      -0.0782771      0.0722348        9.24577
       3        0.493103         15.0474      0.0100136        1.28171        -905.002      0.0701133        8.97423      0.00669828      0.0710847        9.09856
       4         0.50238         15.4104      0.0109437        1.40075        -904.069      0.0663474        8.49221      -0.0204743      0.0685882        8.77902
       5         0.49939         15.2318      0.0099015        1.26735        -904.336      0.0687477        8.79943      -0.0758124       0.071397        9.13853
       6        0.507446         15.0414      0.0101306        1.29667        -905.104        0.06831        8.74341      -0.0597424      0.0740826        9.48228
       7        0.500366         15.5335     0.00897408        1.14865         -904.67      0.0683138        8.74389      -0.0653858      0.0734641        9.40311
       8        0.498291         14.9364     0.00960355        1.22922         -904.48       0.071819        9.19255      -0.0595152      0.0733483         9.3883
   total         0.49971         15.1783     0.00354543        1.28358        -904.681      0.0242768        8.78909      -0.0355209      0.0252123        9.12781

    mode      occupation             +/-         std dev
     -13       0.0265432     5.61818e-05       0.0203399
     -12       0.0447726      8.0383e-05       0.0291017
     -11       0.0775238     0.000117123       0.0424028
     -10        0.140513      0.00017303       0.0626434
      -9        0.251366     0.000251594       0.0910864
      -8        0.460756     0.000383945        0.139002
      -7        0.839785     0.000560448        0.202903
      -6         1.50733     0.000846379        0.306421
      -5         2.67313      0.00119363         0.43214
      -4         4.53458      0.00167806        0.607519
      -3          7.3053      0.00221395        0.801531
      -2         10.7162      0.00289724         1.04891
      -1         13.8383       0.0033173         1.20098
       0         15.1783      0.00354543         1.28358
       1          13.834      0.00332695         1.20448
       2         10.7165      0.00289198           1.047
       3         7.30474      0.00221129         0.80057
       4         4.53308      0.00168286        0.609258
       5         2.67002      0.00119094        0.431164
       6         1.50621     0.000841952        0.304818
       7        0.839322      0.00056064        0.202973
       8        0.461319     0.000383759        0.138935
       9        0.251219     0.000251419       0.0910231
      10        0.140846     0.000173476       0.0628047
      11       0.0773199      0.00011676       0.0422714
      12       0.0446629     8.01665e-05       0.0290233
      13       0.0264205     5.56438e-05       0.0201451
