13 -0.017098849156253388
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484131         14.8883      0.0129395         1.6562        -841.576        3.15635        404.001       0.0155057      0.0797512        10.2078
  accept        0.495422         15.1247     0.00938225        1.20089        -904.882      0.0705376        9.02854       0.0415886      0.0775396        9.92477
  accept        0.502869         14.9966     0.00962316        1.23173        -905.686      0.0723252        9.25735       0.0542952      0.0756222        9.67934
       1         0.49762         14.9215     0.00994616        1.27307        -905.367      0.0718192        9.19258        0.136297      0.0740728        9.48102
       2        0.500183         15.0976     0.00939269        1.20223        -906.181      0.0726745        9.30205       0.0521308      0.0643319        8.23423
       3        0.504883         15.1965     0.00944018        1.20831          -905.6      0.0713866        9.13721       0.0730555      0.0674322        8.63106
       4        0.499573         14.7386     0.00970656         1.2424        -905.637      0.0696753        8.91817       0.0496375      0.0714066        9.13977
       5        0.502869         14.7216      0.0103959        1.33063        -905.708      0.0699257        8.95022      -0.0140077      0.0706021         9.0368
       6        0.495972         15.2889      0.0101102        1.29407        -905.318      0.0704648        9.01922       0.0455274       0.071248        9.11947
       7        0.497498         15.0227      0.0101866        1.30384        -905.943      0.0752638        9.63347       0.0994247       0.076411        9.78031
       8        0.502014         14.9197      0.0110396        1.41303        -905.731      0.0680883        8.71504      -0.0404575      0.0668821        8.56064
   total        0.500076         14.9884     0.00358816        1.29905        -905.686      0.0251793        9.11583       0.0502009      0.0248877        9.01026

    mode      occupation             +/-         std dev
     -14       0.0183694         4.2e-05       0.0152056
     -13        0.029553     5.92935e-05       0.0214665
     -12       0.0489778     8.53681e-05       0.0309064
     -11       0.0848235      0.00012326       0.0446247
     -10         0.15184     0.000181903       0.0658557
      -9        0.272091     0.000272584       0.0986855
      -8        0.483731     0.000389325         0.14095
      -7        0.875142     0.000571281        0.206825
      -6         1.55949     0.000841801        0.304763
      -5         2.72064      0.00118956        0.430666
      -4         4.58635      0.00168853        0.611309
      -3         7.33582      0.00225341        0.815817
      -2         10.6407       0.0028391         1.02786
      -1         13.6888      0.00335734         1.21548
       0         14.9884      0.00358816         1.29905
       1         13.6945      0.00336558         1.21847
       2         10.6459       0.0028391         1.02786
       3         7.33769      0.00225191        0.815277
       4         4.58969      0.00169231        0.612678
       5         2.72225      0.00118986        0.430774
       6         1.56021     0.000837817        0.303321
       7        0.875493     0.000572528        0.207276
       8        0.483927     0.000387282        0.140211
       9        0.272503     0.000272893       0.0987975
      10        0.151559     0.000181578       0.0657382
      11       0.0846593     0.000122852       0.0444769
      12        0.048941     8.53385e-05       0.0308957
      13       0.0295519     5.91407e-05       0.0214111
      14       0.0183805     4.21954e-05       0.0152763
