14 -0.017098849156253388
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484619         14.8579      0.0106862        1.36779        -826.917        3.41546        437.165        0.137733      0.0864609        11.0667
  accept        0.498413         14.9085     0.00907568        1.16165        -904.448      0.0742844        9.50812       0.0161679      0.0742302        9.50117
       1        0.499817         15.0437     0.00989877          1.267        -904.857      0.0729472        9.33695       0.0287323       0.075253        9.63209
       2        0.496399         14.9804     0.00919028        1.17632        -904.752      0.0750428        9.60518       0.0216746      0.0711029         9.1009
       3        0.501831         14.5671     0.00911182        1.16628        -904.175      0.0755759        9.67342      0.00972854      0.0713527        9.13287
       4        0.500977          14.744     0.00988507        1.26525        -905.291      0.0731743        9.36602       0.0396842      0.0685491        8.77401
       5        0.496277         14.8543     0.00955744        1.22332        -904.997      0.0747219        9.56411       0.0106887      0.0745647        9.54399
       6        0.502197         14.9516      0.0101773        1.30266        -905.713      0.0734671         9.4035      0.00665384      0.0714507        9.14541
       7        0.497559         14.6432     0.00964342        1.23432        -905.143      0.0723305        9.25803      -0.0369449      0.0678321        8.68225
       8        0.494324         15.0395     0.00974346        1.24713        -905.006      0.0767774        9.82721      -0.0617626      0.0691912        8.85621
   total        0.498672          14.853     0.00344667        1.24782        -904.992      0.0262813        9.51483      0.00230684       0.025174        9.11392

    mode      occupation             +/-         std dev
     -15       0.0131732     3.26412e-05       0.0118173
     -14       0.0197694      4.4255e-05        0.016022
     -13       0.0315146     6.15513e-05       0.0222839
     -12       0.0517775     8.68494e-05       0.0314427
     -11        0.089278     0.000125888       0.0455761
     -10        0.158297      0.00018888       0.0683816
      -9        0.280694     0.000270045       0.0977664
      -8         0.49872     0.000400759         0.14509
      -7        0.889974      0.00058997        0.213591
      -6         1.57347     0.000857726        0.310529
      -5         2.73868      0.00120455        0.436091
      -4         4.60281      0.00170072        0.615725
      -3         7.31608      0.00219783        0.795696
      -2         10.6836      0.00286415         1.03693
      -1         13.6249      0.00341226         1.23537
       0          14.853      0.00344667         1.24782
       1         13.6285      0.00342709         1.24073
       2         10.6841      0.00285858         1.03491
       3         7.31314      0.00220073        0.796747
       4         4.60244       0.0016967        0.614268
       5         2.73758      0.00120157        0.435013
       6         1.57417     0.000856208        0.309979
       7        0.890048     0.000590125        0.213647
       8        0.499753     0.000401696        0.145429
       9        0.280976     0.000271766       0.0983894
      10        0.157943      0.00018928       0.0685266
      11       0.0891962     0.000125556       0.0454559
      12       0.0519089     8.70335e-05       0.0315094
      13         0.03145       6.175e-05       0.0223558
      14       0.0197897     4.43896e-05       0.0160707
      15       0.0132722      3.2839e-05       0.0118889
