12 -0.01727332720886822
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.483521         16.8814      0.0614064        7.85978        -833.093        4.33221        554.506      -0.0641358        0.09826        12.5769
  accept        0.493774         14.8757     0.00957762         1.2259        -922.855      0.0684158        8.75695      -0.0391295      0.0777898        9.95679
  accept        0.506042         14.5905     0.00953055        1.21987        -923.347      0.0663707         8.4952      -0.0250976      0.0703712        9.00724
  accept        0.496399         14.8056      0.0102486        1.31178        -923.007      0.0669838        8.57367        0.107517      0.0730967        9.35609
  accept        0.498047          14.978      0.0107971        1.38199        -923.599       0.068726        8.79666         -0.1345      0.0719321        9.20703
       1         0.49762         14.8873      0.0104929        1.34305        -922.265        0.06846        8.76261        -0.14132      0.0769987        9.85553
       2        0.503296         14.9218     0.00967269        1.23807        -923.543       0.066447        8.50496       0.0697396      0.0691481        8.85068
       3        0.493225         14.8278     0.00924877        1.18381         -924.25      0.0692563        8.86454        0.103982      0.0762579        9.76071
       4        0.500244          14.874      0.0101929        1.30465        -923.535      0.0652018        8.34558      -0.0924089      0.0722732        9.25069
       5        0.504822         14.9759     0.00937003        1.19933        -923.487      0.0665253        8.51498      -0.0172708      0.0707664        9.05782
       6         0.49353         15.0204     0.00954572        1.22182        -923.128      0.0687782        8.80334       0.0163921        0.07063        9.04036
       7        0.505859         15.0312      0.0101992        1.30546        -923.175      0.0674142        8.62876      -0.0480992       0.069835        8.93861
       8        0.500671         14.9854       0.010037         1.2847        -922.598      0.0717333        9.18158      -0.0547644        0.07479        9.57283
   total        0.499908         14.9405     0.00348888        1.26311        -923.248       0.024094        8.72292      -0.0204687      0.0256826        9.29807

    mode      occupation             +/-         std dev
     -13        0.027926     5.75263e-05       0.0208267
     -12       0.0468658     8.26224e-05       0.0299124
     -11       0.0819868     0.000119225        0.043164
     -10        0.147184     0.000177627       0.0643075
      -9        0.263858     0.000262924       0.0951884
      -8        0.483342     0.000385201        0.139457
      -7        0.876113     0.000578952        0.209602
      -6         1.55074     0.000838578        0.303597
      -5         2.70996      0.00120469        0.436144
      -4         4.59175      0.00168383         0.60961
      -3         7.34266      0.00226866         0.82134
      -2         10.6606      0.00283106         1.02495
      -1         13.7473      0.00333994         1.20918
       0         14.9405      0.00348888         1.26311
       1         13.7516      0.00332852         1.20505
       2         10.6575      0.00282946         1.02437
       3         7.34225      0.00227092        0.822159
       4          4.5924      0.00167741        0.607285
       5         2.71017      0.00119758         0.43357
       6         1.54972     0.000839899        0.304075
       7        0.875821     0.000579397        0.209763
       8        0.482592     0.000384764        0.139299
       9        0.263361      0.00026257       0.0950603
      10        0.147264     0.000177926       0.0644159
      11       0.0818286     0.000118481       0.0428944
      12       0.0466304     8.21561e-05       0.0297436
      13       0.0280408     5.77165e-05       0.0208955
