13 -0.01727332720886822
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.483887         15.3397       0.027367        3.50287          -834.1        4.54047        581.162        0.104959       0.073656        9.42768
  accept         0.50116         14.8133     0.00933301        1.19459        -925.258      0.0702915        8.99704       0.0500203      0.0667972        8.54978
  accept        0.497009         14.9532     0.00929171         1.1893        -924.437      0.0696362        8.91316       0.0401909      0.0688244        8.80926
  accept        0.501465         15.0124       0.010166         1.3012        -924.756      0.0663585        8.49363         -0.0163      0.0699268        8.95036
  accept         0.49939         14.7971     0.00914733        1.17082        -925.082      0.0714954        9.15113      -0.0724147      0.0723366         9.2588
  accept         0.50415         14.8455     0.00984514        1.26014        -924.056      0.0720347        9.22016       -0.101427      0.0681018        8.71676
  accept        0.497314         14.7809     0.00894409        1.14481        -925.263      0.0718119        9.19164       0.0387005      0.0681026        8.71687
  accept        0.498352         14.8415     0.00987603        1.26409        -924.634      0.0729798        9.34113      -0.0180503      0.0724225         9.2698
  accept        0.501953         14.7612     0.00920772        1.17855          -924.9      0.0712596        9.12095      -0.0468676       0.070047        8.96574
  accept        0.500793         15.0412     0.00948162        1.21361        -924.355      0.0760113        9.72914       0.0251079       0.070595        9.03588
       1        0.495667         14.6602     0.00948194        1.21365        -925.008      0.0697271         8.9248       0.0437541      0.0703672        9.00673
       2         0.50238         14.9145     0.00879192        1.12533         -925.64      0.0653509        8.36466      -0.0249908      0.0671934         8.6005
       3        0.497131         15.1303     0.00993098        1.27113        -925.185      0.0680767        8.71355      -0.0400853      0.0724315        9.27096
       4        0.499939         15.1605     0.00956208        1.22391        -924.563      0.0737435        9.43888      -0.0183413      0.0683703        8.75113
       5        0.499817         14.7974     0.00980735         1.2553        -924.877      0.0707638        9.05749         0.14569      0.0716402        9.16967
       6        0.497681         15.0203     0.00952977        1.21977        -924.309      0.0718947        9.20224       0.0972336      0.0729248        9.33409
       7        0.500549         14.8128     0.00925002        1.18397        -925.257      0.0669527        8.56968      0.00875825      0.0710076         9.0887
       8        0.501404         14.8321     0.00987438        1.26388        -924.007      0.0743549        9.51714        -0.18948       0.075758        9.69673
   total        0.499321          14.916     0.00340106        1.23131        -924.856      0.0248469         8.9955      0.00281728      0.0251927         9.1207

    mode      occupation             +/-         std dev
     -14       0.0191992     4.31568e-05       0.0156244
     -13       0.0303477     6.07971e-05       0.0220108
     -12       0.0510818     8.67107e-05       0.0313925
     -11       0.0884099     0.000125234       0.0453395
     -10        0.155646     0.000181574       0.0657367
      -9        0.279456     0.000269876       0.0977053
      -8        0.502675       0.0003962        0.143439
      -7        0.902975     0.000580913        0.210312
      -6         1.58194     0.000842022        0.304843
      -5         2.75148      0.00121436        0.439644
      -4         4.62223      0.00167457        0.606259
      -3          7.3323      0.00222696        0.806244
      -2         10.6163       0.0027704         1.00299
      -1         13.6017       0.0032177         1.16493
       0          14.916      0.00340106         1.23131
       1          13.613       0.0032087         1.16167
       2         10.6176      0.00276402         1.00068
       3         7.33412      0.00222379        0.805096
       4         4.62317      0.00167885        0.607806
       5         2.75066      0.00121116        0.438486
       6         1.58182      0.00084455        0.305759
       7        0.902466     0.000583003        0.211069
       8         0.50166     0.000395147        0.143058
       9        0.279131     0.000271273        0.098211
      10        0.155426     0.000182593       0.0661054
      11       0.0884425     0.000125298       0.0453625
      12       0.0509919     8.64981e-05       0.0313155
      13       0.0304491     6.08845e-05       0.0220425
      14       0.0192523     4.33805e-05       0.0157054
