14 -0.01727332720886822
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.485352         15.2895      0.0337178        4.31575        -812.928        5.87735        752.278       0.0409909       0.114308         14.631
  accept        0.497131         14.8007     0.00953002        1.21981        -925.205      0.0711115        9.10199       -0.136468      0.0690155        8.83371
       1        0.496948         14.7749     0.00980751        1.25532        -923.666      0.0692923        8.86914      -0.0244795      0.0727873        9.31649
       2        0.498596         14.5623     0.00969108        1.24042        -924.266      0.0706838        9.04725      -0.0680639      0.0674894        8.63838
       3        0.499573         14.9629     0.00966694        1.23733        -923.856      0.0722272         9.2448        0.158035      0.0689805        8.82924
       4        0.503723         14.8519     0.00961952        1.23126        -923.891      0.0695869        8.90685       0.0629541      0.0761086         9.7416
       5        0.491455         14.6063      0.0100369        1.28468        -924.014      0.0711363        9.10517       0.0419572      0.0741923        9.49633
       6         0.49646          15.066      0.0102903        1.31712        -924.397       0.073158        9.36394      -0.0245633        0.07199        9.21444
       7        0.503845         15.0752      0.0102806        1.31588        -924.342      0.0702129        8.98698       0.0240111       0.071702        9.17758
       8        0.500183         14.5982     0.00936263        1.19838        -924.415      0.0727642        9.31354       -0.139404      0.0734524        9.40162
   total        0.498848         14.8122     0.00352424        1.27591        -924.106      0.0251633        9.11006      0.00380584      0.0255031        9.23307

    mode      occupation             +/-         std dev
     -15       0.0135533     3.28563e-05       0.0118952
     -14       0.0203323     4.46623e-05       0.0161694
     -13       0.0321955     6.29913e-05       0.0228052
     -12       0.0543915     9.03205e-05       0.0326994
     -11       0.0922431     0.000128605       0.0465597
     -10        0.162007     0.000185785        0.067261
      -9        0.287709     0.000276127       0.0999682
      -8        0.511464     0.000397715        0.143988
      -7        0.915354     0.000593351        0.214815
      -6         1.59893     0.000856952        0.310249
      -5         2.77438      0.00121626        0.440332
      -4         4.62775      0.00164629         0.59602
      -3         7.32376      0.00221876        0.803273
      -2         10.5994      0.00274068        0.992227
      -1         13.5782      0.00328052         1.18767
       0         14.8122      0.00352424         1.27591
       1         13.5814      0.00327295         1.18493
       2         10.5985      0.00273591        0.990501
       3         7.32668      0.00222765        0.806491
       4         4.62742      0.00164304        0.594841
       5         2.77619      0.00121366        0.439391
       6         1.59756      0.00085666        0.310143
       7        0.914886     0.000592911        0.214656
       8        0.511086     0.000396747        0.143637
       9        0.287511     0.000275512       0.0997458
      10        0.162425     0.000186959       0.0676862
      11       0.0920455     0.000128586       0.0465531
      12       0.0543482     9.00366e-05       0.0325966
      13        0.032278     6.31333e-05       0.0228566
      14       0.0203592     4.45905e-05       0.0161434
      15       0.0135111     3.29584e-05       0.0119322
