12 -0.017447805261483047
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.485413         15.9721       0.049292        6.30918        -868.217        3.85466        493.381        -0.10424      0.0815174        10.4339
  accept        0.500854         14.7002     0.00966456        1.23703        -942.486      0.0653102        8.35945       -0.136542      0.0719579        9.21032
  accept        0.506958         15.1067     0.00969147        1.24047        -941.835      0.0698217        8.93691       0.0588425      0.0706037        9.03699
       1        0.503479         14.8888     0.00945651         1.2104        -941.583      0.0702388         8.9903        -0.03907      0.0740955        9.48393
       2        0.500977          14.976     0.00985601        1.26153        -941.681      0.0699684        8.95568       0.0684842      0.0756268        9.67994
       3        0.500427         14.9341       0.010124        1.29583        -942.282      0.0651064        8.33337        0.110944      0.0689278        8.82249
       4        0.502136         15.2043      0.0100933        1.29191        -941.699      0.0695982        8.90829      -0.0842418      0.0747987        9.57394
       5        0.494263          15.019      0.0103943        1.33043        -943.364      0.0654269        8.37439      -0.0436062      0.0720866         9.2268
       6         0.50177           15.02      0.0089589         1.1467        -942.386       0.067777        8.67519       0.0538084      0.0707718        9.05852
       7        0.497375         15.0673      0.0101843        1.30355        -940.965      0.0691928         8.8564      0.00179877      0.0741127        9.48614
       8        0.498657         14.9438      0.0100305        1.28387        -940.937      0.0695361        8.90034      -0.0814844      0.0766236        9.80752
   total        0.499886         15.0067     0.00350799        1.27002        -941.862      0.0242642        8.78454     -0.00167088      0.0259573        9.39752

    mode      occupation             +/-         std dev
     -13       0.0284172     5.77278e-05       0.0208996
     -12       0.0482669     8.38203e-05       0.0303461
     -11       0.0847294     0.000123574       0.0447382
     -10        0.149967     0.000182284       0.0659937
      -9         0.27173      0.00026356       0.0954185
      -8         0.49034     0.000393581        0.142491
      -7         0.89269     0.000579189        0.209688
      -6         1.57204     0.000836072        0.302689
      -5         2.73904      0.00121893        0.441298
      -4         4.62363      0.00170051        0.615646
      -3         7.31916      0.00223675        0.809786
      -2          10.636      0.00278385         1.00786
      -1         13.6417       0.0033107          1.1986
       0         15.0067      0.00350799         1.27002
       1         13.6387      0.00327989         1.18744
       2         10.6395       0.0027984         1.01313
       3         7.31582      0.00224675        0.813408
       4         4.62085      0.00170324        0.616635
       5         2.74306      0.00122131        0.442159
       6         1.57206     0.000835563        0.302505
       7        0.892479     0.000582706        0.210961
       8        0.490214     0.000393234        0.142365
       9        0.271534     0.000263752       0.0954879
      10        0.149881     0.000180831       0.0654676
      11       0.0847367     0.000123809       0.0448235
      12       0.0482506     8.40354e-05        0.030424
      13       0.0284474     5.80588e-05       0.0210195
