13 -0.017447805261483047
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.486938         15.3603      0.0247682        3.17024        -862.607        4.50243        576.294      -0.0151143      0.0830597        10.6313
  accept        0.499756         14.7799     0.00943925        1.20819        -944.492      0.0707494        9.05565      -0.0200852      0.0715056        9.15243
  accept        0.499023         15.0599      0.0103396        1.32343        -942.978      0.0696804        8.91882       0.0667749      0.0699894        8.95837
  accept        0.494629         14.5535      0.0101235        1.29577        -943.608      0.0724141        9.26872       0.0399441      0.0697941        8.93338
       1        0.500061         14.8627      0.0101746        1.30231        -944.082      0.0698729        8.94346       -0.032854       0.072141        9.23376
       2        0.498352         14.6911       0.010203        1.30595        -943.136      0.0694278        8.88649      -0.0778391      0.0790311        10.1157
       3        0.501587          14.717      0.0105276        1.34749        -942.638      0.0716982        9.17709       -0.153488        0.07603        9.73154
       4        0.501526         14.5771     0.00992563        1.27044        -943.305      0.0681579        8.72395      -0.0319298      0.0696776        8.91846
       5        0.502625          14.845      0.0100249        1.28315        -943.031      0.0717722        9.18657      -0.0488914      0.0726456        9.29836
       6         0.50238         14.5533     0.00976111        1.24938        -944.552      0.0641291        8.20827      -0.0396113      0.0690507        8.83822
       7        0.497986          14.928     0.00902551        1.15523        -944.262      0.0684337        8.75925       0.0535034      0.0664823        8.50947
       8        0.502991         14.7401      0.0106484        1.36295        -942.637      0.0733789        9.39221      -0.0371204       0.067308        8.61517
   total        0.500938         14.7393     0.00356893        1.29209        -943.455      0.0247023        8.94316      -0.0460289      0.0253348        9.17213

    mode      occupation             +/-         std dev
     -14       0.0197731      4.4118e-05       0.0159723
     -13       0.0310797     6.12262e-05       0.0221662
     -12       0.0526304     8.75309e-05       0.0316894
     -11         0.09122     0.000127795       0.0462664
     -10        0.160814     0.000186819       0.0676355
      -9        0.287249     0.000272799       0.0987634
      -8        0.508376     0.000396283        0.143469
      -7         0.91384     0.000583387        0.211208
      -6         1.60997      0.00085412        0.309223
      -5         2.78385      0.00122899        0.444939
      -4         4.66629      0.00164176        0.594379
      -3         7.37163      0.00225273        0.815573
      -2         10.6055      0.00281298          1.0184
      -1         13.5351      0.00333898         1.20884
       0         14.7393      0.00356893         1.29209
       1         13.5358      0.00335112         1.21323
       2         10.6008      0.00281232         1.01816
       3         7.36809      0.00225172        0.815208
       4         4.66252       0.0016441        0.595225
       5         2.78155      0.00122005        0.441704
       6          1.6107     0.000853212        0.308895
       7        0.912334     0.000585968        0.212142
       8        0.508081     0.000397114         0.14377
       9        0.287404     0.000271627        0.098339
      10        0.161251     0.000186757       0.0676129
      11       0.0912208     0.000127605       0.0461976
      12       0.0529474     8.80439e-05       0.0318752
      13       0.0310642     6.11706e-05        0.022146
      14       0.0196991      4.3893e-05       0.0158909
