14 -0.017447805261483047
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.481323          15.279      0.0308975        3.95476        -854.684        4.00137        512.159        0.165754      0.0843638        10.7982
  accept        0.500549         14.7959     0.00927236        1.18683        -944.135       0.067734        8.66969       -0.105913      0.0690848        8.84258
  accept        0.497009         14.6502     0.00933743        1.19515        -944.378      0.0700018        8.95995         0.12496      0.0690763         8.8415
  accept        0.502136         14.5895     0.00899492        1.15131         -944.65       0.072339        9.25911      -0.0371222      0.0692945        8.86943
  accept        0.498657         14.5432     0.00870272        1.11391        -943.531      0.0758646        9.71037       0.0341097      0.0684681        8.76365
  accept        0.506836         14.7129     0.00924412        1.18321        -944.311      0.0747473        9.56737      -0.0282378      0.0671007        8.58862
  accept        0.504639         14.5307     0.00918851        1.17609        -944.134       0.071987        9.21405        0.036107      0.0703542        9.00507
  accept        0.501953         14.4472     0.00957971        1.22617        -944.196      0.0719953        9.21512      0.00687741      0.0743232        9.51308
  accept        0.505554         14.6252     0.00974714         1.2476        -944.319      0.0770301        9.85955      -0.0669267      0.0747668        9.56986
  accept        0.496338         14.4178     0.00916312        1.17284        -943.437      0.0755304         9.6676       0.0154904      0.0733775        9.39204
  accept        0.496155         14.6546     0.00996906          1.276        -943.607       0.073525        9.41091      -0.0914693      0.0675466         8.6457
  accept        0.504639         15.0026     0.00977463        1.25111        -942.682      0.0745114        9.53717      0.00228959      0.0760754        9.73735
  accept        0.500671         14.5097     0.00919148        1.17647        -943.146       0.075049        9.60598      -0.0317203      0.0672441        8.60698
       1        0.498962         14.7973      0.0110714         1.4171        -944.035      0.0754607        9.65868       0.0467107       0.065471        8.38004
       2        0.504089         14.6572     0.00951498        1.21788        -944.236      0.0717453        9.18311        0.160294      0.0750161        9.60177
       3        0.500854         14.3647     0.00866859        1.10955          -944.7      0.0705025        9.02405      -0.0370347      0.0721478        9.23464
       4         0.49823         15.0559      0.0100926        1.29181        -943.112      0.0785543        10.0546      -0.0926734      0.0746278        9.55207
       5        0.495056         14.7264     0.00879161        1.12529        -944.192      0.0722084        9.24239       0.0623997      0.0683984        8.75473
       6        0.498718         14.3808      0.0093026         1.1907        -942.847      0.0727973        9.31777        0.119615      0.0698447        8.93985
       7        0.499146         14.4891     0.00941719        1.20536        -941.964      0.0748009        9.57422       0.0424658      0.0755191        9.66615
       8        0.507141         14.5334     0.00967119        1.23787         -942.44      0.0765704        9.80071       -0.103879      0.0725438        9.28532
   total        0.500275         14.6256      0.0034445        1.24704        -943.441      0.0263284        9.53185       0.0247373      0.0253754        9.18685

    mode      occupation             +/-         std dev
     -15       0.0138687     3.35794e-05        0.012157
     -14       0.0214431     4.63579e-05       0.0167833
     -13        0.034257     6.52314e-05       0.0236162
     -12       0.0562225      9.0765e-05       0.0328603
     -11       0.0979515     0.000134225       0.0485944
     -10        0.171949     0.000193025       0.0698824
      -9        0.301359     0.000280738        0.101638
      -8        0.530406     0.000400097         0.14485
      -7        0.946686     0.000599702        0.217114
      -6         1.64852     0.000857933        0.310604
      -5         2.82995      0.00124024        0.449012
      -4         4.68336      0.00169428        0.613391
      -3         7.35508      0.00217829        0.788623
      -2         10.5615      0.00280454         1.01535
      -1         13.4278       0.0032274         1.16844
       0         14.6256       0.0034445         1.24704
       1         13.4368      0.00323041         1.16953
       2         10.5628      0.00279157         1.01065
       3         7.35714      0.00217942        0.789032
       4         4.68489      0.00169624        0.614102
       5         2.82951      0.00123757        0.448045
       6         1.64821     0.000858923        0.310962
       7        0.946375     0.000598041        0.216513
       8        0.531023     0.000402657        0.145777
       9        0.301569     0.000281398        0.101877
      10        0.171692     0.000193249       0.0699633
      11       0.0981425     0.000134446       0.0486744
      12       0.0562811     9.10395e-05       0.0329597
      13       0.0342592     6.49898e-05       0.0235287
      14       0.0215309     4.63045e-05       0.0167639
      15       0.0137884     3.34489e-05       0.0121097
