12 -0.01762228331409788
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484131         14.3942      0.0173104        2.21566        -919.416        2.75695        352.879        0.094956      0.0787822        10.0838
  accept        0.504089         14.5503     0.00928724        1.18873         -961.05      0.0645191         8.2582      -0.0330849       0.074395        9.52227
  accept        0.498535         14.8567      0.0095475        1.22204          -960.3      0.0674187        8.62933         0.21204      0.0703981        9.01068
  accept        0.497803         14.6587     0.00937587        1.20007        -961.323      0.0702166        8.98745      0.00467203      0.0730388        9.34868
  accept        0.502869          14.666     0.00904266        1.15742        -961.688      0.0676782        8.66255       0.0561294       0.071018        9.09002
  accept        0.496582         14.9172      0.0101848        1.30361        -961.121       0.070013        8.96139      -0.0559421      0.0718767        9.19994
  accept        0.503723         14.5858     0.00975764        1.24894        -961.156      0.0714601        9.14662      -0.0753589      0.0670134        8.57745
  accept        0.507324         14.8162     0.00984756        1.26045         -960.26      0.0660498        8.45412       0.0555103      0.0736756        9.43019
       1        0.497803         14.7008       0.008997        1.15158        -960.901      0.0676775        8.66246      -0.0263605      0.0730971        9.35615
       2         0.49884         14.6654      0.0106912        1.36843        -961.319      0.0671834        8.59922       0.0845223      0.0722247        9.24448
       3        0.501221         14.8688     0.00976138        1.24942        -961.697      0.0676221        8.65537       0.0439895      0.0753719         9.6473
       4        0.496887         14.9407     0.00922116        1.18027        -960.415      0.0664588        8.50646      -0.0164962      0.0688109        8.80752
       5        0.494263         14.7187      0.0096744        1.23829        -961.563      0.0676816        8.66298       0.0458461      0.0705788        9.03381
       6        0.502319         14.7947     0.00972092        1.24424        -959.916      0.0687064        8.79415        0.098139      0.0786912        10.0722
       7        0.500366         14.8966     0.00970268         1.2419        -960.249      0.0684562        8.76212      -0.0146575      0.0705619        9.03165
       8        0.497986         14.7039     0.00916729        1.17338        -960.986      0.0674325         8.6311       0.0420568       0.068904        8.81945
   total        0.498711         14.7862     0.00341505        1.23637        -960.881       0.023976        8.68019       0.0321299      0.0255784        9.26034

    mode      occupation             +/-         std dev
     -13       0.0298643     6.00139e-05       0.0217273
     -12       0.0503606     8.55574e-05        0.030975
     -11       0.0891197     0.000125828       0.0455544
     -10        0.157621     0.000184297       0.0667224
      -9        0.281579     0.000270982       0.0981055
      -8        0.508873     0.000398006        0.144093
      -7        0.914107      0.00059073        0.213866
      -6         1.61378     0.000851734        0.308359
      -5         2.79861      0.00119998        0.434438
      -4         4.66699      0.00164411        0.595229
      -3         7.34631      0.00218381         0.79062
      -2         10.6004      0.00280076         1.01398
      -1         13.5434      0.00327388         1.18527
       0         14.7862      0.00341505         1.23637
       1         13.5466      0.00328017         1.18754
       2         10.6028       0.0028001         1.01374
       3         7.35083      0.00218614        0.791464
       4         4.66687      0.00164516        0.595609
       5         2.80012      0.00119939        0.434223
       6          1.6127     0.000851426        0.308248
       7        0.914929     0.000590231        0.213686
       8         0.50972     0.000397538        0.143923
       9        0.281789      0.00027127       0.0982098
      10        0.157264     0.000184509        0.066799
      11       0.0889897     0.000125551       0.0454541
      12       0.0503691     8.58986e-05       0.0310985
      13       0.0298987     5.99324e-05       0.0216978
