13 -0.01762228331409788
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484741         14.6424      0.0129152         1.6531        -896.971        3.70834        474.653       0.0880206       0.103979        13.3089
  accept        0.495117         14.5384     0.00943081        1.20711        -962.279      0.0700454        8.96554      0.00558784      0.0678991        8.69082
  accept        0.505493         14.6276     0.00914652        1.17072         -963.23      0.0700552        8.96679      -0.0588402      0.0753791        9.64824
       1        0.501465          14.511     0.00826314        1.05765        -963.728      0.0670134        8.57745       0.0157571      0.0738615        9.45398
       2        0.505249           14.82     0.00904413        1.15761         -963.06      0.0710736        9.09714       -0.116218      0.0722854        9.25224
       3         0.50293         14.4975     0.00974247          1.247        -963.015        0.07148        9.14917      -0.0313918      0.0737775        9.44324
       4        0.501282         14.5747     0.00951858        1.21834        -963.033       0.066955        8.56998        0.131599      0.0677492        8.67164
       5        0.502197         14.4186     0.00889284        1.13825        -963.689      0.0706296        9.04032        0.188514      0.0711789        9.11062
       6        0.506531          14.796     0.00975333        1.24839        -962.891      0.0725694         9.2886      0.00245197      0.0709261        9.07827
       7        0.498779         14.4687     0.00937914        1.20049         -963.38       0.071577        9.16158      -0.0946688      0.0695028        8.89608
       8        0.504639         14.5773     0.00971706        1.24375        -963.104      0.0726565        9.29975       0.0297315      0.0684734        8.76432
   total        0.502884          14.583     0.00331081        1.19864        -963.238      0.0249474        9.03188       0.0157219       0.025103        9.08822

    mode      occupation             +/-         std dev
     -14       0.0203742     4.49116e-05       0.0162597
     -13       0.0332529     6.37982e-05       0.0230973
     -12       0.0554709     9.02641e-05        0.032679
     -11       0.0955737     0.000129519       0.0468908
     -10        0.167954     0.000188845        0.068369
      -9        0.299734     0.000276534        0.100116
      -8        0.533684      0.00039688        0.143685
      -7        0.944955     0.000597283        0.216239
      -6         1.65105      0.00085906        0.311012
      -5         2.83786      0.00120074        0.434714
      -4          4.7144       0.0016476        0.596491
      -3         7.36485      0.00216839        0.785038
      -2         10.5718      0.00275857        0.998705
      -1         13.4169      0.00323806          1.1723
       0          14.583      0.00331081         1.19864
       1         13.4113      0.00323314         1.17052
       2         10.5732      0.00275483        0.997351
       3         7.37011      0.00216754        0.784731
       4         4.71524      0.00164615        0.595968
       5         2.83736      0.00120771        0.437236
       6         1.65051      0.00086335        0.312565
       7        0.944806     0.000598226         0.21658
       8        0.533752     0.000398295        0.144198
       9         0.30026     0.000276296         0.10003
      10        0.168198     0.000189185        0.068492
      11       0.0954759      0.00012962       0.0469272
      12       0.0554261     9.06974e-05       0.0328359
      13       0.0332605     6.36011e-05        0.023026
      14       0.0203724      4.4992e-05       0.0162888
