14 -0.01762228331409788
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484741         14.9932      0.0269412        3.44837        -872.138        4.88551        625.326       0.0598479      0.0878918        11.2498
  accept         0.50354         14.6563     0.00931154        1.19184        -963.413      0.0722069         9.2422      -0.0762108      0.0727639        9.31349
  accept        0.500732         14.3736     0.00924316        1.18309         -964.29      0.0701876        8.98374      -0.0453509      0.0707912        9.06099
  accept        0.499817         14.7895     0.00882648        1.12976        -963.406       0.071465        9.14724       0.0595533       0.071682        9.17501
  accept        0.495544          14.713     0.00952659        1.21937        -963.045      0.0754591        9.65847       0.0267186      0.0783713        10.0312
       1         0.50354         14.5287     0.00982011        1.25694        -963.404      0.0711709         9.1096       0.0234039      0.0727103        9.30663
       2        0.501831         14.7913      0.0107374        1.37434        -963.053      0.0792006        10.1374      -0.0362858      0.0691749        8.85411
       3        0.503723         14.5486     0.00935625        1.19756        -962.365      0.0697426        8.92678      -0.0594365      0.0752639        9.63348
       4         0.50293         14.5361      0.0097085        1.24265        -963.044      0.0724936         9.2789      -0.0173026      0.0710443        9.09339
       5        0.497986         14.5947      0.0084485        1.08138        -963.663      0.0696248        8.91171       -0.100521      0.0748792        9.58425
       6        0.501526         14.4665     0.00980587        1.25511        -964.062      0.0735866         9.4188       0.0508934      0.0739664        9.46741
       7        0.500977         14.2539     0.00820731         1.0505        -962.944      0.0716916        9.17625       0.0622019      0.0782458        10.0152
       8        0.504089         14.3554     0.00889713         1.1388        -963.179      0.0759123        9.71648       -0.103942      0.0730697        9.35264
   total        0.502075         14.5094      0.0033506        1.21304        -963.214      0.0258384        9.35448      -0.0226236       0.026017        9.41912

    mode      occupation             +/-         std dev
     -15       0.0143034     3.40056e-05       0.0123113
     -14       0.0220496      4.7005e-05       0.0170176
     -13       0.0352231     6.54223e-05       0.0236853
     -12       0.0592757      9.4529e-05        0.034223
     -11        0.100608     0.000135181       0.0489406
     -10        0.176576     0.000197199       0.0713933
      -9        0.309192     0.000282819        0.102391
      -8         0.54954     0.000423296        0.153249
      -7        0.964753     0.000597433        0.216293
      -6         1.68299     0.000866721        0.313785
      -5         2.86422      0.00123028        0.445406
      -4         4.71325      0.00167779        0.607422
      -3         7.33836      0.00218736        0.791904
      -2         10.5526      0.00272864        0.987869
      -1         13.3643      0.00323252         1.17029
       0         14.5094       0.0033506         1.21304
       1         13.3686      0.00322745         1.16846
       2         10.5487      0.00272576        0.986827
       3         7.33762      0.00218996        0.792847
       4         4.71105      0.00167666        0.607014
       5         2.86419      0.00122543        0.443651
       6         1.68201     0.000866253        0.313616
       7        0.964681     0.000596504        0.215957
       8        0.549607      0.00042312        0.153185
       9        0.308727     0.000281532        0.101925
      10        0.176422     0.000197125       0.0713667
      11        0.100821     0.000135958       0.0492217
      12       0.0595126       9.482e-05       0.0343284
      13       0.0352494     6.53734e-05       0.0236676
      14       0.0219008     4.65372e-05       0.0168482
      15       0.0143076     3.40367e-05       0.0123225
