12 -0.01779676136671271
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.489624         14.2093      0.0184934        2.36709        -920.877        3.51081         449.37      0.00956516      0.0857139        10.9711
  accept             0.5         14.4679     0.00983844        1.25928        -979.322      0.0705762        9.03348      -0.0455863      0.0717436         9.1829
       1        0.494934         14.6896     0.00906765        1.16062        -980.428      0.0670886        8.58708      -0.0143747       0.070717         9.0515
       2        0.500549         14.6495      0.0101414        1.29806        -980.386      0.0709869        9.08604       0.0707433      0.0726319         9.2966
       3        0.503967         14.5122     0.00908376        1.16269        -980.199      0.0685383        8.77263        0.118352      0.0721319         9.2326
       4        0.491577         14.7694      0.0101674        1.30139        -980.399      0.0693668        8.87867       0.0737083      0.0685238        8.77078
       5         0.49762         14.6634     0.00976945        1.25045        -980.002      0.0666796        8.53473     -0.00374457      0.0661001        8.46055
       6        0.499023          14.311      0.0101569        1.30004         -979.97      0.0657523        8.41604       0.0574467      0.0687107         8.7947
       7        0.503723         14.5171      0.0101129        1.29441        -980.381      0.0669976        8.57543       0.0532869      0.0692964        8.86966
       8        0.500854         14.7814     0.00998737        1.27834        -980.642      0.0680984        8.71633       0.0863354      0.0696025        8.90884
   total        0.499031         14.6117     0.00349569        1.26557        -980.301      0.0240323        8.70058       0.0552192      0.0246565        8.92657

    mode      occupation             +/-         std dev
     -13       0.0309061     6.11403e-05       0.0221351
     -12       0.0530587     8.89026e-05       0.0321861
     -11       0.0910931      0.00012632       0.0457324
     -10         0.16259     0.000187364       0.0678327
      -9        0.294051     0.000275214       0.0996376
      -8        0.525869     0.000403521         0.14609
      -7        0.932044     0.000586329        0.212273
      -6         1.63933     0.000843605        0.305416
      -5         2.82223      0.00117884        0.426785
      -4         4.69599      0.00168518        0.610097
      -3         7.40223      0.00214589        0.776892
      -2         10.5924      0.00274969         0.99549
      -1         13.4444      0.00315747         1.14312
       0         14.6117      0.00349569         1.26557
       1         13.4517      0.00315349         1.14168
       2         10.5915      0.00274306        0.993091
       3         7.40448      0.00214231        0.775595
       4         4.69745      0.00168493        0.610009
       5          2.8233      0.00117701         0.42612
       6         1.64237     0.000845563        0.306125
       7         0.93279      0.00058565        0.212027
       8        0.526684     0.000403557        0.146103
       9        0.294159     0.000275854       0.0998693
      10        0.162395     0.000187634       0.0679307
      11       0.0912187     0.000127077       0.0460065
      12       0.0531767      8.9344e-05       0.0323459
      13       0.0309009     6.12283e-05       0.0221669
