13 -0.01779676136671271
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484314         14.6065      0.0172358        2.20611        -900.117         3.9475        505.265       0.0691231      0.0804778        10.3008
  accept        0.497192         14.0945     0.00928553        1.18851        -981.697      0.0732075        9.37028       -0.117078      0.0721857        9.23949
       1        0.499023         14.5731      0.0100321        1.28407        -981.903      0.0733444         9.3878      -0.0291959      0.0738529        9.45289
       2        0.503784         14.5564     0.00980446        1.25493          -983.1      0.0650347        8.32419      -0.0383297      0.0741095        9.48573
       3        0.497437         14.5834      0.0090801        1.16222        -982.239      0.0710017        9.08794      -0.0239234      0.0716923        9.17634
       4        0.499084         14.3384     0.00957096        1.22504        -981.209      0.0743357        9.51468        0.039856      0.0781471        10.0025
       5         0.49646         14.6225     0.00885488        1.13339        -982.972      0.0716834         9.1752       0.0405948      0.0761358        9.74508
       6        0.498718         14.4802     0.00976352        1.24969        -982.727      0.0710536        9.09458        0.112835      0.0658221        8.42497
       7        0.507874         14.3826     0.00875383        1.12046        -982.718      0.0707908        9.06095      -0.0300817       0.077941        9.97615
       8        0.498596         14.3448     0.00945269        1.20991        -982.947      0.0728843         9.3289       0.0838579      0.0703146        8.99999
   total        0.500122         14.4852     0.00334512        1.21106        -982.477      0.0252684         9.1481       0.0194516      0.0260223        9.42104

    mode      occupation             +/-         std dev
     -14       0.0208185     4.48659e-05       0.0162431
     -13        0.034022     6.50517e-05       0.0235511
     -12       0.0571657        9.22e-05       0.0333798
     -11       0.0987922       0.0001309       0.0473907
     -10         0.17372     0.000191624       0.0693751
      -9        0.307193      0.00027543       0.0997158
      -8        0.541885     0.000410801        0.148725
      -7        0.960722     0.000590268        0.213699
      -6         1.68377     0.000837121        0.303069
      -5         2.87323      0.00121412        0.439558
      -4         4.71926      0.00165554        0.599369
      -3         7.41904      0.00216598        0.784165
      -2         10.5253      0.00281425         1.01886
      -1         13.3392      0.00323212         1.17015
       0         14.4852      0.00334512         1.21106
       1         13.3412      0.00322886         1.16897
       2         10.5282       0.0028145         1.01895
       3         7.42024      0.00216405        0.783467
       4          4.7186      0.00165818        0.600325
       5         2.87176      0.00121673        0.440503
       6         1.68489     0.000839214        0.303827
       7        0.961354     0.000589797        0.213528
       8        0.542323     0.000411058        0.148818
       9        0.307304     0.000276017       0.0999283
      10        0.173976     0.000191513       0.0693348
      11       0.0987782      0.00013129       0.0475318
      12       0.0571393     9.22402e-05       0.0333944
      13       0.0340169     6.50426e-05       0.0235478
      14       0.0208472     4.48647e-05       0.0162427
