14 -0.01779676136671271
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.480286         13.8968      0.0177172        2.26773        -889.345        5.29128        677.263       0.0881604      0.0880731         11.273
  accept         0.50061         14.1502     0.00846753        1.08381        -982.838       0.077159        9.87606        0.140993      0.0687806        8.80365
  accept         0.49762         14.4144      0.0100428        1.28544        -983.627      0.0688309        8.81008     -0.00181096      0.0709901        9.08645
  accept         0.49884         14.3035     0.00862047        1.10339         -982.27      0.0770127        9.85732      -0.0877647      0.0740124         9.4733
       1        0.504639         14.5427      0.0088235        1.12937        -982.122      0.0750978        9.61222      -0.0211378      0.0721212        9.23123
       2         0.50531         14.4153     0.00991077        1.26854        -981.431      0.0745542        9.54265       -0.134089      0.0732723        9.37857
       3        0.502014         14.2155     0.00826186        1.05749        -984.532      0.0700687        8.96852       0.0325318        0.06383        8.16999
       4        0.496399         14.6426     0.00862118        1.10348         -983.02      0.0712921        9.12511       -0.112525      0.0689244        8.82206
       5        0.504272         14.3707     0.00970959        1.24279        -983.086      0.0745391        9.54072      -0.0787793      0.0684852        8.76584
       6        0.499695         14.4144      0.0100961        1.29226        -982.993      0.0710125        9.08933      0.00728701      0.0724624         9.2749
       7        0.503052          14.515     0.00940658          1.204         -983.56      0.0711765        9.11032        0.231879      0.0804754        10.3005
       8        0.508545         14.5298     0.00911271        1.16639        -982.859      0.0752525        9.63203      -0.0621046      0.0715707        9.16077
   total        0.502991         14.4558     0.00329211        1.19187         -982.95      0.0258825        9.37043      -0.0171172      0.0252909        9.15623

    mode      occupation             +/-         std dev
     -15       0.0150637     3.53267e-05       0.0127896
     -14       0.0229561     4.78537e-05       0.0173248
     -13       0.0369579     6.68806e-05       0.0242133
     -12       0.0622363     9.64723e-05       0.0349266
     -11        0.106703     0.000137839       0.0499027
     -10        0.183528     0.000198687       0.0719321
      -9        0.321274     0.000288331        0.104387
      -8        0.563865     0.000419394        0.151836
      -7        0.987349     0.000600099        0.217258
      -6         1.71182     0.000856634        0.310133
      -5         2.88432      0.00120331        0.435642
      -4         4.74515      0.00165437        0.598945
      -3         7.33965      0.00220575        0.798562
      -2         10.5255      0.00278981         1.01002
      -1         13.2637      0.00306203         1.10857
       0         14.4558      0.00329211         1.19187
       1         13.2759      0.00304893         1.10383
       2         10.5215      0.00279012         1.01013
       3         7.33787      0.00220818        0.799443
       4         4.74431      0.00165363        0.598674
       5         2.88506      0.00120006        0.434467
       6         1.71049      0.00085966        0.311229
       7        0.987262     0.000600405        0.217369
       8        0.563111     0.000418508        0.151515
       9        0.321333     0.000289099        0.104665
      10        0.183833     0.000198939       0.0720233
      11         0.10637     0.000137384        0.049738
      12       0.0620938     9.61097e-05       0.0347953
      13       0.0369841     6.69797e-05       0.0242492
      14       0.0230213     4.81755e-05       0.0174413
      15       0.0149956     3.53019e-05       0.0127806
