12 -0.01797123941932754
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.489014         14.9456       0.019972        2.55634        -923.611        4.10351        525.234       -0.229763       0.123194        15.7684
  accept        0.495544         14.4694     0.00940147        1.20335        -999.619      0.0695108        8.89712       -0.154136       0.068467         8.7635
  accept        0.506165         14.4579       0.008389        1.07376         -999.19      0.0678654        8.68651       -0.113465      0.0733412        9.38739
  accept        0.506226         14.4417     0.00982091        1.25704        -998.917      0.0687218        8.79612      -0.0550806       0.076461        9.78671
  accept        0.503906         14.4695     0.00953957        1.22103        -999.686      0.0676611        8.66036       0.0659441       0.067491        8.63859
  accept        0.499146         14.7869     0.00943596        1.20777        -998.468      0.0706539        9.04342       -0.134613      0.0660832        8.45839
       1        0.506653         14.6647     0.00988984        1.26586        -999.474      0.0662071        8.47425      -0.0237933      0.0718665        9.19863
       2        0.496704         14.3861     0.00955121        1.22252        -999.568      0.0664008        8.49904      0.00695655       0.069983        8.95756
       3        0.500183          14.489      0.0109331        1.39939        -998.925      0.0714313        9.14293      -0.0768028      0.0714642        9.14713
       4        0.499023         14.5388     0.00982686         1.2578          -998.9      0.0690932        8.84366       0.0779158      0.0774452        9.91269
       5        0.497375         14.4795      0.0099202        1.26975        -998.304      0.0683823        8.75267       0.0552358      0.0713396        9.13119
       6        0.497009         14.6153     0.00959218        1.22776        -999.949       0.067991        8.70258      -0.0128463      0.0678492        8.68444
       7        0.499756          14.636     0.00904123        1.15724        -999.779      0.0713406        9.13131        0.117858      0.0685303        8.77162
       8        0.500366         14.5369     0.00898048        1.14947        -999.635      0.0674782        8.63695      -0.0928695      0.0728279        9.32169
   total        0.499634         14.5433     0.00344952        1.24885        -999.317      0.0242828        8.79129       0.0064568      0.0252668        9.14754

    mode      occupation             +/-         std dev
     -13       0.0317017     6.15211e-05       0.0222729
     -12       0.0545966     8.88784e-05       0.0321773
     -11        0.095211     0.000130324       0.0471823
     -10        0.169243     0.000188951       0.0684074
      -9        0.300431     0.000278817        0.100942
      -8        0.536466     0.000407736        0.147615
      -7        0.952358     0.000592464        0.214494
      -6         1.67597     0.000856253        0.309995
      -5         2.85696      0.00120886        0.437652
      -4         4.73578      0.00166399        0.602426
      -3         7.40564      0.00218332        0.790443
      -2         10.5654      0.00276423         1.00076
      -1         13.3471      0.00319649         1.15725
       0         14.5433      0.00344952         1.24885
       1         13.3475      0.00319511         1.15675
       2          10.566      0.00277836         1.00587
       3         7.40719      0.00218128        0.789704
       4         4.73468      0.00166023        0.601066
       5          2.8588      0.00121168        0.438675
       6         1.67615      0.00085621         0.30998
       7        0.951932     0.000593973         0.21504
       8        0.536635     0.000408547        0.147909
       9        0.300899     0.000279012        0.101013
      10        0.168883     0.000188625       0.0682892
      11       0.0949814     0.000129732        0.046968
      12       0.0544306     8.84911e-05       0.0320371
      13       0.0316966     6.14033e-05       0.0222303
