13 -0.01797123941932754
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.482544         14.4859      0.0128884        1.64967        -950.074        3.00956        385.211      -0.0560226      0.0751537        9.61938
  accept        0.497559         14.3087     0.00955126        1.22252        -1003.09      0.0667096        8.53857      -0.0406814      0.0691868        8.85564
       1        0.500488         14.4872     0.00916208        1.17271        -1001.86      0.0683284        8.74576       -0.012324      0.0703501        9.00454
       2        0.496826         14.5519     0.00965413        1.23569        -1001.97      0.0688092        8.80731     -0.00329504      0.0709416        9.08025
       3             0.5         14.3967     0.00928944        1.18901        -1002.46      0.0697841        8.93209       0.0997747      0.0727987        9.31795
       4        0.495911         14.2271     0.00970012        1.24158        -1002.69      0.0713955        9.13834      -0.0649353      0.0808131        10.3438
       5        0.496826         14.2083     0.00847048        1.08419        -1002.72      0.0668929        8.56203       0.0917927      0.0739354        9.46345
       6        0.501465         14.2492     0.00896178        1.14707        -1002.39      0.0702096        8.98655       0.0388847       0.074511        9.53711
       7        0.502747         14.2809     0.00948983        1.21466        -1002.99      0.0662359        8.47794       0.0672636      0.0753199        9.64066
       8        0.498596         14.1941     0.00908606        1.16298        -1000.36      0.0695352        8.90023      -0.0166184      0.0788176        10.0883
   total        0.499107         14.3244     0.00328379        1.18885        -1002.18      0.0244583         8.8548       0.0250679      0.0264317        9.56926

    mode      occupation             +/-         std dev
     -14       0.0217051     4.64841e-05        0.016829
     -13       0.0359707     6.66353e-05       0.0241245
     -12       0.0606296     9.46113e-05       0.0342528
     -11        0.104201     0.000134882       0.0488325
     -10        0.181204     0.000196962       0.0713077
      -9         0.32166     0.000286456        0.103708
      -8        0.566688     0.000417314        0.151083
      -7        0.994744     0.000594936        0.215389
      -6         1.71481     0.000855928        0.309878
      -5         2.92127      0.00119533        0.432755
      -4         4.77068      0.00167912        0.607904
      -3         7.38968      0.00220463        0.798158
      -2         10.5206      0.00269435        0.975457
      -1         13.2317      0.00315806         1.14333
       0         14.3244      0.00328379         1.18885
       1         13.2291      0.00315319         1.14157
       2         10.5187       0.0026882        0.973229
       3         7.39658      0.00219487        0.794624
       4         4.77219      0.00167604        0.606788
       5         2.92088      0.00120078        0.434725
       6         1.71564     0.000857758         0.31054
       7        0.993793     0.000595596        0.215628
       8        0.567459     0.000416334        0.150728
       9        0.322437     0.000287049        0.103923
      10        0.180941     0.000195553       0.0707976
      11         0.10403     0.000134365        0.048645
      12       0.0605663     9.43736e-05       0.0341668
      13       0.0360537     6.66886e-05       0.0241437
      14       0.0216548     4.63274e-05       0.0167722
