14 -0.01797123941932754
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.481934          14.884      0.0311379        3.98553        -884.807        5.64582        722.643        0.133808      0.0807433        10.3348
  accept        0.501953         14.1414     0.00862846        1.10441        -1003.67      0.0738714        9.45525      -0.0433397      0.0669947        8.57506
  accept        0.505676         14.2344     0.00913954        1.16982        -1003.69      0.0720943        9.22779       0.0402585      0.0694508        8.88943
  accept        0.496826         14.3256     0.00904653        1.15792        -1001.94       0.072771         9.3144       0.0378753      0.0729836        9.34162
       1        0.492981         14.2329     0.00850392        1.08847        -1003.94       0.076191        9.75215      -0.0258547      0.0694282        8.88653
       2        0.498657         14.0713     0.00857166        1.09714        -1003.74       0.070101        8.97265       0.0553728      0.0701784        8.98256
       3        0.501465         14.1851      0.0100531        1.28675        -1002.16      0.0755822        9.67422       0.0329576      0.0696497        8.91489
       4        0.499878         14.2649     0.00977998         1.2518        -1002.83      0.0738991         9.4588      -0.0254134      0.0685573        8.77506
       5        0.501099          14.333     0.00999584        1.27943        -1003.08      0.0702943         8.9974      -0.0445315      0.0637481         8.1595
       6        0.506897         14.1599     0.00932838          1.194        -1003.22      0.0739319          9.463       0.0136522      0.0764539         9.7858
       7        0.496765         14.1405     0.00891504        1.14109        -1004.15      0.0705026        9.02405      0.00695471      0.0677631        8.67342
       8        0.498413           14.17      0.0093501        1.19678        -1002.11      0.0758857        9.71307     -0.00318663      0.0649752        8.31657
   total        0.499519         14.1947     0.00330494        1.19651        -1003.15       0.026004        9.41442      0.00124388       0.024372        8.82356

    mode      occupation             +/-         std dev
     -15       0.0155207      3.5551e-05       0.0128708
     -14       0.0237395     4.91254e-05       0.0177852
     -13       0.0385305     6.88426e-05       0.0249236
     -12       0.0650036     9.73577e-05       0.0352471
     -11        0.109837     0.000141082       0.0510768
     -10        0.191814     0.000203603       0.0737117
      -9        0.334747     0.000297283        0.107627
      -8        0.581167     0.000422288        0.152884
      -7         1.01412     0.000607658        0.219995
      -6          1.7439     0.000851856        0.308404
      -5         2.93146      0.00117747         0.42629
      -4         4.80075      0.00162827        0.589494
      -3         7.39767       0.0021671        0.784573
      -2         10.4606      0.00267849        0.969714
      -1         13.1912      0.00316666         1.14645
       0         14.1947      0.00330494         1.19651
       1         13.1941       0.0031802         1.15135
       2         10.4629      0.00266847        0.966085
       3         7.39775      0.00216331        0.783199
       4          4.8012       0.0016217        0.587115
       5         2.93234      0.00117568         0.42564
       6         1.74354     0.000853632        0.309047
       7         1.01324     0.000608999         0.22048
       8        0.582152      0.00042197        0.152769
       9        0.334274     0.000295778        0.107083
      10        0.191496     0.000204293       0.0739615
      11        0.109616     0.000140182        0.050751
      12       0.0649622     9.72292e-05       0.0352006
      13       0.0384507     6.90598e-05       0.0250022
      14       0.0237182     4.90493e-05       0.0177577
      15       0.0154823     3.56023e-05       0.0128894
