12 -0.018145717471942373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.488037         13.8355      0.0200717         2.5691        -969.165         2.2153        283.549       0.0131182      0.0753782        9.64812
  accept        0.498962         14.4457     0.00947327        1.21254        -1019.23      0.0658244        8.42526      -0.0414679       0.076979          9.853
       1        0.500366         14.5168     0.00905217        1.15864        -1017.69      0.0750952        9.61189      -0.0908417      0.0786593        10.0681
       2        0.504028         14.4025     0.00912558        1.16804        -1017.89      0.0702304        8.98921       0.0446788      0.0696411        8.91379
       3        0.493225         14.4404     0.00913471        1.16921        -1019.16      0.0646975        8.28103      -0.0478888      0.0716373         9.1693
       4        0.495728         14.1822      0.0083639        1.07055        -1019.74      0.0662947        8.48546       0.0980587      0.0720832        9.22636
       5        0.498413         14.2926     0.00920263         1.1779        -1019.07      0.0687826        8.80391      0.00316374      0.0694496        8.88928
       6        0.502686         14.4846     0.00903515        1.15646        -1019.59      0.0709907        9.08653       -0.118764      0.0743076        9.51108
       7        0.504456           14.35     0.00827539        1.05922        -1018.91      0.0639205        8.18158      -0.0875846        0.07122        9.11589
       8        0.502014         14.2574     0.00903533        1.15649        -1018.46       0.071531        9.15569      -0.0884207      0.0737916        9.44503
   total        0.500114         14.3658     0.00316421        1.14556        -1018.81      0.0244816        8.86327      -0.0359499       0.025686         9.2993

    mode      occupation             +/-         std dev
     -13        0.032951     6.30466e-05       0.0228252
     -12       0.0568158     9.14313e-05       0.0331015
     -11        0.098716     0.000131636       0.0476572
     -10        0.175653     0.000194461       0.0704023
      -9        0.310585     0.000279348        0.101134
      -8        0.553227     0.000408033        0.147723
      -7        0.976217     0.000579542        0.209816
      -6         1.70846     0.000849696        0.307621
      -5         2.91831       0.0012076        0.437196
      -4         4.78059      0.00165196         0.59807
      -3         7.40729      0.00216154        0.782558
      -2         10.5237      0.00274776        0.994792
      -1         13.2823       0.0031478         1.13962
       0         14.3658      0.00316421         1.14556
       1         13.2781      0.00314581          1.1389
       2         10.5177      0.00273767        0.991138
       3         7.40378      0.00216033        0.782122
       4         4.78154      0.00165118        0.597788
       5          2.9155      0.00120734        0.437103
       6         1.70858      0.00084824        0.307094
       7        0.976286     0.000578642         0.20949
       8        0.553363     0.000408651        0.147947
       9        0.310468     0.000280726        0.101633
      10        0.175457     0.000194364       0.0703671
      11       0.0990462      0.00013246       0.0479555
      12        0.056681     9.12732e-05       0.0330443
      13       0.0329272     6.27985e-05       0.0227354
