13 -0.018145717471942373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.488525         13.7387      0.0174939        2.23915        -936.092        4.19123        536.461       0.0294714      0.0849434        10.8724
  accept        0.502014         14.2688     0.00963791        1.23361         -1022.1      0.0731897        9.36799        -0.15583      0.0714466        9.14489
       1        0.497009         14.3859     0.00938423        1.20115        -1020.95      0.0729439        9.33653     -0.00540995      0.0712935        9.12529
       2        0.502319          14.069     0.00948167        1.21362        -1021.35      0.0728065        9.31895       -0.009162      0.0660252        8.45096
       3        0.494446         14.4733     0.00919565        1.17701        -1022.57      0.0653141        8.35995      -0.0287937      0.0702351        8.98982
       4        0.499451         14.1145     0.00816953        1.04567         -1022.9      0.0674321        8.63105      -0.0240452       0.076619        9.80693
       5        0.504822         14.0758     0.00835695        1.06966        -1022.67      0.0666134        8.52625      -0.0616662      0.0708519        9.06877
       6        0.496216         14.2105      0.0088603        1.13408         -1021.6      0.0733792        9.39225       0.0448625      0.0764572        9.78622
       7        0.495789         14.1928     0.00957934        1.22612        -1022.24       0.072482        9.27742      -0.0569445      0.0739224        9.46177
       8        0.499329         14.1925     0.00977002        1.25052         -1020.9      0.0737481        9.43947     -0.00455094      0.0776248        9.93567
   total        0.498672         14.2143     0.00324464        1.17468         -1021.9      0.0250675        9.07537      -0.0182138      0.0257989        9.34016

    mode      occupation             +/-         std dev
     -14       0.0229349     4.84407e-05       0.0175374
     -13       0.0362954     6.67586e-05       0.0241691
     -12       0.0630063     9.59368e-05       0.0347327
     -11        0.108686      0.00013984       0.0506271
     -10        0.188988     0.000201533       0.0729623
      -9        0.332054     0.000288905        0.104594
      -8        0.580185     0.000421281        0.152519
      -7         1.01386     0.000596144        0.215826
      -6          1.7484     0.000851411        0.308243
      -5         2.95106       0.0012092        0.437775
      -4         4.80686      0.00163664        0.592526
      -3          7.4193      0.00213321        0.772301
      -2         10.4685      0.00270282         0.97852
      -1         13.1562      0.00307599         1.11362
       0         14.2143      0.00324464         1.17468
       1         13.1521      0.00306761         1.11059
       2         10.4655      0.00270039        0.977643
       3         7.42188      0.00213248        0.772038
       4         4.80799      0.00163442        0.591722
       5         2.94733      0.00121121        0.438505
       6         1.74933        0.000852        0.308456
       7          1.0128     0.000595209        0.215488
       8        0.580842      0.00042495        0.153848
       9        0.332042     0.000287728        0.104168
      10        0.189166     0.000201721       0.0730305
      11        0.108129     0.000139118       0.0503658
      12       0.0629634     9.60867e-05        0.034787
      13       0.0363258     6.67233e-05       0.0241563
      14       0.0228895     4.82333e-05       0.0174622
