14 -0.018145717471942373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.485779         13.8739      0.0127538        1.63243        -951.165        4.47529        572.819      -0.0434899      0.0721683        9.23726
  accept        0.501221         14.1937     0.00897402        1.14864         -1022.6      0.0769315        9.84693        0.096549       0.080482        10.3014
  accept        0.489441         14.0021     0.00890098        1.13929        -1021.96      0.0756709        9.68558       0.0287609      0.0670297        8.57954
       1        0.497437         13.9593     0.00850036        1.08801        -1021.86      0.0755964        9.67604       0.0323809      0.0668677         8.5588
       2        0.502258         14.1416     0.00834255        1.06781        -1022.67      0.0729073        9.33185      -0.0452706      0.0728974        9.33058
       3        0.502136         13.9016     0.00853894        1.09295        -1022.63      0.0739077        9.45989        -0.11095      0.0719142        9.20473
       4        0.496216         14.0404     0.00898823        1.15046        -1023.42      0.0715715        9.16087      -0.0941017      0.0679778        8.70089
       5        0.499573         14.2257     0.00834283        1.06785        -1022.23      0.0783398        10.0272      -0.0972883      0.0746679         9.5572
       6        0.499512         14.0767      0.0087967        1.12594        -1022.86      0.0743572        9.51743       0.0293408      0.0784256        10.0382
       7        0.501465         14.2825     0.00896715        1.14776        -1023.31      0.0764112        9.78033      -0.0202462      0.0661716        8.46971
       8        0.497681         14.0556      0.0088568        1.13364        -1022.18      0.0702488        8.99158      -0.0553044      0.0796991        10.2012
   total        0.499535         14.0854     0.00308299        1.11616        -1022.64      0.0262731        9.51184        -0.04518      0.0256269         9.2779

    mode      occupation             +/-         std dev
     -15       0.0162909     3.72667e-05       0.0134919
     -14       0.0251767     5.09029e-05       0.0184288
     -13       0.0397971     7.01306e-05       0.0253899
     -12       0.0667915     9.94007e-05       0.0359868
     -11        0.115743     0.000144443       0.0522938
     -10        0.197148     0.000204581        0.074066
      -9        0.348352     0.000299794        0.108536
      -8        0.604023      0.00042346        0.153308
      -7         1.03051     0.000607456        0.219922
      -6         1.78337      0.00087858        0.318079
      -5         2.99208      0.00123287        0.446345
      -4         4.83509      0.00163222        0.590925
      -3         7.38718       0.0021381        0.774072
      -2         10.4733      0.00265644        0.961732
      -1         13.0507      0.00310822         1.12529
       0         14.0854      0.00308299         1.11616
       1         13.0475      0.00310463         1.12399
       2         10.4676       0.0026605          0.9632
       3         7.38367      0.00213696        0.773659
       4         4.83193      0.00163364         0.59144
       5         2.99132      0.00123454        0.446948
       6         1.78361     0.000878718        0.318129
       7         1.02996     0.000607429        0.219912
       8        0.604565     0.000422128        0.152826
       9        0.348315     0.000299251         0.10834
      10        0.196989     0.000203979        0.073848
      11        0.115809     0.000144759        0.052408
      12       0.0667312     9.92861e-05       0.0359453
      13       0.0397243     6.98989e-05        0.025306
      14       0.0250672     5.07366e-05       0.0183686
      15       0.0162185     3.70483e-05       0.0134129
