12 -0.0183201955245572
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.488159         14.2049       0.011824        1.51342        -990.391        2.74282        351.071       -0.010671      0.0707645        9.05758
  accept        0.497986          14.226     0.00853181        1.09204        -1039.21      0.0683141        8.74393      0.00644392      0.0750023            9.6
  accept        0.506042         14.3344     0.00906672         1.1605        -1037.47      0.0698702        8.94311      -0.0274697      0.0794675        10.1715
       1        0.494995         14.4177      0.0100793        1.29012        -1037.75      0.0654776        8.38088       0.0344732      0.0706604        9.04425
       2        0.502197         14.2279     0.00930369        1.19084         -1037.8      0.0696975        8.92101       0.0197512      0.0719761        9.21266
       3        0.501465         14.3806     0.00880832        1.12743        -1037.62      0.0669636        8.57108      -0.0252004      0.0690237        8.83476
       4        0.501892          14.367     0.00958308         1.2266        -1038.31      0.0675598        8.64739      -0.0700138      0.0649299        8.31077
       5        0.500061         14.1585     0.00946638        1.21166        -1038.41      0.0704926        9.02277      -0.0722517      0.0628809        8.04851
       6        0.495667          14.384      0.0094011         1.2033        -1037.71      0.0696988        8.92118      -0.0707255      0.0789286        10.1026
       7        0.498962         14.5052     0.00949085        1.21479        -1038.49      0.0718523        9.19681       -0.114803      0.0660543        8.45469
       8        0.499878         14.2936     0.00903103        1.15594         -1037.7      0.0702704        8.99434       0.0730398      0.0780415          9.989
   total         0.49939         14.3418     0.00333619        1.20782        -1037.97      0.0244226         8.8419      -0.0282162      0.0249338        9.02698

    mode      occupation             +/-         std dev
     -13       0.0342643     6.47925e-05       0.0234573
     -12       0.0581349     9.33317e-05       0.0337896
     -11        0.101059     0.000135096       0.0489099
     -10        0.179687     0.000195672       0.0708406
      -9        0.320264     0.000290693        0.105242
      -8        0.563478     0.000411594        0.149012
      -7        0.999052     0.000598145        0.216551
      -6         1.73081     0.000844053        0.305578
      -5         2.94135      0.00122757        0.444425
      -4         4.79823      0.00164984        0.597303
      -3         7.40693      0.00217389         0.78703
      -2         10.4796      0.00271005        0.981138
      -1         13.2186      0.00311791          1.1288
       0         14.3418      0.00333619         1.20782
       1          13.225      0.00312435         1.13113
       2         10.4721      0.00271717        0.983715
       3         7.40702      0.00217565        0.787667
       4         4.79703      0.00164956        0.597201
       5         2.94001      0.00122543        0.443652
       6         1.72947     0.000849163        0.307429
       7         0.99934     0.000599605        0.217079
       8        0.563753     0.000410803        0.148726
       9        0.320399     0.000292912        0.106045
      10        0.179214     0.000194956       0.0705814
      11         0.10095     0.000134374       0.0486483
      12       0.0581758     9.32788e-05       0.0337704
      13       0.0342507     6.47625e-05       0.0234464
