13 -0.0183201955245572
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.482117         13.7145       0.021726        2.78084        -948.018        5.03491        644.449       0.0270711       0.148635        19.0247
  accept        0.506226         14.1937     0.00839313        1.07429        -1040.99       0.074376        9.51984      -0.0375967      0.0694617        8.89082
  accept        0.503174         14.0688     0.00780408       0.998892        -1041.93      0.0725682        9.28844         -0.0932       0.069057        8.83903
  accept        0.500183         13.9907     0.00830616        1.06316        -1042.46      0.0702564        8.99254      -0.0563607      0.0792066        10.1381
  accept        0.501465         14.1567     0.00889498        1.13852        -1042.08      0.0681667        8.72507       -0.048621      0.0678404         8.6833
       1        0.495972         14.1433     0.00930549        1.19107        -1042.74      0.0680949        8.71588      -0.0604098      0.0677321        8.66944
       2        0.504639         14.0276     0.00953902        1.22096        -1041.72      0.0710306        9.09163        0.145799      0.0738184        9.44847
       3        0.496948         13.9773     0.00872555        1.11684           -1042      0.0689491        8.82521       0.0188747       0.068846        8.81202
       4        0.496887         14.2232     0.00913286        1.16897        -1041.29      0.0688236        8.80915      -0.0119153      0.0761797         9.7507
       5        0.499451         14.2339     0.00958783         1.2272         -1041.2      0.0712074        9.11427      -0.0661769      0.0735055        9.40842
       6        0.495911         14.1282     0.00938996        1.20188        -1041.39      0.0681283        8.72015      -0.0328127      0.0770916        9.86743
       7        0.499756          14.082       0.009136        1.16937        -1041.72      0.0732496        9.37567        0.036821      0.0720377        9.22054
       8        0.492615         14.4238     0.00920232        1.17786        -1041.16      0.0677764        8.67512      -0.0192589      0.0711069        9.10141
   total        0.497772         14.1549     0.00329221         1.1919        -1041.65      0.0246728        8.93248      0.00136513      0.0256689        9.29311

    mode      occupation             +/-         std dev
     -14       0.0237779     4.87434e-05       0.0176469
     -13       0.0390168      6.9361e-05       0.0251113
     -12        0.064821     9.70884e-05       0.0351496
     -11        0.112269     0.000140896       0.0510096
     -10        0.195871     0.000203612        0.073715
      -9        0.342029      0.00029339        0.106218
      -8        0.601299     0.000429246        0.155403
      -7         1.04035      0.00059893        0.216835
      -6         1.78021     0.000880198        0.318665
      -5         2.99099      0.00122034        0.441808
      -4         4.85482      0.00161568        0.584936
      -3         7.41443      0.00217222        0.786425
      -2         10.4284        0.002632        0.952882
      -1         13.0331      0.00312134         1.13004
       0         14.1549      0.00329221          1.1919
       1         13.0332      0.00311586         1.12806
       2         10.4297       0.0026445        0.957407
       3         7.41539      0.00217561        0.787653
       4         4.85456      0.00161717        0.585476
       5         2.99239      0.00122443        0.443288
       6          1.7806     0.000879637        0.318461
       7         1.03974     0.000597668        0.216378
       8        0.600528     0.000428146        0.155005
       9        0.342105     0.000292322        0.105831
      10        0.196163     0.000204413        0.074005
      11        0.112081     0.000140603       0.0509035
      12       0.0645913     9.71353e-05       0.0351666
      13       0.0390175     6.92292e-05       0.0250636
      14       0.0237101     4.84668e-05       0.0175468
