14 -0.0183201955245572
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.480042         14.0146      0.0153837        1.96905        -944.358        5.26561        673.977       0.0254653      0.0733771        9.39198
  accept        0.504211         14.0605     0.00960236        1.22907        -1042.89       0.071353        9.13291       0.0250377      0.0712242        9.11642
  accept        0.500183         14.1014     0.00920105         1.1777        -1044.38      0.0704904         9.0225      -0.0816066      0.0792049        10.1379
  accept        0.496094          13.997      0.0106769         1.3666        -1041.47       0.072996        9.34321       0.0658812      0.0769731        9.85226
  accept        0.500671         14.1718     0.00894329        1.14471        -1043.19      0.0708347        9.06657       0.0678724      0.0746947        9.56063
  accept        0.500061          14.182     0.00903555        1.15651        -1042.74      0.0771562        9.87569       0.0536905       0.068238         8.7342
  accept        0.493713         14.1825     0.00912095        1.16745        -1043.04       0.070448        9.01706       0.0227217      0.0697734        8.93072
  accept        0.497131         14.0499     0.00918355        1.17546        -1042.43      0.0756429          9.682       0.0328036      0.0665463        8.51766
  accept         0.49823         14.2394     0.00881558        1.12836        -1043.83      0.0752828         9.6359        0.041445      0.0664362        8.50357
  accept        0.497681         14.1205     0.00916139        1.17262        -1042.62      0.0688915        8.81784      -0.0453276      0.0723995        9.26685
  accept        0.505127          14.074     0.00914191        1.17013        -1043.69      0.0737282        9.43693      -0.0183321      0.0681195        8.71903
       1        0.499695         14.0284      0.0087868        1.12468        -1043.85      0.0727424        9.31075      -0.0573227      0.0658945        8.43424
       2        0.503906         14.0673     0.00957879        1.22605        -1042.97      0.0740694         9.4806     -0.00930616      0.0658397        8.42722
       3         0.49939         14.1848     0.00945069        1.20965         -1042.7       0.074561        9.54352         0.14119      0.0657741        8.41882
       4        0.500366          14.006     0.00903177        1.15603        -1042.48      0.0690589        8.83927      -0.0548462      0.0742891        9.50872
       5        0.506287         13.9369     0.00866625        1.10925         -1041.8      0.0740516        9.47832      -0.0905387      0.0757021        9.68957
       6        0.498901         13.9021     0.00923286        1.18177         -1042.3      0.0751336         9.6168       -0.156065      0.0688043        8.80669
       7        0.497986         13.7617     0.00899705        1.15159           -1043      0.0700846        8.97056      -0.0441262      0.0724321        9.27102
       8        0.499756         13.9313      0.0104177        1.33342        -1043.28      0.0747357        9.56587      -0.0809557      0.0731162        9.35859
   total        0.500786         13.9773     0.00329854        1.19419         -1042.8       0.025889        9.37277      -0.0439963      0.0248678        9.00309

    mode      occupation             +/-         std dev
     -15        0.016489      3.7568e-05        0.013601
     -14       0.0257922     5.17046e-05        0.018719
     -13       0.0420005     7.27435e-05       0.0263358
     -12       0.0697709     0.000102447       0.0370896
     -11        0.119626     0.000146896       0.0531818
     -10        0.205872     0.000210715       0.0762865
      -9        0.357842     0.000304364        0.110191
      -8        0.621195       0.0004315        0.156219
      -7         1.05709     0.000617325        0.223495
      -6          1.8121     0.000870805        0.315264
      -5         3.04128      0.00122529        0.443601
      -4         4.89538      0.00163969        0.593629
      -3         7.38924      0.00210976        0.763811
      -2         10.4384      0.00265917        0.962718
      -1         12.9242      0.00301504         1.09156
       0         13.9773      0.00329854         1.19419
       1         12.9286      0.00303079         1.09726
       2         10.4329      0.00266452        0.964657
       3         7.38399      0.00210767        0.763057
       4         4.89324      0.00164418        0.595254
       5          3.0421      0.00122821        0.444657
       6         1.81142     0.000876624        0.317371
       7         1.05665       0.0006142        0.222363
       8        0.621084      0.00043249        0.156577
       9        0.357207     0.000301677        0.109218
      10        0.205665     0.000210673       0.0762714
      11        0.119478     0.000147419       0.0533712
      12       0.0698077     0.000102344       0.0370522
      13       0.0419699     7.25035e-05        0.026249
      14       0.0258027     5.17177e-05       0.0187237
      15        0.016488     3.76879e-05       0.0136444
