12 -0.018494673577172032
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484741         14.3877      0.0136473         1.7468        -1010.26         2.6463        338.716      0.00143099      0.0867569        11.1045
  accept        0.499573         13.9951     0.00854153        1.09328        -1059.17      0.0659085        8.43603       0.0995062      0.0692777        8.86728
  accept          0.4953         14.1445     0.00936386        1.19854        -1057.09      0.0687509        8.79984      -0.0231372      0.0794323         10.167
  accept        0.495422         14.0403     0.00903509        1.15646        -1057.78      0.0683539        8.74903       0.0242948      0.0740617         9.4796
  accept        0.502014         14.2972     0.00885954        1.13399        -1058.09      0.0666077        8.52553       -0.116765      0.0701883        8.98383
       1        0.502747         14.2279      0.0100669        1.28852        -1057.35       0.068583        8.77836       0.0682759      0.0682459        8.73521
       2         0.50177         14.1408      0.0088314        1.13038        -1058.21      0.0700299        8.96355       0.0993155      0.0724623        9.27489
       3        0.495239         14.1343     0.00906435         1.1602        -1057.93      0.0662831        8.48397         0.10293      0.0772131        9.88298
       4        0.500549         14.0926     0.00906355         1.1601        -1056.93       0.069905        8.94757       0.0146602      0.0723776        9.26405
       5        0.499817         14.2343     0.00901182        1.15348        -1058.39      0.0670944        8.58782        0.167647      0.0681165        8.71864
       6        0.494995         14.1365     0.00948899        1.21455        -1057.58       0.067229        8.60504       0.0533911      0.0742196        9.49982
       7        0.492493         14.4127      0.0091608        1.17255        -1056.54      0.0740981        9.48427      -0.0293932      0.0734368        9.39962
       8        0.504333         14.0957     0.00959293        1.22786        -1058.51      0.0662747         8.4829        0.118002      0.0681936        8.72852
   total        0.498993         14.1843     0.00329683        1.19358        -1057.68      0.0243682        8.82218       0.0743535      0.0254023        9.19657

    mode      occupation             +/-         std dev
     -13       0.0353349     6.51415e-05       0.0235837
     -12       0.0612017     9.47822e-05       0.0343147
     -11        0.104937     0.000137135       0.0496479
     -10        0.185158     0.000197682       0.0715681
      -9        0.329475     0.000290356         0.10512
      -8        0.583837     0.000427121        0.154634
      -7         1.01692     0.000605842        0.219338
      -6         1.76702     0.000874202        0.316494
      -5         2.97344      0.00121406        0.439535
      -4         4.83618      0.00165457        0.599017
      -3         7.41993      0.00213168        0.771749
      -2         10.4957      0.00270133        0.977982
      -1         13.0885      0.00309362         1.12001
       0         14.1843      0.00329683         1.19358
       1         13.0957        0.003095         1.12051
       2         10.4955      0.00268777        0.973075
       3         7.42318      0.00212808        0.770443
       4         4.83974      0.00165555        0.599372
       5         2.97404      0.00121477        0.439792
       6         1.77023     0.000875808        0.317075
       7         1.01887     0.000609956        0.220827
       8        0.584414     0.000425704        0.154121
       9        0.329385     0.000290679        0.105237
      10        0.185244     0.000198768       0.0719613
      11        0.105165     0.000137661       0.0498384
      12       0.0611631     9.47078e-05       0.0342878
      13       0.0354018     6.53491e-05       0.0236588
