13 -0.018494673577172032
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.478149         13.6229      0.0202484        2.59172         -991.65        3.85053        492.853       0.0844728      0.0780624        9.99169
  accept        0.503357         13.9412     0.00909594        1.16424        -1061.79      0.0696878        8.91977      -0.0639133      0.0663092        8.48732
       1        0.506958         13.9495     0.00889048        1.13795        -1061.66      0.0700021        8.95999        -0.07237       0.069608        8.90955
       2        0.497864         13.8441     0.00868023        1.11104        -1061.02      0.0736461        9.42642      -0.0582182      0.0761375         9.7453
       3        0.502808         14.0298     0.00875742        1.12092         -1062.3      0.0675163        8.64183       0.0268434      0.0755691        9.67255
       4        0.493713         13.9005     0.00899943        1.15189        -1060.84      0.0678241        8.68122      -0.0530578      0.0718271        9.19358
       5          0.4953         14.0045     0.00901952        1.15446        -1062.15      0.0694796        8.89311        0.122563      0.0705006        9.02381
       6        0.499023          14.095     0.00919878        1.17741        -1061.28      0.0728074        9.31906       0.0346418      0.0750488        9.60595
       7        0.502991         14.0203      0.0094096        1.20439        -1061.73      0.0719547        9.20993       0.0865598       0.077767        9.95387
       8        0.496277          14.232     0.00852946        1.09174        -1060.85      0.0756207        9.67916        0.121933      0.0706616        9.04441
   total        0.499367         14.0094     0.00317553        1.14966        -1061.48      0.0251998        9.12327        0.026112      0.0259668        9.40095

    mode      occupation             +/-         std dev
     -14       0.0245008     4.94952e-05       0.0179191
     -13       0.0402532     7.06186e-05       0.0255666
     -12       0.0675424     9.97921e-05       0.0361285
     -11        0.115879     0.000143105       0.0518093
     -10        0.202029      0.00020628       0.0746809
      -9         0.35213     0.000299432        0.108406
      -8        0.613847     0.000433213        0.156839
      -7         1.06163     0.000610218        0.220922
      -6         1.81957     0.000870819        0.315269
      -5         3.05018      0.00121141        0.438576
      -4         4.87452       0.0016416        0.594321
      -3         7.40535      0.00208732        0.755687
      -2         10.4291      0.00266146        0.963549
      -1         12.9337      0.00306371         1.10918
       0         14.0094      0.00317553         1.14966
       1         12.9338      0.00306319         1.10899
       2         10.4382      0.00266105        0.963401
       3         7.40529      0.00208289        0.754084
       4         4.87624      0.00163409          0.5916
       5         3.04755      0.00121014        0.438116
       6         1.82064      0.00087123        0.315418
       7         1.06209     0.000610375        0.220978
       8        0.613578     0.000432203        0.156474
       9        0.352648     0.000299594        0.108464
      10        0.201884     0.000205659       0.0744561
      11        0.115938     0.000143235       0.0518564
      12        0.067657     0.000100017       0.0362099
      13       0.0403247     7.04178e-05       0.0254939
      14       0.0245412     4.94633e-05       0.0179076
