14 -0.018494673577172032
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484619         14.8796      0.0331474        4.24274        -982.905        4.00655        512.823       -0.138267      0.0855573         10.951
  accept             0.5         13.8784     0.00921058        1.17892        -1062.98      0.0783428        10.0276       -0.155113      0.0762139        9.75508
       1        0.496826         13.7076      0.0093895        1.20182        -1063.72      0.0716862        9.17555      -0.0213619      0.0767316        9.82135
       2        0.498047         13.8473      0.0100943        1.29203        -1063.09      0.0751266        9.61591       0.0503396      0.0680333          8.708
       3        0.499146          13.953     0.00979898        1.25423        -1063.57      0.0746436        9.55409     5.40509e-06      0.0692893        8.86876
       4        0.501892         14.0222     0.00857577        1.09767        -1063.39      0.0717839        9.18806       0.0272147      0.0733231        9.38507
       5        0.502136         14.1028     0.00932788        1.19393        -1062.67      0.0743199        9.51266       0.0341574      0.0672551         8.6084
       6        0.500977         13.9335     0.00938749        1.20156        -1062.49      0.0739026        9.45924       0.0256066      0.0758756        9.71178
       7        0.501343         13.7969     0.00836431         1.0706        -1064.53      0.0726784        9.30255       -0.021418      0.0664884        8.51025
       8        0.497375          13.925     0.00923831        1.18247        -1064.05       0.072197        9.24093       0.0586721      0.0709067        9.07577
   total        0.499718          13.911      0.0032994        1.19451        -1063.44      0.0259756        9.40414        0.019152      0.0251304        9.09815

    mode      occupation             +/-         std dev
     -15       0.0171094     3.80676e-05       0.0137819
     -14       0.0267322     5.24508e-05       0.0189892
     -13       0.0433151     7.34835e-05       0.0266038
     -12       0.0729679     0.000103893       0.0376132
     -11         0.12318     0.000147209       0.0532951
     -10        0.214081     0.000212646       0.0769858
      -9        0.369558     0.000307304        0.111256
      -8        0.631268     0.000427089        0.154622
      -7         1.08516     0.000621667        0.225067
      -6          1.8504     0.000879955        0.318576
      -5         3.07151      0.00119726        0.433454
      -4         4.92158      0.00164407        0.595214
      -3         7.40208      0.00211593        0.766045
      -2          10.335      0.00259268        0.938648
      -1         12.8769      0.00299847         1.08556
       0          13.911       0.0032994         1.19451
       1         12.8798       0.0029958         1.08459
       2         10.3342      0.00259041        0.937826
       3         7.40627      0.00212477        0.769245
       4         4.92196      0.00164646        0.596079
       5         3.07338      0.00119117        0.431247
       6         1.84832      0.00088078        0.318875
       7         1.08513     0.000619719        0.224361
       8        0.631344     0.000426742        0.154497
       9        0.370128     0.000306869        0.111098
      10        0.214385     0.000213174       0.0771768
      11        0.123218     0.000147313       0.0533327
      12       0.0729307     0.000103691       0.0375401
      13       0.0431921     7.32042e-05       0.0265026
      14       0.0267075     5.24547e-05       0.0189906
      15       0.0171349     3.83153e-05       0.0138716
